occupancy_group,occupancy_category,space_vol,max_occupants,baseline_outdoor_airflow_ls_per_person,eca_ls_per_person,relative_risk,source
Correctional facilities,Cell,320,30,4.9,15,0.44,Jones et al. 2025 Table 4 / ASHRAE 241-2023 Table 5-1
Correctional facilities,Dayroom,600,30,3.5,20,0.35,Jones et al. 2025 Table 4 / ASHRAE 241-2023 Table 5-1
Commercial/Retail,Food and beverage facilities,360,50,5.6,30,0.24,Jones et al. 2025 Table 4 / ASHRAE 241-2023 Table 5-1
Commercial/Retail,Gym,1900,180,11,40,0.32,Jones et al. 2025 Table 4 / ASHRAE 241-2023 Table 5-1
Commercial/Retail,Office,2700,50,8.5,15,0.78,Jones et al. 2025 Table 4 / ASHRAE 241-2023 Table 5-1
Commercial/Retail,Retail,6000,150,7.8,20,0.61,Jones et al. 2025 Table 4 / ASHRAE 241-2023 Table 5-1
Commercial/Retail,Transportation waiting,10000,100,6.8,30,0.6,Jones et al. 2025 Table 4 / ASHRAE 241-2023 Table 5-1
Educational facilities,Classroom,320,30,7.4,20,0.45,Jones et al. 2025 Table 4 / ASHRAE 241-2023 Table 5-1
Educational facilities,Lecture hall,1800,150,2.9,25,0.22,Jones et al. 2025 Table 4 / ASHRAE 241-2023 Table 5-1
Industrial,Manufacturing,12000,70,9.3,25,0.78,Jones et al. 2025 Table 4 / ASHRAE 241-2023 Table 5-1
Industrial,"Sorting, packing, light assembly",4800,20,11,10,1,Jones et al. 2025 Table 4 / ASHRAE 241-2023 Table 5-1
Industrial,Warehouse,1200,20,6.5,10,0.87,Jones et al. 2025 Table 4 / ASHRAE 241-2023 Table 5-1
Health care,Exam room,41,3,7.5,20,0.47,Jones et al. 2025 Table 4 / ASHRAE 241-2023 Table 5-1
Health care,Group treatment area,270,20,7.5,35,0.29,Jones et al. 2025 Table 4 / ASHRAE 241-2023 Table 5-1
Health care,Patient room,81,3,15,35,0.53,Jones et al. 2025 Table 4 / ASHRAE 241-2023 Table 5-1
Health care,Resident room,81,3,15,25,0.69,Jones et al. 2025 Table 4 / ASHRAE 241-2023 Table 5-1
Health care,Waiting room,270,30,5,45,0.16,Jones et al. 2025 Table 4 / ASHRAE 241-2023 Table 5-1
Public assembly/Sports/Entertainment,Auditorium,4600,150,3.5,25,0.36,Jones et al. 2025 Table 4 / ASHRAE 241-2023 Table 5-1
Public assembly/Sports/Entertainment,Place of religious worship,2400,180,2.8,25,0.23,Jones et al. 2025 Table 4 / ASHRAE 241-2023 Table 5-1
Public assembly/Sports/Entertainment,Museum,10000,400,4.6,30,0.31,Jones et al. 2025 Table 4 / ASHRAE 241-2023 Table 5-1
Public assembly/Sports/Entertainment,Convention,10000,400,4.6,30,0.31,Jones et al. 2025 Table 4 / ASHRAE 241-2023 Table 5-1
Public assembly/Sports/Entertainment,Spectator area,6300,100,4.7,25,0.52,Jones et al. 2025 Table 4 / ASHRAE 241-2023 Table 5-1
Public assembly/Sports/Entertainment,Lobbies,4600,150,3.5,25,0.34,Jones et al. 2025 Table 4 / ASHRAE 241-2023 Table 5-1
Residential,Common space,4600,150,1,25,0.26,Jones et al. 2025 Table 4 / ASHRAE 241-2023 Table 5-1
Residential,Dwelling unit,540,6,6.8,15,0.8,Jones et al. 2025 Table 4 / ASHRAE 241-2023 Table 5-1
