Context,Job Zone,Code,Occupation
100,4,15-2011.00,Actuaries
100,5,29-1291.00,Acupuncturists
100,2,49-3091.00,Bicycle Repairers
100,2,51-3021.00,Butchers and Meat Cutters
100,5,19-3039.03,Clinical Neuropsychologists
100,4,13-2041.00,Credit Analysts
100,4,29-2011.01,Cytogenetic Technologists
100,3,29-1292.00,Dental Hygienists
100,2,51-2023.00,Electromechanical Equipment Assemblers
100,4,27-4032.00,Film and Video Editors
100,2,35-1012.00,First-Line Supervisors of Food Preparation and Serving Workers
100,4,29-2011.04,Histotechnologists
100,5,25-9031.00,Instructional Coordinators
100,5,23-1023.00,"Judges, Magistrate Judges, and Magistrates"
100,4,13-2072.00,Loan Officers
100,3,17-3013.00,Mechanical Drafters
100,4,29-2011.00,Medical and Clinical Laboratory Technologists
100,2,31-9093.00,Medical Equipment Preparers
100,3,31-9094.00,Medical Transcriptionists
100,3,29-2099.01,Neurodiagnostic Technologists
100,3,51-8011.00,Nuclear Power Reactor Operators
100,5,29-1151.00,Nurse Anesthetists
100,5,29-1218.00,Obstetricians and Gynecologists
100,3,29-2099.05,Ophthalmic Medical Technologists
100,5,29-1041.00,Optometrists
100,2,43-4151.00,Order Clerks
100,5,29-1051.00,Pharmacists
100,2,43-5053.00,"Postal Service Mail Sorters, Processors, and Processing Machine Operators"
100,2,51-5112.00,Printing Press Operators
100,5,29-1223.00,Psychiatrists
100,2,43-5031.00,Public Safety Telecommunicators
100,2,51-9141.00,Semiconductor Processing Technicians
100,5,21-1011.00,Substance Abuse and Behavioral Disorder Counselors
100,3,49-9064.00,Watch and Clock Repairers
100,3,13-1022.00,"Wholesale and Retail Buyers, Except Farm Products"
99,5,23-1021.00,"Administrative Law Judges, Adjudicators, and Hearing Officers"
99,3,27-4012.00,Broadcast Technicians
99,4,17-1021.00,Cartographers and Photogrammetrists
99,5,29-1011.00,Chiropractors
99,4,27-1021.00,Commercial and Industrial Designers
99,4,29-1128.00,Exercise Physiologists
99,2,43-5011.01,Freight Forwarders
