Context,Job Zone,Code,Occupation
99,1-2,51-4071.00,Foundry Mold and Coremakers
99,1-2,51-4052.00,"Pourers and Casters, Metal"
99,1-2,49-9045.00,"Refractory Materials Repairers, Except Brickmasons"
94,4,11-3051.04,Biomass Power Plant Managers
94,1-2,51-8091.00,Chemical Plant and System Operators
94,3,49-9081.00,Wind Turbine Service Technicians
93,3,49-3011.00,Aircraft Mechanics and Service Technicians
92,1-2,51-7042.00,"Woodworking Machine Setters, Operators, and Tenders, Except Sawing"
91,3,49-3042.00,"Mobile Heavy Equipment Mechanics, Except Engines"
91,1-2,49-3093.00,Tire Repairers and Changers
90,1-2,47-5081.00,Helpers--Extraction Workers
90,1-2,51-6061.00,Textile Bleaching and Dyeing Machine Operators and Tenders
89,1-2,49-3092.00,Recreational Vehicle Service Technicians
89,1-2,43-5071.00,"Shipping, Receiving, and Inventory Clerks"
89,3,51-8021.00,Stationary Engineers and Boiler Operators
88,3,49-3031.00,Bus and Truck Mechanics and Diesel Engine Specialists
88,3,33-2022.00,Forest Fire Inspectors and Prevention Specialists
88,1-2,49-9044.00,Millwrights
88,1-2,47-5043.00,"Roof Bolters, Mining"
88,1-2,51-7041.00,"Sawing Machine Setters, Operators, and Tenders, Wood"
88,1-2,51-8031.00,Water and Wastewater Treatment Plant and System Operators
87,1-2,53-1041.00,Aircraft Cargo Handling Supervisors
86,1-2,51-7011.00,Cabinetmakers and Bench Carpenters
86,1-2,51-9051.00,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders"
86,3,11-3051.02,Geothermal Production Managers
86,1-2,51-9061.00,"Inspectors, Testers, Sorters, Samplers, and Weighers"
86,1-2,51-4192.00,"Layout Workers, Metal and Plastic"
86,3,49-3051.00,Motorboat Mechanics and Service Technicians
85,1-2,41-2022.00,Parts Salespersons
85,1-2,49-3043.00,Rail Car Repairers
85,3,53-5031.00,Ship Engineers
84,4,11-3051.03,Biofuels Production Managers
84,1-2,51-3091.00,"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders"
84,3,19-4051.00,Nuclear Technicians
84,1-2,51-2041.00,Structural Metal Fabricators and Fitters
82,1-2,53-7061.00,Cleaners of Vehicles and Equipment
82,3,49-3041.00,Farm Equipment Mechanics and Service Technicians
82,1-2,53-7064.00,"Packers and Packagers, Hand"
81,3,47-4011.00,Construction and Building Inspectors
81,3,49-2092.00,"Electric Motor, Power Tool, and Related Repairers"
81,3,47-2111.00,Electricians
81,1-2,49-9098.00,"Helpers--Installation, Maintenance, and Repair Workers"
81,3,11-9199.09,Wind Energy Operations Managers
80,1-2,51-8099.01,Biofuels Processing Technicians
80,1-2,51-9011.00,Chemical Equipment Operators and Tenders
80,3,53-7021.00,Crane and Tower Operators
80,4,11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers"
80,3,19-4071.00,Forest and Conservation Technicians
80,1-2,53-7051.00,Industrial Truck and Tractor Operators
80,1-2,49-3053.00,Outdoor Power Equipment and Other Small Engine Mechanics
80,3,47-2152.00,"Plumbers, Pipefitters, and Steamfitters"
80,1-2,49-9096.00,Riggers
80,1-2,47-5071.00,"Roustabouts, Oil and Gas"
79,1-2,33-9011.00,Animal Control Workers
79,1-2,51-4193.00,"Plating Machine Setters, Operators, and Tenders, Metal and Plastic"
79,1-2,51-9012.00,"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders"
78,1-2,49-3022.00,Automotive Glass Installers and Repairers
78,3,13-1041.06,Coroners
78,3,49-2095.00,"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay"
78,1-2,49-9099.01,Geothermal Technicians
78,3,51-8013.04,Hydroelectric Plant Technicians
78,3,33-3052.00,Transit and Railroad Police
77,1-2,49-3021.00,Automotive Body and Related Repairers
77,1-2,51-4191.00,"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic"
77,3,51-7031.00,"Model Makers, Wood"
76,3,49-9012.00,"Control and Valve Installers and Repairers, Except Mechanical Door"
76,3,51-1011.00,First-Line Supervisors of Production and Operating Workers
76,1-2,45-4011.00,Forest and Conservation Workers
76,1-2,51-9195.00,"Molders, Shapers, and Casters, Except Metal and Plastic"
75,1-2,53-6031.00,Automotive and Watercraft Service Attendants
75,3,33-1021.00,First-Line Supervisors of Firefighting and Prevention Workers
75,1-2,51-8013.00,Power Plant Operators
75,1-2,49-9052.00,Telecommunications Line Installers and Repairers
74,1-2,47-2021.00,Brickmasons and Blockmasons
74,3,49-2096.00,"Electronic Equipment Installers and Repairers, Motor Vehicles"
74,3,49-9021.00,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers"
74,1-2,47-2132.00,"Insulation Workers, Mechanical"
74,1-2,51-4051.00,Metal-Refining Furnace Operators and Tenders
74,1-2,47-2231.00,Solar Photovoltaic Installers
74,3,47-2152.04,Solar Thermal Installers and Technicians
73,1-2,47-2011.00,Boilermakers
73,3,49-2093.00,"Electrical and Electronics Installers and Repairers, Transportation Equipment"
73,1-2,49-9051.00,Electrical Power-Line Installers and Repairers
73,3,49-9041.00,Industrial Machinery Mechanics
73,1-2,49-9094.00,Locksmiths and Safe Repairers
73,1-2,17-3029.01,Non-Destructive Testing Specialists
73,3,49-2098.00,Security and Fire Alarm Systems Installers
73,1-2,53-7121.00,"Tank Car, Truck, and Ship Loaders"
73,1-2,51-4122.00,"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders"
72,1-2,47-2121.00,Glaziers
72,1-2,47-2131.00,"Insulation Workers, Floor, Ceiling, and Wall"
72,1-2,49-9011.00,Mechanical Door Repairers
