Country,Operating MW
Albania,0
Argentina,525
Australia,22629
Austria,0
Bangladesh,5250
Belarus,0
Belgium,0
Bosnia ,1990
Botswana,732
Brazil,2997
Brunei,220
Bulgaria,4569
Cambodia,1455
Canada,3080.8
Chile,3826
China,1189041
Colombia,1646
Croatia,217
Czech Republic,6803.6
Côte d'Ivoire,0
DR Congo,0
Denmark,411
Djibouti,0
Dominican Republic,1064
Egypt,0
El Salvador,0
Eswatini,0
Ethiopia,0
Finland,983.2
France,1907
Georgia,0
Germany,28970.1
Ghana,0
Greece,1655
Guadeloupe,64
Guatemala,439
Guinea,0
Honduras,0
Hong Kong,4110
Hungary,884
India,245082.7
Indonesia,57706.6
Iran,0
Ireland,0
Israel,4325
Italy,5190
Jamaica,0
Japan,53000
Kazakhstan,13121
Kenya,0
Kosovo,1290
Kyrgyzstan,813
Laos,1878
Latvia,0
Madagascar,120
Malawi,0
Malaysia,13280
Mauritius,195
Mexico,5378
Moldova,0
Mongolia,1145
Montenegro,0
Morocco,4092
Mozambique,0
Myanmar,150
Namibia,120
Netherlands,3500
New Caledonia,370
New Zealand,750
Niger,30
Nigeria,344.5
North Korea,3250
North Macedonia,824
Oman,0
Pakistan,8329.5
Panama,0
Papua New Guinea,0
Peru,0
Philippines,12642.4
Poland,27765
Portugal,0
Romania,2260
Russia,37192.1
Senegal,155
Serbia,4785
Slovakia,274
Slovenia,1069
South Africa,44224.1
South Korea,42245
Spain,2115.2
Sri Lanka,900
Sudan,0
Sweden,0
Syria,0
Taiwan,18199
Tajikistan,400
Tanzania,0
Thailand,6138
Turkiye,20473.2
Ukraine,4742
United Arab Emirates,0
United Kingdom,0
United States,189883.2
Uzbekistan,2493
Venezuela,0
Vietnam,27134
Zambia,330
Zimbabwe,1670
