country,dataset,value_usd,mva_usd
China,GrandView,17728600000.0,4658790000000.0
United States,GrandView,13377200000.0,2497130000000.0
Japan,GrandView,8116700000.0,818398000000.0
Germany,GrandView,4376300000.0,838894000000.0
Brazil,GrandView,3916600000.0,289790000000.0
India,GrandView,3494300000.0,440058000000.0
France,GrandView,3034700000.0,296997000000.0
Mexico,GrandView,2499700000.0,358917000000.0
Canada,GrandView,2464000000.0,149268000000.0
Russia,GrandView,2300300000.0,251577000000.0
Spain,GrandView,2202100000.0,176454000000.0
Thailand,GrandView,1625400000.0,128286000000.0
United Kingdom,GrandView,1594100000.0,279780000000.0
Italy,GrandView,1167900000.0,353622000000.0
Malaysia,GrandView,1037200000.0,92001501433.0
South Africa,GrandView,841600000.0,49348135515.0
Saudi Arabia,GrandView,685900000.0,157875000000.0
Australia,GrandView,615900000.0,92667151261.0
Egypt,GrandView,234500000.0,59002885268.0
Germany,PRODCOM,1236107558.4,838894000000.0
Italy,PRODCOM,852246058.4,353622000000.0
France,PRODCOM,436759777.3,296997000000.0
Czech Republic,PRODCOM,181347397.5753,68700165555.0
Spain,PRODCOM,139694228.29999998,176454000000.0
Denmark,PRODCOM,108027542.4998,64967849399.0
Austria,PRODCOM,101430265.2,81214734288.0
Slovakia,PRODCOM,88247055.6,27560922072.0
Poland,PRODCOM,87455315.8457,135621000000.0
Netherlands,PRODCOM,74850829.89999999,125146000000.0
Slovenia,PRODCOM,50820110.61049999,13549204168.0
Sweden,PRODCOM,36161339.5671,83010048140.0
Belgium,PRODCOM,21335130.3,72566640760.0
Portugal,PRODCOM,19880781.8,34316560866.0
Estonia,PRODCOM,11915926.0,4919463012.0
Romania,PRODCOM,8028564.9147,44274796144.0
Finland,PRODCOM,7705343.8,44136304104.0
Bulgaria,PRODCOM,3824743.0023,10030000000.0
Lithuania,PRODCOM,3591305.4705,11630980640.0
Croatia,PRODCOM,2900046.6,10226465134.0
Greece,PRODCOM,2375616.1,21258797615.0
