iso3,mva_year,mva_usd
ABW,2023,88255136.5952486
AFE,2024,122838346492.998
AFG,2024,1496561425.75373
AFW,2024,75842285160.8452
AGO,2024,6778743788.62881
ALB,2024,1759050948.05831
AND,2024,126389567.335937
ARB,2024,455589787496.19
ARE,2024,51773020762.1122
ARG,2024,96936086826.3434
ARM,2024,2636463219.00542
ATG,2024,54770370.3703704
AUS,2024,94463332988.051
AUT,2024,80933905264.1273
AZE,2024,4129058823.52941
BDI,2024,372283639.397856
BEL,2024,76787967022.8125
BEN,2024,2185718276.98085
BFA,2024,2197689501.17265
BGD,2024,98544468828.3762
BHR,2024,9379252659.57447
BHS,2024,99700000.0
BIH,2024,3776145685.57462
BLR,2024,16407470661.0083
BLZ,2024,211245000.0
BMU,2024,28525000.0
BOL,2024,7170876599.13169
BRA,2024,264720626042.066
BRB,2024,376046050.0
BRN,2024,1634611570.22319
BTN,2024,221476264.132397
BWA,2024,1076156806.83807
CAF,2023,458742463.500694
CAN,2022,205190749695.971
CEB,2024,380579307084.146
CHE,2024,184929021730.591
CHI,2023,100972482.378107
CHL,2024,30860246855.9249
CHN,2024,4652746352861.02
CIV,2024,11253661628.2955
CMR,2024,6864735347.54779
COD,2024,6511454956.17287
COG,2020,1474092994.84271
COL,2024,43001308358.1134
COM,2024,115309677.878495
CPV,2024,140034946.916422
CRI,2024,12668265396.4484
CSS,2024,5977097292.14499
CUB,2020,12020000000.0
CUW,2024,103976256.98324
CYM,2024,67210507.8815509
CYP,2024,1677104158.72891
CZE,2024,69009755852.4348
DEU,2024,843720987292.969
DJI,2024,219412687.864687
DMA,2024,32611111.1111111
DNK,2024,75811058063.9877
DOM,2024,15490441993.9766
DZA,2024,25463405055.1347
EAP,2024,5370124800602.12
EAR,2024,2680914601937.93
EAS,2024,7158605485142.52
ECA,2024,384906946412.955
ECS,2024,3981290268165.3
ECU,2024,16090265000.0
EGY,2024,54053889005.3826
EMU,2024,2338673968246.51
ESP,2024,187139253525.0
EST,2024,4672841053.50234
ETH,2024,6579460009.84259
EUU,2024,2796136435385.62
FIN,2024,42512657671.0937
FJI,2024,676938676.541904
FRA,2024,302342959906.641
FRO,2024,383495123.156853
FSM,2024,2386700.0
GAB,2024,4066264032.94052
GBR,2024,294663475863.889
GEO,2024,2884462018.5821
GHA,2024,8804856653.5649
GIN,2022,2537658127.78817
GMB,2024,34973175.3372715
GNB,2024,201586990.949174
GNQ,2024,3420933594.83757
GRC,2024,23230248778.3187
GRD,2024,47625925.9259259
GRL,2023,90584456.2530489
GTM,2024,15328532385.8696
GUY,2024,418613908.872902
HKG,2024,3815689033.8376
HND,2024,5500231821.22773
HPC,2024,114848621868.38
HRV,2024,9742506599.21875
HTI,2024,5055801638.02809
HUN,2024,35340306132.9129
IBD,2024,8155200516723.72
IBT,2024,8540233664994.38
IDA,2024,384556434537.97
IDB,2024,133924672939.395
IDN,2024,265073987434.714
IDX,2024,254788545997.68
IMN,2023,153147330.334515
IND,2024,494141553765.715
IRL,2024,180097386856.696
IRN,2024,97858664001.8126
IRQ,2024,11429111076.9231
ISL,2024,2910665973.60263
ISR,2024,60964810946.6201
ITA,2024,359511373838.75
JAM,2024,1702632287.96522
JOR,2024,9885956901.40845
JPN,2024,788452296563.8
KAZ,2024,36124707839.1129
KEN,2024,8780605234.81087
KGZ,2024,2304276291.00999
KHM,2024,12888711532.4213
KIR,2024,14565997.8201106
KNA,2024,43748148.1481481
KOR,2024,499190318144.311
KWT,2024,12815326473.6952
LAC,2024,1143748586784.75
LAO,2024,1494121132.45099
LBN,2021,330053453.23692
LBR,2011,54603300.0
LBY,2017,1884963625.14528
LCA,2024,87555555.5555556
LCN,2024,1252522142045.19
LDC,2024,219303597092.163
LIE,2023,2815612861.57887
LKA,2024,17424402779.9539
LMY,2024,7991758215909.72
LSO,2024,288565337.32083
LTE,2024,6337969673555.79
LTU,2024,11611602323.1141
LUX,2024,3696633449.69297
LVA,2024,4377870728.15859
MAC,2024,319902210.21196
MAR,2024,24517935374.9557
MDA,2024,1385461954.38348
MDG,2024,2308235349.77249
MDV,2024,111449902.905909
MEA,2024,658798013404.151
MEX,2024,368487765160.484
MHL,2024,9040100.0
MIC,2024,7937726713726.16
MKD,2024,2431132643.12549
MLI,2024,1958096142.60421
MLT,2024,1428633980.70312
MMR,2024,18591155730.4762
MNA,2024,290689767763.986
MNE,2024,275660008.352969
MNG,2024,1326108547.63598
MOZ,2024,1465787808.46569
MRT,2024,545159544.338851
MUS,2024,1656135694.15277
MWI,2024,1241009801.03674
MYS,2024,95002423942.8655
NAC,2021,2689871176439.82
NAM,2024,1403615520.78302
NCL,2017,514071927.355937
NER,2024,1378572576.97412
NGA,2024,21839012706.4223
