Region,Countries Percentage after 1 Year
Aruba,1.159199050465975
Afghanistan,0.0846925905766295
Angola,0.006622477404759441
Albania,0.49782664951828975
Andorra,3.8402242504276374
United Arab Emirates,77.21232060997656
Argentina,36.62848268921572
Armenia,0.7691091264404705
American Samoa,1.2616966507177034
Antigua and Barbuda,1.3906136205479098
Australia,60.59326234072084
Austria,100.0
Azerbaijan,4.553512289418777
Burundi,0.05006314502471883
Belgium,90.81395024293145
Benin,0.007673106737806581
Burkina Faso,0.025352519728644607
Bangladesh,3.9646829224424316
Bulgaria,26.317830291267025
Bahrain,88.90919943777999
Bahamas,0.6199567536087238
Bosnia and Herzegovina,20.063557254957853
Belarus,19.239399800440466
Belize,0.7330521528011067
Bermuda,1.223754408761834
Bolivia,2.516881345149195
Brazil,18.623676099395674
Barbados,2.0466482489191837
Brunei Darussalam,7.936622114909085
Bhutan,0.2602403793938266
Botswana,2.431896270171031
Central African Republic,0.035739886367332774
Canada,66.53376778271543
Switzerland,100.0
Chile,20.10273467414295
China,58.62636748797136
Côte d'Ivoire,0.0030051639278125923
Cameroon,0.015742472472496376
DR Congo,0.0011175987130695357
Congo Republic,0.06825878296524089
Colombia,9.341127742522112
Comoros,0.21566934929826284
Cabo Verde,0.29016968176416214
Costa Rica,33.16279508694116
Cuba,19.548686965170923
Curaçao,0.8987546012269939
Cayman Islands,1.0637994190737454
Cyprus,1.5478309479773003
Czechia,100.0
Germany,100.0
Djibouti,0.30383762732174957
Dominica,1.6368518784637294
Denmark,100.0
Dominican Republic,26.695615260624557
Algeria,7.507858899389559
Ecuador,7.316869606137297
Egypt,9.14023948665564
Eritrea,0.04614401707906065
Spain,54.32527088106135
Estonia,51.098425227909615
Ethiopia,0.0016256768243648634
Finland,100.0
Fiji,0.7665257183239587
France,100.0
Faroe Islands,2.44071269900037
"Micronesia, Fed. Sts.",4.732494615936827
Gabon,0.16010212259568682
United Kingdom,100.0
Georgia,9.857434486103848
Ghana,0.004442381286426756
Gibraltar,3.6381705298013247
Guinea,0.023378590198699922
Gambia,0.08669715540709373
Guinea-Bissau,0.11179563492063492
Equatorial Guinea,0.14327802047336508
Greece,28.34553635432446
Grenada,2.2948838639861613
Greenland,2.7106763980263158
Guatemala,10.093399869348435
Guam,0.9713223810225431
Guyana,0.6354250348037057
Hong Kong,5.656714403187799
Honduras,5.758046616279354
Croatia,35.22017142853225
Haiti,0.4083455586947397
Hungary,56.835259971938655
Indonesia,11.144614595217998
Isle of Man,2.3527355460385437
India,4.4554098164133595
Ireland,100.0
Iran,13.826951913748847
Iraq,2.652713677718772
Iceland,100.0
Israel,100.0
Italy,100.0
Jamaica,0.6733589213407888
Jordan,15.610850802151754
Japan,100.0
Kazakhstan,25.522487160547392
Kenya,0.001902070984405728
Kyrgyzstan,0.9209409635351058
Cambodia,5.23460351661336
Kiribati,1.5366818181818183
St. Kitts and Nevis,2.792398449169449
South Korea,100.0
Kuwait,31.30271580011502
Laos,1.3766060112932657
Lebanon,0.1279626405137554
Liberia,0.04429638364779874
Libya,0.021409969114451904
St. Lucia,0.7339471953682163
Liechtenstein,100.0
Sri Lanka,9.822957258911417
Lesotho,0.10616750410667697
Lithuania,51.00682806319735
Luxembourg,88.55686411593528
Latvia,47.932209588329606
Macau,0.2711233806292412
Saint-Martin,0.0
Morocco,8.473203778602237
Monaco,1.253301330798479
Moldova,0.5102648559407327
Madagascar,0.0203206917092131
Maldives,0.712174195092622
Mexico,52.55238798001653
Marshall Islands,4.668813739376771
North Macedonia,4.642095480698383
Mali,0.005155170485780665
Malta,2.8599275636621777
Myanmar,2.326617287250747
Montenegro,0.7889761676695852
Mongolia,2.149301454555496
Northern Mariana Islands,3.2814161274265805
Mozambique,0.013661969933724878
Mauritania,0.05907401765312066
Mauritius,1.3702375188242248
Malawi,0.007397891852220928
Malaysia,35.23029627144159
Namibia,0.4153213245480055
New Caledonia,10.666605215827339
Niger,0.017179923935368817
Nigeria,7.273107393381372
Nicaragua,0.35604712848247866
Netherlands,100.0
Norway,59.32718377293134
Nepal,0.1084608726897054
Nauru,11.116973018549746
New Zealand,61.10022255788981
Oman,16.269015169504062
Pakistan,2.4742336399814935
Panama,8.994097934388645
Peru,10.426405023100633
Philippines,8.750683465506214
Palau,10.1421
Papua New Guinea,0.015003311378853603
Poland,61.457701049881194
Puerto Rico,0.06663060067314204
North Korea,0.4566701561180114
Portugal,56.199301334825854
Paraguay,10.833006674450473
Palestine,0.0
French Polynesia,0.5933187831878319
Qatar,85.77014707097717
Romania,29.021071812414988
Russia,22.855705019777957
Rwanda,0.01221215405135045
Saudi Arabia,92.11805751015272
Sudan,0.0058097918478821255
Senegal,0.08837779520491748
Singapore,100.0
Solomon Islands,0.13841945575945913
Sierra Leone,0.021730301412127683
El Salvador,8.440168475183626
San Marino,35.80184472213906
Somalia,0.023405150836283077
Serbia,21.916545087003055
South Sudan,0.014144702681594453
Sao Tome and Principe,1.81407952669235
Suriname,1.8633818568400276
Slovakia,69.7414252931147
Slovenia,83.23968455659563
Sweden,100.0
Eswatini,0.15499776638766105
Sint Maarten,2.4839355689525244
Seychelles,0.6303054785352328
Syria,0.009388145274643584
Turks and Caicos Islands,0.0
Chad,0.01100282566026651
Togo,0.018604263617301685
Thailand,16.76698136214049
Tajikistan,0.849631138410149
Turkmenistan,7.536846326913819
Timor-Leste,0.12491919872909144
Tonga,2.564124854142357
Trinidad and Tobago,93.26640278229527
Tunisia,8.271062150526669
Türkiye,4.116160277098379
Tuvalu,8.662766097240473
Tanzania,0.0008742824404550739
Uganda,0.00368074899541551
