Country Name,Country Code,Labour Force (2024),Region,%ECW ILO,%ECW Poll,%Critical Workers,%Vital Workers,%Armed Forces (ECW ILO),%Armed Forces (Critical),ECW ILO,ECW Poll,Critical Workers,Vital Workers,Armed Forces (ECW ILO),Armed Forces (Critical)
Aruba,ABW,55826.0,Caribbean,0.2064262068979088,0.08738290113748153,0.4208660792951542,0.23980418521330676,,,11523.949426282657,4878.237838901044,23495.269742731278,13387.308443718064,,
Afghanistan,AFG,9130000.0,Southern Asia,0.1889364977063365,0.07963279553388097,0.6870961770298332,0.5305221135688375,0.019308301584197045,0.019308301584197045,1724990.2240588523,727047.4232243333,6273188.096282377,4843666.896883487,176284.79346371902,176284.79346371902
Angola,AGO,16000000.0,Middle Africa,0.20263429367681032,0.05365563463228893,0.7340598076473476,0.5318121418635481,0.004677742411593453,0.004677742411593453,3242148.698828965,858490.1541166229,11744956.922357561,8508994.26981677,74843.87858549526,74843.87858549526
Albania,ALB,1370000.0,Southern Europe,0.21948135451896839,0.10518557786221779,0.5527696375763103,0.3809943707315411,0.0016668227362112557,0.0016668227362112557,300689.4556909867,144104.24167123836,757294.403479545,521962.28790221125,2283.54714860942,2283.54714860942
Andorra,AND,50504.0,Southern Europe,0.18869289336722966,0.05917547567553361,0.3172035822338537,0.12288107335826012,,,9529.745886618566,2988.5982235171496,16020.049717138547,6205.985728885569,,
United Arab Emirates,ARE,7090000.0,Western Asia,0.16864565464668235,0.0588441947540936,0.33506856366192467,0.14575047379265446,0.0024120422460671424,0.0024120422460671424,1195697.691444978,417205.3408065236,2375636.1163630458,1033370.8591899201,17101.37952461604,17101.37952461604
Argentina,ARG,22300000.0,South America,0.23612572730595055,0.0654599286792387,0.3878826632213965,0.13632851171056354,0.0,0.0,5265603.718922697,1459756.4095470228,8649783.389837142,3040125.811145567,0.0,0.0
Armenia,ARM,1510000.0,Western Asia,0.19684786423710599,0.09630181534686824,0.5709919916475485,0.421731747584878,,,297240.27499803004,145415.74117377104,862197.9073877983,636814.9388531658,,
American Samoa,ASM,55958.0,Polynesia,0.19278808840522443,0.0792547380391027,0.5547869765691164,0.38797545228052294,,,10788.03585097955,4434.9366311921085,31044.769634854612,21710.3303587135,,
Antigua and Barbuda,ATG,46540.0,Caribbean,0.1788193580665751,0.11797794981775042,0.7571440188840576,0.6647373316068305,,,8322.252924418404,5490.693784518105,35237.48263886404,30936.875412981888,,
Australia,AUS,14900000.0,Australia and New Zealand,0.1930889269622391,0.07614824531898746,0.3189302845797494,0.1488313831379022,0.0001574261217391232,0.0001574261217391232,2877025.0117373625,1134608.8552529132,4752061.240238266,2217587.608754743,2345.649213912936,2345.649213912936
Austria,AUT,4770000.0,Western Europe,0.1956372898445983,0.07681905675884713,0.323835431068731,0.15069768855434784,0.0008899379858483443,0.0008899379858483443,933189.8725587339,366426.9007397008,1544695.0061978467,718827.9744042392,4245.004192496603,4245.004192496603
Azerbaijan,AZE,5020000.0,Western Asia,0.17421437395524356,0.0874180528315187,0.5892143457187867,0.462469124438215,,,874556.1572553227,438838.62521422387,2957856.0155083095,2321595.004679839,,
Burundi,BDI,6110000.0,Eastern Africa,0.0538190826438934,0.018304548440935264,0.8336938175005955,0.7806109080596907,0.00011700439674907038,0.00011700439674907038,328834.5949541887,111840.79097411447,5093869.224928638,4769532.64824471,714.89686413682,714.89686413682
Belgium,BEL,5420000.0,Western Europe,0.17565705839356427,0.06976824615386058,0.29183902339590073,0.13084726734072408,0.0014992308755490018,0.0014992308755490018,952061.2564931184,378143.89415392437,1581767.506805782,709192.1889867245,8125.83134547559,8125.83134547559
Benin,BEN,6400000.0,Western Africa,0.3168214124389649,0.11671661175161072,0.7150792249605556,0.45094235377032366,0.0005400879589659506,0.0005400879589659506,2027657.0396093752,746986.3152103085,4576507.039747556,2886031.0641300716,3456.5629373820834,3456.5629373820834
Burkina Faso,BFA,6460000.0,Western Africa,0.16007559582914552,0.03633575357837437,0.7055540029851933,0.541176344166479,0.0009081508378370626,0.0009081508378370626,1034088.34905628,234728.9681162984,4557878.859284349,3495999.183315454,5866.654412427424,5866.654412427424
Bangladesh,BGD,77400000.0,Southern Asia,0.2666247822440737,0.15342333914895537,0.6597799990932908,0.49245952267327026,0.0008428845627005914,0.0008428845627005914,20636758.145691305,11874966.450129146,51066971.92982071,38116367.054911114,65239.26515302578,65239.26515302578
Bulgaria,BGR,3120000.0,Eastern Europe,0.21318984652584794,0.08237237886688521,0.39736889857696284,0.19617140047951087,0.0028679033172368212,0.0028679033172368212,665152.3211606456,257001.82206468185,1239790.9635601242,612054.769496074,8947.858349778882,8947.858349778882
Bahrain,BHR,913000.0,Western Asia,0.16864565464668235,0.0588441947540936,0.33506856366192467,0.14575047379265446,,,153973.48269242098,53724.74981048746,305917.5986233372,133070.18257269353,,
Bahamas,BHS,237000.0,Caribbean,0.22348618515662752,0.07722442318504884,0.392279910091092,0.16759507373792584,0.0003880279190819827,0.0003880279190819827,52966.22588212072,18302.188294856576,92970.3386915888,39720.03247588842,91.96261682242991,91.96261682242991
Bosnia and Herzegovina,BIH,1360000.0,Southern Europe,0.202866541381199,0.08274627921647557,0.4778004734697288,0.2961568285167674,0.0027450202116214213,0.0027450202116214213,275898.4962784306,112534.93973440677,649808.6439188311,402773.28678280365,3733.227487805133,3733.227487805133
Belarus,BLR,4820000.0,Eastern Europe,0.1855160415508998,0.08629324450604066,0.36950570659697735,0.20872340356316157,0.0,0.0,894187.320275337,415933.43851911597,1781017.5057974309,1006046.8051744387,0.0,0.0
Belize,BLZ,190000.0,Central America,0.2641175791414139,0.09496230072902404,0.5330817307029515,0.2806080925697787,0.003195610516012518,0.003195610516012518,50182.34003686865,18042.837138514566,101285.52883356079,53315.537588257954,607.1659980423784,607.1659980423784
Bermuda,BMU,52878.0,Northern America,0.2064262068979088,0.08738290113748153,0.4208660792951542,0.23980418521330676,,,10915.404968347622,4620.633046347748,22254.556540969163,12680.365705709235,,
Bolivia,BOL,6860000.0,South America,0.284796347285643,0.11886173528204372,0.5805463021239649,0.3390360263795438,0.0004433980641830095,0.0004433980641830095,1953702.9423795112,815391.5040348199,3982547.632570399,2325787.1409636703,3041.7107202954453,3041.7107202954453
Brazil,BRA,107000000.0,South America,0.24514413703907204,0.08256811420864353,0.4429947921354658,0.1997249715842671,0.0032534230929677508,0.0032534230929677508,26230422.66318071,8834788.220324857,47400442.75849484,21370571.95951658,348116.2709475493,348116.2709475493
Barbados,BRB,147000.0,Caribbean,0.20353939038998584,0.0718130983714926,0.3602027890151239,0.15435146766829735,0.0,0.0,29920.290387327917,10556.525460609413,52949.80998522322,22689.665747239713,0.0,0.0
Brunei Darussalam,BRN,234000.0,South-eastern Asia,0.20801299570967016,0.0734978091715343,0.3450460834794293,0.14413403138075437,0.011115252412307947,0.011115252412307947,48675.04099606282,17198.487346139027,80740.78353418646,33727.36334309652,2600.96906448006,2600.96906448006
Bhutan,BTN,406000.0,Southern Asia,0.20315609909333113,0.14719093726749816,0.5570313960878089,0.46606729653987505,0.003569658975850406,0.003569658975850406,82481.37623189244,59759.52053060425,226154.74681165043,189223.32239518926,1449.2815441952648,1449.2815441952648
Botswana,BWA,1170000.0,Southern Africa,0.20424798687215628,0.0738904013081284,0.5263684727296976,0.3172497085430563,0.0017921896952541696,0.0017921896952541696,238970.14464042286,86451.76953051024,615851.1130937461,371182.15899537585,2096.8619434473785,2096.8619434473785
Central African Republic,CAF,2000000.0,Middle Africa,0.2792993859283398,0.0819042829942353,0.6082089110098626,0.3354773926231176,,,558598.7718566796,163808.5659884706,1216417.8220197253,670954.7852462352,,
Canada,CAN,22900000.0,Northern America,0.18931258219764338,0.07795968330816772,0.30895534445856676,0.144290904802498,,,4335258.132326033,1785276.7477570407,7075077.388101179,3304261.719977204,,
Switzerland,CHE,5150000.0,Western Europe,0.17193331717062033,0.07600949905810768,0.27438590646012023,0.13593792963325074,0.00039553012399594546,0.00039553012399594546,885456.5834286946,391448.92014925455,1413087.418269619,700080.3376112413,2036.980138579119,2036.980138579119
Chile,CHL,10100000.0,South America,0.23059649222772255,0.07964975962666865,0.4243890584826698,0.19745587469153125,0.0009729429882350458,0.0009729429882350458,2329024.5714999977,804462.5722293534,4286329.490674965,1994304.3343844656,9826.724181173962,9826.724181173962
China,CHN,774000000.0,Eastern Asia,0.22270260822475352,0.09905189121235465,0.5094610250487245,0.3236021774740255,,,172371818.76595923,76666163.7983625,394322833.3877128,250468085.36489573,,
Cote d'Ivoire,CIV,12600000.0,Western Africa,0.33444705319733853,0.1510662693860414,0.6892245844513786,0.4460525076747063,0.0006237098793041533,0.0006237098793041533,4214032.870286466,1903434.9942641216,8684229.76408737,5620261.596701299,7858.744479232332,7858.744479232332
Cameroon,CMR,11100000.0,Middle Africa,0.08084520213547523,0.032449494779228455,0.46669493588410405,0.3901573878270969,,,897381.7437037751,360189.3920494359,5180313.788313555,4330747.004880776,,
