Country Name,Country Code,Labour Force (2024),Region,%Indoor Essential Workers,%Indoor Vital Workers,%Essential Workers,%Vital Workers,%Armed Forces (Indoor Essential),%Armed Forces (Essential),%Onsite Excluded Essential (ISCO 61+63),%Onsite Excluded Vital (ISCO 61+63),Indoor Essential Workers,Indoor Vital Workers,Essential Workers,Vital Workers,Armed Forces (Indoor Essential),Armed Forces (Essential)
Aruba,ABW,55826.0,Caribbean,0.2041154670760284,0.0917721954074247,0.3788,0.21575908012122721,,,0.08712868009346048,0.08712868009346048,11394.950064986362,5123.274580814892,21146.8888,12044.96640684763,,
Afghanistan,AFG,9130000.0,Southern Asia,0.19130168425197291,0.08599630442708338,0.6402000000000003,0.49380796279437345,0.019308301584197045,0.019308301584197045,0.3949727484493121,0.3949727484493121,1746584.3772205126,785146.2594192713,5845026.000000003,4508466.700312629,176284.79346371902,176284.79346371902
Angola,AGO,16000000.0,Middle Africa,0.22799217891959261,0.06583642893807344,0.7662999999999999,0.5480609163813221,0.004677742411593453,0.004677742411593453,0.46077789672649394,0.46077789672649394,3647874.8627134818,1053382.863009175,12260799.999999998,8768974.662101155,74843.87858549526,74843.87858549526
Albania,ALB,1370000.0,Southern Europe,0.24843447553386044,0.12428284215987005,0.5662,0.38663698808187563,0.0016668227362112557,0.0016668227362112557,0.28178517836476885,0.28178517836476885,340355.2314813888,170267.49375902198,775694.0,529692.6736721696,2283.54714860942,2283.54714860942
Andorra,AND,50504.0,Southern Europe,0.18300036184657514,0.06089359709230955,0.2872,0.11126580500852098,,,0.01236011306308951,0.01236011306308951,9242.25027469943,3075.3702275500013,14504.748800000001,5619.368216150344,,
United Arab Emirates,ARE,7090000.0,Western Asia,0.1864207921957547,0.07016104297546058,0.33506856366192467,0.14575047379265446,0.0024120422460671424,0.0024120422460671424,0.011248434381214466,0.011248434381214466,1321723.4166679007,497441.79469601554,2375636.1163630458,1033370.8591899201,17101.37952461604,17101.37952461604
Argentina,ARG,22300000.0,South America,0.2507709066850546,0.07425811541242941,0.3878826632213965,0.13632851171056354,0.0,0.0,0.001664779581900304,0.001664779581900304,5592191.219076717,1655955.9736971757,8649783.389837142,3040125.811145567,0.0,0.0
Armenia,ARM,1510000.0,Western Asia,0.21509184285533578,0.11008818320764602,0.5630000000000002,0.4129858634080348,,,0.30902630450557617,0.30902630450557617,324788.682711557,166233.1566435455,850130.0000000002,623608.6537461325,,
American Samoa,ASM,55958.0,Polynesia,0.18690074412093852,0.08232157617467856,0.4891,0.3420390198845327,,,0.21319521643933909,0.21319521643933909,10458.591839519477,4606.550759582663,27369.0578,19139.81947469868,,
Antigua and Barbuda,ATG,46540.0,Caribbean,0.24593434935552105,0.16222597079717552,0.8682000000000002,0.7357690801411492,,,0.3297988234205878,0.3297988234205878,11445.78461900595,7549.996680900548,40406.028000000006,34242.69298976908,,
Australia,AUS,14900000.0,Australia and New Zealand,0.160623463751517,0.06561964137777238,0.24899999999999997,0.11619555119738519,0.0001574261217391232,0.0001574261217391232,0.013304830192332784,0.013304830192332784,2393289.6098976033,977732.6565288084,3710099.9999999995,1731313.7128410393,2345.649213912936,2345.649213912936
Austria,AUT,4770000.0,Western Europe,0.22136137605413866,0.09089231456364946,0.3455,0.16067251421025572,0.0008899379858483443,0.0008899379858483443,0.025889319508201284,0.025889319508201284,1055893.7637782414,433556.34046860796,1648034.9999999998,766407.8927829198,4245.004192496603,4245.004192496603
Azerbaijan,AZE,5020000.0,Western Asia,0.18174921017681112,0.09589352425542197,0.5598000000000002,0.4393347387341939,,,0.3362674306463835,0.3362674306463835,912381.0350875919,481385.4917622183,2810196.000000001,2205460.388445653,,
Burundi,BDI,6110000.0,Eastern Africa,0.05807841623969642,0.021551855088971235,0.8336938175005955,0.7806109080596907,0.00011700439674907038,0.00011700439674907038,0.7335864936228971,0.7335864936228971,354859.12322454515,131681.83459361424,5093869.224928638,4769532.64824471,714.89686413682,714.89686413682
Belgium,BEL,5420000.0,Western Europe,0.1870543247812503,0.07683076280102893,0.29183902339590073,0.13084726734072408,0.0014992308755490018,0.0014992308755490018,0.01079102187654434,0.01079102187654434,1013834.4403143767,416422.7343815768,1581767.506805782,709192.1889867245,8125.83134547559,8125.83134547559
Benin,BEN,6400000.0,Western Africa,0.33813784161929494,0.13424252895659144,0.7150792249605556,0.45094235377032366,0.0005400879589659506,0.0005400879589659506,0.37982755403588475,0.37982755403588475,2164082.1863634875,859152.1853221853,4576507.039747556,2886031.0641300716,3456.5629373820834,3456.5629373820834
Burkina Faso,BFA,6460000.0,Western Africa,0.16290678706068223,0.03941684042979239,0.6907999999999997,0.529852701475667,0.0009081508378370626,0.0009081508378370626,0.4748274315044916,0.4748274315044916,1052377.8444120071,254632.78917645884,4462567.999999998,3422848.4515328086,5866.654412427424,5866.654412427424
Bangladesh,BGD,77400000.0,Southern Asia,0.2975751521825124,0.17979335568751664,0.6623999999999998,0.4937470019187058,0.0008428845627005914,0.0008428845627005914,0.3532234121858243,0.3532234121858243,23032316.77892646,13916005.730213787,51269759.999999985,38216017.94850783,65239.26515302578,65239.26515302578
Bulgaria,BGR,3120000.0,Eastern Europe,0.2330236322154268,0.09584694003904168,0.39736889857696284,0.19617140047951087,0.0028679033172368212,0.0028679033172368212,0.023688104088204983,0.023688104088204983,727033.7325121316,299042.45292181004,1239790.9635601242,612054.769496074,8947.858349778882,8947.858349778882
Bahrain,BHR,913000.0,Western Asia,0.1864207921957547,0.07016104297546058,0.33506856366192467,0.14575047379265446,,,0.011248434381214466,0.011248434381214466,170202.18327472403,64057.03223659551,305917.5986233372,133070.18257269353,,
Bahamas,BHS,237000.0,Caribbean,0.24663186619820462,0.09203776719539163,0.392279910091092,0.16759507373792584,0.0003880279190819827,0.0003880279190819827,0.013040127765290429,0.013040127765290429,58451.752288974494,21812.950825307817,92970.3386915888,39720.03247588842,91.96261682242991,91.96261682242991
Bosnia and Herzegovina,BIH,1360000.0,Southern Europe,0.22145183985310968,0.09588125345235274,0.477,0.29565965127957217,0.0027450202116214213,0.0027450202116214213,0.13094017168358282,0.13094017168358282,301174.50220022915,130398.50469519972,648720.0,402097.12574021815,3733.227487805133,3733.227487805133
Belarus,BLR,4820000.0,Eastern Europe,0.23275323780820856,0.11344427272084731,0.4186,0.23262968951018553,0.0,0.0,0.02320663509366758,0.02320663509366758,1121870.6062355652,546801.394514484,2017652.0000000002,1121275.1034390943,0.0,0.0
Belize,BLZ,190000.0,Central America,0.2878162565507625,0.11140514258349993,0.5330817307029515,0.2806080925697787,0.003195610516012518,0.003195610516012518,0.05852782028482016,0.05852782028482016,54685.08874464487,21166.977090864988,101285.52883356079,53315.537588257954,607.1659980423784,607.1659980423784
Bermuda,BMU,52878.0,Northern America,0.2041154670760284,0.0917721954074247,0.3788,0.21575908012122721,,,0.08712868009346048,0.08712868009346048,10793.217668046229,4852.730148753803,20030.186400000002,11408.908638650253,,
Bolivia,BOL,6860000.0,South America,0.29968249099457595,0.13311533803932382,0.5624,0.3284361281399989,0.0004433980641830095,0.0004433980641830095,0.20723691194154276,0.20723691194154276,2055821.888222791,913171.2189497615,3858064.0,2253071.8390403925,3041.7107202954453,3041.7107202954453
Brazil,BRA,107000000.0,South America,0.23182557625776692,0.08324095044858787,0.391,0.1762634674249673,0.0032534230929677508,0.0032534230929677508,0.03551446046599156,0.03551446046599156,24805336.65958106,8906781.697998902,41837000.0,18860191.0144715,348116.2709475493,348116.2709475493
Barbados,BRB,147000.0,Caribbean,0.1998355904418571,0.0746438681898916,0.3236999999999999,0.1387095591925858,0.0,0.0,0.02473114019240328,0.02473114019240328,29375.831794952996,10972.648623914067,47583.89999999998,20390.30520131011,0.0,0.0
Brunei Darussalam,BRN,234000.0,South-eastern Asia,0.2047126206396789,0.07693846246167584,0.3139000000000001,0.13110518966555,0.011115252412307947,0.011115252412307947,0.0039507585392518,0.0039507585392518,47902.753229684866,18003.600216032144,73452.60000000003,30678.6143817387,2600.96906448006,2600.96906448006
Bhutan,BTN,406000.0,Southern Asia,0.23234811944337946,0.17262110135077374,0.5570313960878089,0.46606729653987505,0.003569658975850406,0.003569658975850406,0.36731315571210066,0.36731315571210066,94333.33649401207,70084.16714841414,226154.74681165043,189223.32239518926,1449.2815441952648,1449.2815441952648
Botswana,BWA,1170000.0,Southern Africa,0.21740096388700478,0.08551519897613377,0.5088,0.3066487747635873,0.0017921896952541696,0.0017921896952541696,0.11480879747728324,0.11480879747728324,254359.1277477956,100052.78280207652,595296.0,358779.06647339714,2096.8619434473785,2096.8619434473785
Central African Republic,CAF,2000000.0,Middle Africa,0.30156328277204236,0.09473564875194308,0.6228,0.34145887086790144,,,0.23726923149485568,0.23726923149485568,603126.5655440848,189471.29750388616,1245600.0,682917.7417358028,,
Canada,CAN,22900000.0,Northern America,0.1935292725586574,0.08185048891300044,0.29580000000000006,0.13814698598393338,,,0.0031431902401827354,0.0031431902401827354,4431820.341593254,1874376.19610771,6773820.000000002,3163565.9790320746,,
Switzerland,CHE,5150000.0,Western Europe,0.1995165206644847,0.08991781559361026,0.3010999999999999,0.14768663254885603,0.00039553012399594546,0.00039553012399594546,0.01832152272479971,0.01832152272479971,1027510.0814220961,463076.7503070928,1550664.9999999995,760586.1576266085,2036.980138579119,2036.980138579119
Chile,CHL,10100000.0,South America,0.24868153186811334,0.09193737150120791,0.4243890584826698,0.19745587469153125,0.0009729429882350458,0.0009729429882350458,0.020445348614147086,0.020445348614147086,2511683.4718679446,928567.4521621999,4286329.490674965,1994304.3343844656,9826.724181173962,9826.724181173962
China,CHN,774000000.0,Eastern Asia,0.2431160042726002,0.11433660730260774,0.5084474130618734,0.3228355147414423,,,0.15232848220904924,0.15232848220904924,188171787.30699256,88496534.05221839,393538297.70988995,249874688.40987632,,
Cote d'Ivoire,CIV,12600000.0,Western Africa,0.3849271766270803,0.18357527751384314,0.7348000000000001,0.46767162009859276,0.0006237098793041533,0.0006237098793041533,0.3712478806630271,0.3712478806630271,4850082.425501212,2313048.4966744236,9258480.000000002,5892662.413242268,7858.744479232332,7858.744479232332
Cameroon,CMR,11100000.0,Middle Africa,0.16129164220201328,0.06074148910606824,0.6290180985304652,0.4728262789366341,,,0.36136258538005694,0.36136258538005694,1790337.2284423474,674230.5290773575,6982100.893688164,5248371.696196638,,
DR Congo,COD,38500000.0,Middle Africa,0.21856410048688293,0.15321266265991124,0.7693945290181995,0.684377008354475,0.00013624679457154064,0.00013624679457154064,0.6379018524442583,0.6379018524442583,8414717.868744994,5898687.512406583,29621689.36720068,26348514.821647286,5245.501591004315,5245.501591004315
Congo Republic,COG,2560000.0,Middle Africa,0.16129164220201328,0.06074148910606824,0.6290180985304652,0.4728262789366341,,,0.36136258538005694,0.36136258538005694,412906.604037154,155498.2121115347,1610286.3322379908,1210435.2740777833,,
Colombia,COL,26800000.0,South America,0.2511184222503237,0.09163234919858153,0.4725546037572512,0.23846438486332278,0.0003842152925309264,0.0003842152925309264,0.04271476268732438,0.04271476268732438,6729973.716308676,2455746.958521985,12664463.380694333,6390845.514337051,10296.969839828827,10296.969839828827
Comoros,COM,276000.0,Eastern Africa,0.24437660501854674,0.1206575980862944,0.5659272519358907,0.3769547508746181,,,0.12679804111299575,0.12679804111299575,67447.9429851189,33301.497071817255,156195.92153430582,104039.51124139459,,
Cabo Verde,CPV,224000.0,Western Africa,0.26165595062716734,0.10472713574516657,0.4979947543424476,0.2660039868490835,,,0.08215281220680336,0.08215281220680336,58610.93294048549,23458.878406917313,111550.82497270826,59584.893054194705,,
Costa Rica,CRI,2360000.0,Central America,0.2419185769811189,0.08950681372584923,0.4363672122218532,0.21214916105081885,0.0,0.0,0.021390826967784788,0.021390826967784788,570927.8416754407,211236.0803930042,1029826.6208435736,500672.02007993247,0.0,0.0
Cuba,CUB,4860000.0,Caribbean,0.23264197089131733,0.07540308546117455,0.40069999999999995,0.16879453200155686,,,0.02963043276674608,0.02963043276674608,1130639.9785318023,366458.9953413083,1947401.9999999998,820341.4255275663,,
Curacao,CUW,71999.0,Caribbean,0.2041154670760284,0.0917721954074247,0.3788,0.21575908012122721,,,0.08712868009346048,0.08712868009346048,14696.109514006968,6607.506297139172,27273.221200000004,15534.438009648238,,
Cayman Islands,CYM,60828.0,Caribbean,0.2041154670760284,0.0917721954074247,0.3788,0.21575908012122721,,,0.08712868009346048,0.08712868009346048,12415.935631300656,5582.31910224283,23041.6464,13124.19332561401,,
Cyprus,CYP,772000.0,Western Asia,0.18300036184657514,0.06089359709230955,0.2872,0.11126580500852098,0.006390178444920446,0.006390178444920446,0.01236011306308951,0.01236011306308951,141276.27934555602,47009.85695526297,221718.4,85897.2014665782,4933.217759478584,4933.217759478584
Czechia,CZE,5540000.0,Eastern Europe,0.19350743790149463,0.09121945130667303,0.32520000000000016,0.17266399774535815,0.0007216975185571741,0.0007216975185571741,0.009041041907609328,0.009041041907609328,1072031.2059742804,505355.7602389686,1801608.000000001,956558.5475092841,3998.2042528067445,3998.2042528067445
Germany,DEU,43800000.0,Western Europe,0.20035082121198058,0.09081194790031169,0.30162425109648,0.14842882747103767,0.0016255104595590821,0.0016255104595590821,0.010935949612101589,0.010935949612101589,8775365.969084749,3977563.318033652,13211142.198025825,6501182.64323145,71197.3581286878,71197.3581286878
Djibouti,DJI,265000.0,Eastern Africa,0.1965673977817001,0.08187900636884418,0.4288968792794462,0.21780780983426298,,,0.052640047365236343,0.052640047365236343,52090.36041215053,21697.93668774371,113657.67300905324,57719.06960607969,,
Dominica,DMA,32630.0,Caribbean,0.24593434935552105,0.16222597079717552,0.8682000000000002,0.7357690801411492,,,0.3297988234205878,0.3297988234205878,8024.837819470652,5293.433427111837,28329.366000000005,24008.145085005697,,
Denmark,DNK,3210000.0,Northern Europe,0.2165157767533181,0.08488566341840552,0.32802497352954324,0.14344995031721403,0.0015834221205196992,0.0015834221205196992,0.013083099835460637,0.013083099835460637,695015.6433781511,272482.9795730817,1052960.1650298338,460474.340518257,5082.785006868235,5082.785006868235
Dominican Republic,DOM,5410000.0,Caribbean,0.23264197089131733,0.07540308546117455,0.40069999999999995,0.16879453200155686,0.0027222353845053606,0.0027222353845053606,0.02963043276674608,0.02963043276674608,1258593.0625220267,407930.6923449543,2167786.9999999995,913178.4181284226,14727.293430174,14727.293430174
Algeria,DZA,13300000.0,Northern Africa,0.2545380224652859,0.12357515804516105,0.48389999999999994,0.2811729691267337,,,0.06525768106905805,0.06525768106905805,3385355.6987883025,1643549.6020006419,6435869.999999999,3739600.489385558,,
Ecuador,ECU,8820000.0,South America,0.2662469503669375,0.12016337630087244,0.588,0.374439147793239,0.0014475211109973266,0.0014475211109973266,0.1652556969228401,0.1652556969228401,2348298.1022363887,1059840.9789736948,5186160.0,3302553.283536368,12767.13619899642,12767.13619899642
Egypt,EGY,33700000.0,Northern Africa,0.2331125521700266,0.10683914908815571,0.4442999999999999,0.25548379900566304,0.0,0.0,0.1312578344280813,0.1312578344280813,7855893.008129897,3600479.3242708477,14972909.999999998,8609804.026490845,0.0,0.0
Eritrea,ERI,1710000.0,Eastern Africa,0.21345787280906733,0.0835471872174023,0.494145592226368,0.27837826284844974,,,0.12121437604182494,0.12121437604182494,365012.9625035051,142865.69014175792,844988.9627070893,476026.8294708491,,
Spain,ESP,24400000.0,Southern Europe,0.23313148228899955,0.0861306428471476,0.37278180988325776,0.16411194703534604,0.002099007062814893,0.002099007062814893,0.017530750810373575,0.017530750810373575,5688408.167851589,2101587.6854704013,9095876.16115149,4004331.5076624434,51215.77233268339,51215.77233268339
Estonia,EST,756000.0,Northern Europe,0.17466751246800397,0.07574911395146701,0.2975607349132358,0.14687889332301315,0.0017257118204116852,0.0017257118204116852,0.007362003768566045,0.007362003768566045,132048.639425811,57266.33014730906,224955.91559440628,111040.44335219795,1304.638136231234,1304.638136231234
Ethiopia,ETH,54500000.0,Eastern Africa,0.20096632036265571,0.08105652860701501,0.8155000000000002,0.6289713194532971,0.0007550391439340811,0.0007550391439340811,0.4655045723728797,0.4655045723728797,10952664.459764736,4417580.809082318,44444750.000000015,34278936.91020469,41149.63334440742,41149.63334440742
Finland,FIN,2900000.0,Northern Europe,0.21083614728644892,0.09018382848220559,0.3352987145952879,0.1623787845655676,0.0011166660749988104,0.0011166660749988104,0.02004476974427108,0.02004476974427108,611424.8271307019,261533.10259839622,972366.2723263348,470898.47524014604,3238.3316174965503,3238.3316174965503
Fiji,FJI,388000.0,Melanesia,0.24650209397195347,0.12042014517640076,0.5566999999999999,0.36585023803251787,0.0,0.0,0.221277742267988,0.221277742267988,95642.81246111795,46723.0163284435,215999.59999999995,141949.89235661694,0.0,0.0
France,FRA,31700000.0,Western Europe,0.2280851578873576,0.10163285705353545,0.36649999999999994,0.1786638294392767,0.0027165249848164915,0.0027165249848164915,0.02340120353064553,0.02340120353064553,7230299.505029236,3221761.5685970737,11618049.999999998,5663643.393225071,86113.84201868279,86113.84201868279
