Region,Labour Force (2024),Indoor Essential Workers,Indoor Vital Workers,Essential Workers,Vital Workers,Armed Forces (Indoor Essential),Armed Forces (Essential),%Indoor Essential Workers,%Indoor Vital Workers,%Essential Workers,%Vital Workers,%Armed Forces (Indoor Essential),%Armed Forces (Essential)
Australia and New Zealand,18020000.0,3479462.4638595483,1372191.380648154,5747123.728127085,2681941.524144998,2345.649213912936,2345.649213912936,0.1930889269622391,0.07614824531898746,0.3189302845797494,0.1488313831379022,0.00013016921275876448,0.00013016921275876448
Caribbean,19898576.654583998,4231120.611177865,1390070.640893742,8288340.557091595,4018965.7642256375,17050.518855205304,17050.518855205304,0.212634334838374,0.06985779259611084,0.4165293176978176,0.201972524667979,0.0008568712803524773,0.0008568712803524773
Central America,83750000.0,21072880.543413974,6385516.5044836905,41651081.30119699,19805322.044764064,48469.37225662192,48469.37225662192,0.2516164841004654,0.07624497318786497,0.49732634389488944,0.2364814572509142,0.0005787387732133961,0.0005787387732133961
Central Asia,32720000.0,6269074.750597812,2966176.970756625,18495021.291150186,13384258.890813868,5719.945979238151,5719.945979238151,0.19159763907695024,0.09065333040209733,0.5652512619544678,0.40905436707866344,0.00017481497491559142,0.00017481497491559142
Eastern Africa,211669000.0,37930516.721841335,19727927.701728236,152065535.8308874,123763726.77635226,205581.98122015782,205581.98122015782,0.1791973161957648,0.09320178061845728,0.7184119348175094,0.5847040746465106,0.000971242747970453,0.000971242747970453
Eastern Asia,896372000.0,197869826.7204981,86451985.28882943,444244372.0812212,276787226.9302505,3146.976207467242,3146.976207467242,0.2207452114975681,0.09644654818404572,0.4956026873677683,0.3087861143925184,3.510792625681349e-06,3.510792625681349e-06
Eastern Europe,146570604.0,28083003.126994636,12456959.577639638,54818788.33975472,30651411.589178566,113411.58770410951,113411.58770410951,0.1916005144319023,0.08498948109431027,0.3740094319305304,0.20912386762886345,0.0007737676219449127,0.0007737676219449127
Melanesia,4733000.0,1245588.9177470433,476579.7172996508,3136923.8968915343,2048280.7493052983,2781.961296462686,2781.961296462686,0.26317112143398336,0.10069294682012482,0.6627770751936477,0.43276584603957285,0.0005877796950058495,0.0005877796950058495
Micronesia,177856.0,36007.06474868462,14010.59109119941,82061.77650451605,48527.543318053504,61.72334801762115,61.72334801762115,0.20245066092054595,0.0787749139258693,0.46139447926702526,0.2728473783175912,0.000347041134499939,0.000347041134499939
Middle Africa,78333500.0,14503053.797573565,7198985.01040058,53741869.6008995,43657863.77441218,80173.27473836136,80173.27473836136,0.18514497370312274,0.09190174076736747,0.6860649607243325,0.557333245347293,0.0010234864360504938,0.0010234864360504938
Northern Africa,79390000.0,18220828.270545244,7724008.064390952,40195226.04583358,23780324.031987365,154333.59762827854,154333.59762827854,0.22951036995270493,0.09729195193841733,0.5063008697044159,0.29953802786229206,0.0019439929163405786,0.0019439929163405786
Northern America,196981870.0,37292156.946050614,15357071.50931408,60864835.50625349,28427942.052398454,0.0,0.0,0.18931771206177814,0.07796185257716398,0.30898699208335006,0.1443175559882666,0.0,0.0
Northern Europe,56687755.0,10559458.79604634,4131921.4171932987,17238333.567937687,7866443.186031129,67076.9783479836,67076.9783479836,0.1862740691714876,0.07288913482626537,0.3040927192819276,0.13876794355379093,0.0011832710317772083,0.0011832710317772083
Polynesia,284604.0,53026.70042144206,21753.708763319984,148550.14182331064,102522.55393374623,123.19700356430859,123.19700356430859,0.1863174812070177,0.07643500710924647,0.5219538088829062,0.3602287878376489,0.00043287165171363925,0.00043287165171363925
South America,217697000.0,53496220.03823411,18229395.692421846,102496030.26102498,49536159.77807984,443708.10012102674,443708.10012102674,0.2457370567267078,0.08373746855685583,0.47081967257713697,0.22754635928873543,0.002038191156152941,0.002038191156152941
South-eastern Asia,350750000.0,93611627.15269719,37072573.528384745,206900439.9682535,125910244.67277902,487528.2851785971,487528.2851785971,0.2668898849684881,0.10569514904742622,0.5898800854404946,0.35897432551041775,0.001389959473067989,0.001389959473067989
Southern Africa,31375000.0,5205026.063256923,1731032.603089337,11727663.76665287,5781371.158878469,28817.900250338193,28817.900250338193,0.16589724504404535,0.05517235388332548,0.3737900802120437,0.18426680984473207,0.000918498812759783,0.000918498812759783
Southern Asia,824346000.0,197241787.07709962,111383280.75791036,510011843.8608594,379075746.5610082,606611.8277897582,606611.8277897582,0.23927063038711854,0.13511714833081057,0.6186866241370242,0.4598502892729609,0.0007358704085296201,0.0007358704085296201
Southern Europe,70959625.0,14737086.573451094,5568276.976409763,26278494.294749063,12683883.443607215,182500.85687659463,182500.85687659463,0.20768270088026952,0.07847105979505617,0.37033023067341553,0.1787478928137968,0.0025718971439969507,0.0025718971439969507
Western Africa,194152000.0,31038240.27742334,11573046.83818828,107893104.7155407,80323705.01834264,319902.2469841308,319902.2469841308,0.15986567368568616,0.059608177295048616,0.5557146190383859,0.4137155683090704,0.0016476896811989101,0.0016476896811989101
Western Asia,114455000.0,23673822.53189738,9475979.983433222,49378684.57682427,26813599.879454818,306341.72854969016,306341.72854969016,0.20683956604689513,0.08279218892519526,0.43142444259162355,0.23427198356956724,0.0026765255213812428,0.0026765255213812428
Western Europe,101589150.0,18829376.057879727,8042311.955231928,30786285.06378138,14901468.375095947,183496.87630780364,183496.87630780364,0.1853482980995483,0.0791650678761652,0.30304697956210264,0.14668366036231179,0.001806264510607714,0.001806264510607714
