Region,Percentage after 1 Year
Australia and New Zealand,60.68103776502765
Caribbean,12.557405298055137
Central America,38.86318466218883
Central Asia,11.831087532348334
Eastern Africa,0.03891400744711658
Eastern Asia,64.35856805891957
Eastern Europe,29.243773417202164
Melanesia,0.32894828183287955
Micronesia,2.391281663744634
Middle Africa,0.007162232829935721
Northern Africa,7.2390632940725785
Northern America,164.64471166041812
Northern Europe,122.30671648031554
Polynesia,1.5449648464963672
South America,15.702261643192708
South-eastern Asia,13.340025570586247
Southern Africa,25.169822135557194
Southern Asia,4.405503700112097
Southern Europe,78.28461966875447
Western Africa,2.3386618304171907
Western Asia,23.51631839176938
Western Europe,166.9456557121077
