,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54
Aruba,7780,19199,0.0,0.0+/-0,0.0+/-0,0.0+/-0,0.85+/-0.30,0.85+/-0.30,0.85+/-0.30,0.85+/-0.30,0.85+/-0.30,0.85+/-0.30,0.85+/-0.30,0.85+/-0.30,0.85+/-0.30,0.85+/-0.30,0.85+/-0.30,0.85+/-0.30,0.85+/-0.30,0.85+/-0.30,0.85+/-0.30,0.85+/-0.30,0.85+/-0.30,0.85+/-0.30,0.85+/-0.30,0.85+/-0.30,0.85+/-0.30,0.85+/-0.30,0.85+/-0.30,0.85+/-0.30,0.85+/-0.30,0.85+/-0.30,0.85+/-0.30,0.85+/-0.30,0.85+/-0.30,0.85+/-0.30,0.85+/-0.30,0.85+/-0.30,0.85+/-0.30,0.85+/-0.30,0.85+/-0.30,0.85+/-0.30,0.85+/-0.30,0.85+/-0.30,0.85+/-0.30,0.85+/-0.30,0.85+/-0.30,0.85+/-0.30,0.85+/-0.30,0.85+/-0.30,0.85+/-0.30,0.85+/-0.30,0.85+/-0.30,0.85+/-0.30,0.85+/-0.30
Afghanistan,1131504,2811747,0.0,0.0021+/-0.0011,0.0047+/-0.0025,0.008+/-0.004,0.018+/-0.007,0.025+/-0.010,0.039+/-0.017,0.046+/-0.021,0.050+/-0.023,0.054+/-0.025,0.056+/-0.026,0.058+/-0.028,0.058+/-0.028,0.058+/-0.028,0.058+/-0.028,0.058+/-0.028,0.058+/-0.028,0.058+/-0.028,0.058+/-0.028,0.058+/-0.028,0.058+/-0.028,0.058+/-0.028,0.058+/-0.028,0.058+/-0.028,0.058+/-0.028,0.058+/-0.028,0.058+/-0.028,0.058+/-0.028,0.058+/-0.028,0.058+/-0.028,0.058+/-0.028,0.058+/-0.028,0.058+/-0.028,0.058+/-0.028,0.058+/-0.028,0.058+/-0.028,0.058+/-0.028,0.058+/-0.028,0.058+/-0.028,0.058+/-0.028,0.058+/-0.028,0.058+/-0.028,0.058+/-0.028,0.058+/-0.028,0.058+/-0.028,0.058+/-0.028,0.058+/-0.028,0.058+/-0.028,0.058+/-0.028,0.058+/-0.028,0.058+/-0.028,0.058+/-0.028,0.058+/-0.028
Angola,1197635,4410067,0.0,0.0+/-0,0.0+/-0,0.0+/-0,0.0055+/-0.0019,0.0055+/-0.0019,0.0055+/-0.0019,0.0055+/-0.0019,0.0055+/-0.0019,0.0055+/-0.0019,0.0055+/-0.0019,0.0055+/-0.0019,0.0055+/-0.0019,0.0055+/-0.0019,0.0055+/-0.0019,0.0055+/-0.0019,0.0055+/-0.0019,0.0055+/-0.0019,0.0055+/-0.0019,0.0055+/-0.0019,0.0055+/-0.0019,0.0055+/-0.0019,0.0055+/-0.0019,0.0055+/-0.0019,0.0055+/-0.0019,0.0055+/-0.0019,0.0055+/-0.0019,0.0055+/-0.0019,0.0055+/-0.0019,0.0055+/-0.0019,0.0055+/-0.0019,0.0055+/-0.0019,0.0055+/-0.0019,0.0055+/-0.0019,0.0055+/-0.0019,0.0055+/-0.0019,0.0055+/-0.0019,0.0055+/-0.0019,0.0055+/-0.0019,0.0055+/-0.0019,0.0055+/-0.0019,0.0055+/-0.0019,0.0055+/-0.0019,0.0055+/-0.0019,0.0055+/-0.0019,0.0055+/-0.0019,0.0055+/-0.0019,0.0055+/-0.0019,0.0055+/-0.0019,0.0055+/-0.0019,0.0055+/-0.0019,0.0055+/-0.0019,0.0055+/-0.0019
Albania,206910,463254,0.0,0.014+/-0.007,0.031+/-0.016,0.051+/-0.027,0.11+/-0.04,0.16+/-0.07,0.25+/-0.11,0.29+/-0.14,0.32+/-0.15,0.34+/-0.16,0.36+/-0.17,0.37+/-0.18,0.37+/-0.18,0.37+/-0.18,0.37+/-0.18,0.37+/-0.18,0.37+/-0.18,0.37+/-0.18,0.37+/-0.18,0.37+/-0.18,0.37+/-0.18,0.37+/-0.18,0.37+/-0.18,0.37+/-0.18,0.37+/-0.18,0.37+/-0.18,0.37+/-0.18,0.37+/-0.18,0.37+/-0.18,0.37+/-0.18,0.37+/-0.18,0.37+/-0.18,0.37+/-0.18,0.37+/-0.18,0.37+/-0.18,0.37+/-0.18,0.37+/-0.18,0.37+/-0.18,0.37+/-0.18,0.37+/-0.18,0.37+/-0.18,0.37+/-0.18,0.37+/-0.18,0.37+/-0.18,0.37+/-0.18,0.37+/-0.18,0.37+/-0.18,0.37+/-0.18,0.37+/-0.18,0.37+/-0.18,0.37+/-0.18,0.37+/-0.18,0.37+/-0.18
Andorra,5739,15955,0.0,0.041+/-0.021,0.09+/-0.05,0.15+/-0.08,1.4+/-0.4,1.5+/-0.5,1.8+/-0.5,1.9+/-0.6,2.0+/-0.6,2.1+/-0.6,2.1+/-0.7,2.2+/-0.7,2.2+/-0.7,2.2+/-0.7,2.2+/-0.7,2.2+/-0.7,2.2+/-0.7,2.2+/-0.7,2.2+/-0.7,2.2+/-0.7,2.2+/-0.7,2.2+/-0.7,2.2+/-0.7,2.2+/-0.7,2.2+/-0.7,2.2+/-0.7,2.2+/-0.7,2.2+/-0.7,2.2+/-0.7,2.2+/-0.7,2.2+/-0.7,2.2+/-0.7,2.2+/-0.7,2.2+/-0.7,2.2+/-0.7,2.2+/-0.7,2.2+/-0.7,2.2+/-0.7,2.2+/-0.7,2.2+/-0.7,2.2+/-0.7,2.2+/-0.7,2.2+/-0.7,2.2+/-0.7,2.2+/-0.7,2.2+/-0.7,2.2+/-0.7,2.2+/-0.7,2.2+/-0.7,2.2+/-0.7,2.2+/-0.7,2.2+/-0.7,2.2+/-0.7
United Arab Emirates,846149,2156843,0.0,0.12+/-0.06,0.27+/-0.14,0.45+/-0.24,0.7+/-0.4,2.0+/-0.6,3.7+/-1.0,4.9+/-1.3,6.1+/-1.4,7.1+/-1.6,8.1+/-1.7,9.1+/-1.8,10.0+/-1.9,10.9+/-2.0,11.8+/-2.0,12.6+/-2.1,13.5+/-2.2,14.4+/-2.3,15.3+/-2.4,16.2+/-2.5,17.0+/-2.6,17.9+/-2.7,18.8+/-2.8,19.7+/-2.9,20.5+/-3.0,21.4+/-3.1,22.3+/-3.2,23.2+/-3.4,24.0+/-3.5,25+/-4,26+/-4,27+/-4,28+/-4,28+/-4,29+/-4,30+/-4,31+/-4,32+/-5,33+/-5,34+/-5,35+/-5,35+/-5,36+/-5,37+/-5,38+/-5,39+/-6,40+/-6,41+/-6,42+/-6,42+/-6,43+/-6,44+/-6,45+/-6
Argentina,2516635,8179552,0.0,0.07+/-0.04,0.17+/-0.09,0.28+/-0.15,0.51+/-0.23,0.8+/-0.4,1.2+/-0.6,1.9+/-0.7,2.6+/-0.8,3.2+/-0.9,3.8+/-1.0,4.3+/-1.0,4.8+/-1.1,5.3+/-1.1,5.7+/-1.1,6.2+/-1.2,6.7+/-1.2,7.2+/-1.2,7.7+/-1.3,8.1+/-1.3,8.6+/-1.4,9.1+/-1.4,9.6+/-1.5,10.0+/-1.5,10.5+/-1.6,11.0+/-1.7,11.5+/-1.7,12.0+/-1.8,12.4+/-1.8,12.9+/-1.9,13.4+/-1.9,13.9+/-2.0,14.3+/-2.1,14.8+/-2.1,15.3+/-2.2,15.8+/-2.3,16.3+/-2.3,16.7+/-2.4,17.2+/-2.5,17.7+/-2.5,18.2+/-2.6,18.7+/-2.6,19.1+/-2.7,19.6+/-2.8,20.1+/-2.8,20.6+/-2.9,21.0+/-3.0,21.5+/-3.0,22.0+/-3.1,22.5+/-3.2,23.0+/-3.2,23.4+/-3.3,23.9+/-3.4
Armenia,208858,448854,0.0,0.022+/-0.012,0.049+/-0.026,0.08+/-0.04,0.16+/-0.07,0.24+/-0.11,0.38+/-0.18,0.45+/-0.22,0.50+/-0.25,0.53+/-0.26,0.56+/-0.28,0.58+/-0.29,0.58+/-0.29,0.58+/-0.29,0.58+/-0.29,0.58+/-0.29,0.58+/-0.29,0.58+/-0.29,0.58+/-0.29,0.58+/-0.29,0.58+/-0.29,0.58+/-0.29,0.58+/-0.29,0.58+/-0.29,0.58+/-0.29,0.58+/-0.29,0.58+/-0.29,0.58+/-0.29,0.58+/-0.29,0.58+/-0.29,0.58+/-0.29,0.58+/-0.29,0.58+/-0.29,0.58+/-0.29,0.58+/-0.29,0.58+/-0.29,0.58+/-0.29,0.58+/-0.29,0.58+/-0.29,0.58+/-0.29,0.58+/-0.29,0.58+/-0.29,0.58+/-0.29,0.58+/-0.29,0.58+/-0.29,0.58+/-0.29,0.58+/-0.29,0.58+/-0.29,0.58+/-0.29,0.58+/-0.29,0.58+/-0.29,0.58+/-0.29,0.58+/-0.29
American Samoa,6748,16251,0.0,0.0+/-0,0.0+/-0,0.0+/-0,0.98+/-0.34,0.98+/-0.34,0.98+/-0.34,0.98+/-0.34,0.98+/-0.34,0.98+/-0.34,0.98+/-0.34,0.98+/-0.34,0.98+/-0.34,0.98+/-0.34,0.98+/-0.34,0.98+/-0.34,0.98+/-0.34,0.98+/-0.34,0.98+/-0.34,0.98+/-0.34,0.98+/-0.34,0.98+/-0.34,0.98+/-0.34,0.98+/-0.34,0.98+/-0.34,0.98+/-0.34,0.98+/-0.34,0.98+/-0.34,0.98+/-0.34,0.98+/-0.34,0.98+/-0.34,0.98+/-0.34,0.98+/-0.34,0.98+/-0.34,0.98+/-0.34,0.98+/-0.34,0.98+/-0.34,0.98+/-0.34,0.98+/-0.34,0.98+/-0.34,0.98+/-0.34,0.98+/-0.34,0.98+/-0.34,0.98+/-0.34,0.98+/-0.34,0.98+/-0.34,0.98+/-0.34,0.98+/-0.34,0.98+/-0.34,0.98+/-0.34,0.98+/-0.34,0.98+/-0.34,0.98+/-0.34
Antigua and Barbuda,7072,11531,0.0,0.013+/-0.007,0.030+/-0.016,0.050+/-0.026,1.01+/-0.33,1.06+/-0.34,1.14+/-0.35,1.18+/-0.35,1.2+/-0.4,1.2+/-0.4,1.3+/-0.4,1.3+/-0.4,1.3+/-0.4,1.3+/-0.4,1.3+/-0.4,1.3+/-0.4,1.3+/-0.4,1.3+/-0.4,1.3+/-0.4,1.3+/-0.4,1.3+/-0.4,1.3+/-0.4,1.3+/-0.4,1.3+/-0.4,1.3+/-0.4,1.3+/-0.4,1.3+/-0.4,1.3+/-0.4,1.3+/-0.4,1.3+/-0.4,1.3+/-0.4,1.3+/-0.4,1.3+/-0.4,1.3+/-0.4,1.3+/-0.4,1.3+/-0.4,1.3+/-0.4,1.3+/-0.4,1.3+/-0.4,1.3+/-0.4,1.3+/-0.4,1.3+/-0.4,1.3+/-0.4,1.3+/-0.4,1.3+/-0.4,1.3+/-0.4,1.3+/-0.4,1.3+/-0.4,1.3+/-0.4,1.3+/-0.4,1.3+/-0.4,1.3+/-0.4,1.3+/-0.4
