,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54
Aruba,5687,12647,0,0.0+/-0,0.0+/-0,0.0+/-0,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03
Afghanistan,839122,1865189,0,(2.6+/-1.3)e+03,(5.8+/-3.0)e+03,(1.0+/-0.5)e+04,(2.2+/-0.8)e+04,(3.0+/-1.3)e+04,(4.7+/-2.1)e+04,(5.6+/-2.6)e+04,(6.1+/-2.9)e+04,(6.5+/-3.1)e+04,(6.8+/-3.2)e+04,(7.1+/-3.4)e+04,(7.1+/-3.4)e+04,(7.1+/-3.4)e+04,(7.1+/-3.4)e+04,(7.1+/-3.4)e+04,(7.1+/-3.4)e+04,(7.1+/-3.4)e+04,(7.1+/-3.4)e+04,(7.1+/-3.4)e+04,(7.1+/-3.4)e+04,(7.1+/-3.4)e+04,(7.1+/-3.4)e+04,(7.1+/-3.4)e+04,(7.1+/-3.4)e+04,(7.1+/-3.4)e+04,(7.1+/-3.4)e+04,(7.1+/-3.4)e+04,(7.1+/-3.4)e+04,(7.1+/-3.4)e+04,(7.1+/-3.4)e+04,(7.1+/-3.4)e+04,(7.1+/-3.4)e+04,(7.1+/-3.4)e+04,(7.1+/-3.4)e+04,(7.1+/-3.4)e+04,(7.1+/-3.4)e+04,(7.1+/-3.4)e+04,(7.1+/-3.4)e+04,(7.1+/-3.4)e+04,(7.1+/-3.4)e+04,(7.1+/-3.4)e+04,(7.1+/-3.4)e+04,(7.1+/-3.4)e+04,(7.1+/-3.4)e+04,(7.1+/-3.4)e+04,(7.1+/-3.4)e+04,(7.1+/-3.4)e+04,(7.1+/-3.4)e+04,(7.1+/-3.4)e+04,(7.1+/-3.4)e+04,(7.1+/-3.4)e+04,(7.1+/-3.4)e+04
Angola,995453,3426263,0,0.0+/-0,0.0+/-0,0.0+/-0,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03
Albania,166947,330799,0,(3.1+/-1.6)e+03,(7+/-4)e+03,(1.1+/-0.6)e+04,(2.5+/-1.0)e+04,(3.5+/-1.5)e+04,(5.5+/-2.5)e+04,(6.5+/-3.0)e+04,(7.2+/-3.4)e+04,(8+/-4)e+04,(8+/-4)e+04,(8+/-4)e+04,(8+/-4)e+04,(8+/-4)e+04,(8+/-4)e+04,(8+/-4)e+04,(8+/-4)e+04,(8+/-4)e+04,(8+/-4)e+04,(8+/-4)e+04,(8+/-4)e+04,(8+/-4)e+04,(8+/-4)e+04,(8+/-4)e+04,(8+/-4)e+04,(8+/-4)e+04,(8+/-4)e+04,(8+/-4)e+04,(8+/-4)e+04,(8+/-4)e+04,(8+/-4)e+04,(8+/-4)e+04,(8+/-4)e+04,(8+/-4)e+04,(8+/-4)e+04,(8+/-4)e+04,(8+/-4)e+04,(8+/-4)e+04,(8+/-4)e+04,(8+/-4)e+04,(8+/-4)e+04,(8+/-4)e+04,(8+/-4)e+04,(8+/-4)e+04,(8+/-4)e+04,(8+/-4)e+04,(8+/-4)e+04,(8+/-4)e+04,(8+/-4)e+04,(8+/-4)e+04,(8+/-4)e+04,(8+/-4)e+04,(8+/-4)e+04
Andorra,3390,10195,0,(2.6+/-1.3)e+02,(5.8+/-3.0)e+02,(1.0+/-0.5)e+03,(8.1+/-2.5)e+03,(9.0+/-2.6)e+03,(1.06+/-0.31)e+04,(1.15+/-0.35)e+04,(1.2+/-0.4)e+04,(1.2+/-0.4)e+04,(1.3+/-0.4)e+04,(1.3+/-0.4)e+04,(1.3+/-0.4)e+04,(1.3+/-0.4)e+04,(1.3+/-0.4)e+04,(1.3+/-0.4)e+04,(1.3+/-0.4)e+04,(1.3+/-0.4)e+04,(1.3+/-0.4)e+04,(1.3+/-0.4)e+04,(1.3+/-0.4)e+04,(1.3+/-0.4)e+04,(1.3+/-0.4)e+04,(1.3+/-0.4)e+04,(1.3+/-0.4)e+04,(1.3+/-0.4)e+04,(1.3+/-0.4)e+04,(1.3+/-0.4)e+04,(1.3+/-0.4)e+04,(1.3+/-0.4)e+04,(1.3+/-0.4)e+04,(1.3+/-0.4)e+04,(1.3+/-0.4)e+04,(1.3+/-0.4)e+04,(1.3+/-0.4)e+04,(1.3+/-0.4)e+04,(1.3+/-0.4)e+04,(1.3+/-0.4)e+04,(1.3+/-0.4)e+04,(1.3+/-0.4)e+04,(1.3+/-0.4)e+04,(1.3+/-0.4)e+04,(1.3+/-0.4)e+04,(1.3+/-0.4)e+04,(1.3+/-0.4)e+04,(1.3+/-0.4)e+04,(1.3+/-0.4)e+04,(1.3+/-0.4)e+04,(1.3+/-0.4)e+04,(1.3+/-0.4)e+04,(1.3+/-0.4)e+04,(1.3+/-0.4)e+04,(1.3+/-0.4)e+04
United Arab Emirates,497441,1321723,0,(1.1+/-0.6)e+05,(2.5+/-1.3)e+05,(4.2+/-2.2)e+05,(6.8+/-3.5)e+05,(1.8+/-0.6)e+06,(3.3+/-0.9)e+06,(4.4+/-1.2)e+06,(5.4+/-1.3)e+06,(6.3+/-1.4)e+06,(7.2+/-1.6)e+06,(8.0+/-1.7)e+06,(8.7+/-1.7)e+06,(9.5+/-1.8)e+06,(1.02+/-0.18)e+07,(1.10+/-0.19)e+07,(1.17+/-0.20)e+07,(1.25+/-0.20)e+07,(1.32+/-0.21)e+07,(1.39+/-0.22)e+07,(1.47+/-0.23)e+07,(1.54+/-0.24)e+07,(1.62+/-0.25)e+07,(1.69+/-0.25)e+07,(1.76+/-0.26)e+07,(1.84+/-0.27)e+07,(1.91+/-0.28)e+07,(1.99+/-0.29)e+07,(2.06+/-0.30)e+07,(2.14+/-0.31)e+07,(2.21+/-0.32)e+07,(2.28+/-0.33)e+07,(2.36+/-0.34)e+07,(2.43+/-0.35)e+07,(2.5+/-0.4)e+07,(2.6+/-0.4)e+07,(2.7+/-0.4)e+07,(2.7+/-0.4)e+07,(2.8+/-0.4)e+07,(2.9+/-0.4)e+07,(3.0+/-0.4)e+07,(3.0+/-0.4)e+07,(3.1+/-0.4)e+07,(3.2+/-0.5)e+07,(3.2+/-0.5)e+07,(3.3+/-0.5)e+07,(3.4+/-0.5)e+07,(3.5+/-0.5)e+07,(3.5+/-0.5)e+07,(3.6+/-0.5)e+07,(3.7+/-0.5)e+07,(3.8+/-0.5)e+07,(3.8+/-0.5)e+07
Argentina,1655955,5592191,0,(2.0+/-1.1)e+05,(4.6+/-2.4)e+05,(8+/-4)e+05,(1.4+/-0.6)e+06,(2.1+/-1.0)e+06,(3.4+/-1.7)e+06,(5.3+/-2.0)e+06,(6.9+/-2.3)e+06,(8.4+/-2.5)e+06,(9.9+/-2.7)e+06,(1.13+/-0.28)e+07,(1.25+/-0.29)e+07,(1.37+/-0.29)e+07,(1.49+/-0.30)e+07,(1.61+/-0.31)e+07,(1.73+/-0.32)e+07,(1.85+/-0.33)e+07,(1.97+/-0.34)e+07,(2.09+/-0.35)e+07,(2.2+/-0.4)e+07,(2.3+/-0.4)e+07,(2.5+/-0.4)e+07,(2.6+/-0.4)e+07,(2.7+/-0.4)e+07,(2.8+/-0.4)e+07,(2.9+/-0.4)e+07,(3.1+/-0.5)e+07,(3.2+/-0.5)e+07,(3.3+/-0.5)e+07,(3.4+/-0.5)e+07,(3.5+/-0.5)e+07,(3.7+/-0.5)e+07,(3.8+/-0.5)e+07,(3.9+/-0.6)e+07,(4.0+/-0.6)e+07,(4.1+/-0.6)e+07,(4.3+/-0.6)e+07,(4.4+/-0.6)e+07,(4.5+/-0.6)e+07,(4.6+/-0.7)e+07,(4.7+/-0.7)e+07,(4.9+/-0.7)e+07,(5.0+/-0.7)e+07,(5.1+/-0.7)e+07,(5.2+/-0.7)e+07,(5.3+/-0.8)e+07,(5.5+/-0.8)e+07,(5.6+/-0.8)e+07,(5.7+/-0.8)e+07,(5.8+/-0.8)e+07,(5.9+/-0.8)e+07,(6.1+/-0.9)e+07
Armenia,168185,326666,0,(4.9+/-2.6)e+03,(1.1+/-0.6)e+04,(1.8+/-1.0)e+04,(3.6+/-1.6)e+04,(5.2+/-2.4)e+04,(8+/-4)e+04,(1.0+/-0.5)e+05,(1.1+/-0.5)e+05,(1.2+/-0.6)e+05,(1.2+/-0.6)e+05,(1.3+/-0.6)e+05,(1.3+/-0.6)e+05,(1.3+/-0.6)e+05,(1.3+/-0.6)e+05,(1.3+/-0.6)e+05,(1.3+/-0.6)e+05,(1.3+/-0.6)e+05,(1.3+/-0.6)e+05,(1.3+/-0.6)e+05,(1.3+/-0.6)e+05,(1.3+/-0.6)e+05,(1.3+/-0.6)e+05,(1.3+/-0.6)e+05,(1.3+/-0.6)e+05,(1.3+/-0.6)e+05,(1.3+/-0.6)e+05,(1.3+/-0.6)e+05,(1.3+/-0.6)e+05,(1.3+/-0.6)e+05,(1.3+/-0.6)e+05,(1.3+/-0.6)e+05,(1.3+/-0.6)e+05,(1.3+/-0.6)e+05,(1.3+/-0.6)e+05,(1.3+/-0.6)e+05,(1.3+/-0.6)e+05,(1.3+/-0.6)e+05,(1.3+/-0.6)e+05,(1.3+/-0.6)e+05,(1.3+/-0.6)e+05,(1.3+/-0.6)e+05,(1.3+/-0.6)e+05,(1.3+/-0.6)e+05,(1.3+/-0.6)e+05,(1.3+/-0.6)e+05,(1.3+/-0.6)e+05,(1.3+/-0.6)e+05,(1.3+/-0.6)e+05,(1.3+/-0.6)e+05,(1.3+/-0.6)e+05,(1.3+/-0.6)e+05,(1.3+/-0.6)e+05
American Samoa,5225,11863,0,0.0+/-0,0.0+/-0,0.0+/-0,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03
Antigua and Barbuda,6491,9391,0,(1.0+/-0.5)e+02,(2.2+/-1.1)e+02,(3.7+/-1.9)e+02,(7.2+/-2.3)e+03,(7.5+/-2.4)e+03,(8.1+/-2.5)e+03,(8.4+/-2.5)e+03,(8.7+/-2.6)e+03,(8.8+/-2.6)e+03,(8.9+/-2.6)e+03,(9.0+/-2.6)e+03,(9.0+/-2.6)e+03,(9.0+/-2.6)e+03,(9.0+/-2.6)e+03,(9.0+/-2.6)e+03,(9.0+/-2.6)e+03,(9.0+/-2.6)e+03,(9.0+/-2.6)e+03,(9.0+/-2.6)e+03,(9.0+/-2.6)e+03,(9.0+/-2.6)e+03,(9.0+/-2.6)e+03,(9.0+/-2.6)e+03,(9.0+/-2.6)e+03,(9.0+/-2.6)e+03,(9.0+/-2.6)e+03,(9.0+/-2.6)e+03,(9.0+/-2.6)e+03,(9.0+/-2.6)e+03,(9.0+/-2.6)e+03,(9.0+/-2.6)e+03,(9.0+/-2.6)e+03,(9.0+/-2.6)e+03,(9.0+/-2.6)e+03,(9.0+/-2.6)e+03,(9.0+/-2.6)e+03,(9.0+/-2.6)e+03,(9.0+/-2.6)e+03,(9.0+/-2.6)e+03,(9.0+/-2.6)e+03,(9.0+/-2.6)e+03,(9.0+/-2.6)e+03,(9.0+/-2.6)e+03,(9.0+/-2.6)e+03,(9.0+/-2.6)e+03,(9.0+/-2.6)e+03,(9.0+/-2.6)e+03,(9.0+/-2.6)e+03,(9.0+/-2.6)e+03,(9.0+/-2.6)e+03,(9.0+/-2.6)e+03,(9.0+/-2.6)e+03
