Region,Indoor Vital in Weeks,Indoor Essential in Weeks
Caribbean,261,261
Southern Asia,261,261
Middle Africa,261,261
Southern Europe,68,173
Western Asia,238,261
South America,261,261
Polynesia,261,261
Australia and New Zealand,91,227
Western Europe,30,74
Eastern Africa,261,261
Western Africa,261,261
Eastern Europe,187,261
Central America,136,261
Northern America,30,79
South-eastern Asia,261,261
Southern Africa,261,261
Eastern Asia,88,199
Northern Europe,43,110
Northern Africa,261,261
Melanesia,261,261
Micronesia,261,261
Central Asia,261,261
