Country Name,Country Code,Labour Force (2024),Region,%Indoor Essential Workers,%Indoor Vital Workers,%Essential Workers,%Vital Workers,%Armed Forces (Indoor Essential),%Armed Forces (Essential),%Onsite Excluded Essential (ISCO 61+63),%Onsite Excluded Vital (ISCO 61+63),Indoor Essential Workers,Indoor Vital Workers,Essential Workers,Vital Workers,Armed Forces (Indoor Essential),Armed Forces (Essential),Indoor Essential CADR Requirement (L/s),Indoor Vital CADR Requirement (L/s),Scaled ECA Essential (L/s/person),Scaled ECA Vital (L/s/person)
Aruba,ABW,55826.0,Caribbean,0.24905615476595203,0.1095873240268811,0.3827685485198029,0.21848857651498793,,,0.08775828934701184,0.08775828934701184,13903.808895964037,6117.821951124664,21368.436989666516,12197.343272525717,,,445502.40594732645,202404.917322641,129.05937121825565,133.2592936093209
Afghanistan,AFG,9130000.0,Southern Asia,0.1896254061664483,0.07685339847727808,0.6614024942069495,0.5205199963591262,0.012117075560694548,0.012117075560694548,0.4031177869541279,0.4031177869541279,1731279.958299673,701671.5280975489,6038604.772109449,4752347.566758822,110628.89986914123,110628.89986914123,227507494.06500053,99543566.34992644,131.40999696458135,141.86633255566207
Angola,AGO,16000000.0,Middle Africa,0.28295710702173926,0.08616331700395237,0.7791362939280077,0.5278588097652493,0.003949750675438742,0.003949750675438742,0.40948684728582696,0.40948684728582696,4527313.712347828,1378613.072063238,12466180.702848122,8445740.95624399,63196.01080701988,63196.01080701988,555928244.6481436,188320350.24945307,122.79428375636991,136.6013090008004
Albania,ALB,1370000.0,Southern Europe,0.2099591295355569,0.08063738901290311,0.5684044860355706,0.4124092799712406,0.00172417752428452,0.00172417752428452,0.3191216169762968,0.3191216169762968,287644.00746371294,110473.22294767726,778714.1458687317,565000.7135605996,2362.1232082697925,2362.1232082697925,37998203.64343134,16008490.656964703,132.10149579849988,144.90833371039335
Andorra,AND,50504.0,Southern Europe,0.23493180766447405,0.08507259655923881,0.28719999999999996,0.11261298200911858,,,0.01185372304139258,0.01185372304139258,11864.996014286597,4296.506416627797,14504.748799999998,5687.406043388525,,,23898823.468628336,9720518.93327241,131.77025931985688,148.00707017000258
United Arab Emirates,ARE,7090000.0,Western Asia,0.2762814377295813,0.11590249371245086,0.33941192536463644,0.1476512192107522,0.002089573266058942,0.002089573266058942,0.011248434381214466,0.011248434381214466,1958835.3935027313,821748.6804212766,2406430.5508352723,1046847.1442042331,14815.074456357901,14815.074456357901,252209110.45363247,117574847.18525082,128.75462189941322,143.07883904964112
Argentina,ARG,22300000.0,South America,0.3267777720748563,0.11326341827515374,0.3944895479278035,0.13111571928077134,0.0010086005402695024,0.0010086005402695024,0.0013630056373677803,0.0013630056373677803,7287144.317269295,2525774.227535928,8797116.918790018,2923880.539961201,22491.792048009906,22491.792048009906,943372706.6416756,380928228.1655321,129.45711866938635,150.8164205702402
Armenia,ARM,1510000.0,Western Asia,0.21136397941831467,0.08791603405939818,0.5641022430177852,0.41432920889686825,,,0.3088217464202506,0.3088217464202506,319159.60892165516,132753.21142969126,851794.3869568557,625637.105434271,,,45513072.40009406,20859417.387810983,134.14581878143036,146.24699069161423
American Samoa,ASM,55958.0,Polynesia,0.21069267535720657,0.08514698959762189,0.49468751527638405,0.34570006442025614,,,0.21386999613634763,0.21386999613634763,11789.940727638565,4764.655243903726,27681.723979835897,19344.684204828693,,,1590633.195288794,681512.5900070899,131.98499946788885,139.92926615091378
Antigua and Barbuda,ATG,46540.0,Caribbean,0.20333117807563958,0.09814828736738873,0.8699712549514417,0.7402612516759507,,,0.32632825879291116,0.32632825879291116,9463.033027640266,4567.821294078271,40488.4622054401,34451.758652998746,,,410578521.9509702,219519863.29748237,122.37939611824093,135.5523819732171
Australia,AUS,14900000.0,Australia and New Zealand,0.2073364751850819,0.09044552911150783,0.2496524683733548,0.11650002478084233,0.0001574261217391232,0.0001574261217391232,0.013304830192332784,0.013304830192332784,3089313.48025772,1347638.3837614667,3719821.7787629864,1735850.3692345507,2345.649213912936,2345.649213912936,478901579.8380371,223278248.22440067,155.01877128962826,165.68112849472024
Austria,AUT,4770000.0,Western Europe,0.2829930138841859,0.1222237478397653,0.3455000000000001,0.16007165222303843,0.0010340974846205333,0.0010340974846205333,0.024579385902355186,0.024579385902355186,1349876.6762275668,583007.2771956805,1648035.0000000005,763541.7811038933,4932.645001639944,4932.645001639944,192571633.4930003,89403898.49333131,142.65868644472818,153.34954123278257
Azerbaijan,AZE,5020000.0,Western Asia,0.21276882930107244,0.09519467910589327,0.5597999999999999,0.4162491378224959,,,0.2985218758642044,0.2985218758642044,1068099.5230913837,477877.2891115842,2810195.999999999,2089570.6718689294,,,53027941.15675678,25710344.11865726,136.19014176436087,147.5856476728351
Burundi,BDI,6110000.0,Eastern Africa,0.061854976718883785,0.019743421039884468,0.8346695890004027,0.7810012166596136,0.001092775896556322,0.001092775896556322,0.7335864936228971,0.7335864936228971,377933.90775237995,120632.3025536941,5099831.188792461,4771917.4337902395,6676.860727959128,6676.860727959128,47298759.5133516,17731579.9390482,125.15087570375258,146.98865530777528
Belgium,BEL,5420000.0,Western Europe,0.25506448497290823,0.10923147148053353,0.3011773125950597,0.1319079019580343,0.0016122162919301717,0.0016122162919301717,0.009735542782315061,0.009735542782315061,1382449.5085531627,592034.5754244917,1632381.0342652237,714940.828612546,8738.21230226153,8738.21230226153,203730635.38928303,95735882.49444024,147.36931376430698,161.7065733463238
Benin,BEN,6400000.0,Western Africa,0.26663772231244887,0.05581308202429301,0.7157393423911016,0.4512563102111938,0.0009836556433086465,0.0009836556433086465,0.37982755403588475,0.37982755403588475,1706481.4227996727,357203.72495547525,4580731.79130305,2888040.38535164,6295.396117175338,6295.396117175338,212906197.37791198,52502837.010887645,124.76326699684529,146.9828933542953
Burkina Faso,BFA,6460000.0,Western Africa,0.1753690537838622,0.045457021234578524,0.6907999999999997,0.5295358331283615,0.0017703863159081307,0.0017703863159081307,0.47423398623056673,0.47423398623056673,1132884.08744375,293652.35717537726,4462567.999999998,3420801.4820092153,11436.695600766525,11436.695600766525,140830114.8553125,39605625.895995185,124.31114216908357,134.8724943908474
Bangladesh,BGD,77400000.0,Southern Asia,0.22678549916909796,0.08996295875339695,0.6733659116227686,0.5008539745575769,0.0014472098955505797,0.0014472098955505797,0.34201796286085473,0.34201796286085473,17553197.635688182,6963133.007512924,52118521.55960229,38766097.630756445,112014.04591561487,112014.04591561487,2380000021.9573307,1060657938.3234112,135.58783256211092,152.32481372666678
Bulgaria,BGR,3120000.0,Eastern Europe,0.31091692380084396,0.14374274468466655,0.3941373882712756,0.1924322224200577,0.003181986337684567,0.003181986337684567,0.017892462541149755,0.017892462541149755,970060.8022586332,448477.36341615964,1229708.6514063799,600388.53395058,9927.797373575848,9927.797373575848,133696140.00293505,65902300.90235946,137.82243308011698,146.94677207421537
Bahrain,BHR,913000.0,Western Asia,0.2762814377295813,0.11590249371245086,0.33941192536463644,0.1476512192107522,,,0.011248434381214466,0.011248434381214466,252244.95264710774,105818.97675946764,309883.08785791305,134805.56313941674,,,252209110.45363247,117574847.18525082,128.75462189941322,143.07883904964112
Bahamas,BHS,237000.0,Caribbean,0.3283953050870735,0.13449682772303642,0.39856350763529663,0.170253090664586,0.0013497616820251613,0.0013497616820251613,0.013040127765290429,0.013040127765290429,77829.68730563641,31875.74817035963,94459.5513095653,40349.98248750688,319.89351863996325,319.89351863996325,9417297.791106446,4065633.4491901775,120.9987874437271,127.54629091249681
Bosnia and Herzegovina,BIH,1360000.0,Southern Europe,0.2962968931881003,0.13828692340847357,0.47700000000000026,0.28655088058353084,0.0024305963276667177,0.0024305963276667177,0.1133322307532296,0.1133322307532296,402963.7747358164,188070.21583552405,648720.0000000003,389709.19759360194,3305.611005626736,3305.611005626736,54449225.49821018,27525211.601268873,135.12188666067357,146.35603771168593
Belarus,BLR,4820000.0,Eastern Europe,0.3412998534749304,0.18172076470983423,0.418671940705514,0.2311363570705518,0.0017662197673492099,0.0017662197673492099,0.02173640012228123,0.02173640012228123,1645065.2937491646,875894.085901401,2017998.7542005775,1114077.2410800597,8513.17927862319,8513.17927862319,237091238.6628462,133652059.74786645,144.12269200726163,152.58929349925032
Belize,BLZ,190000.0,Central America,0.34477186662932724,0.13252280354702345,0.535949671108297,0.2820602180091727,0.0027911315023758606,0.0027911315023758606,0.05852782028482016,0.05852782028482016,65506.654659572174,25179.332673934456,101830.43751057643,53591.44142174281,530.3149854514135,530.3149854514135,8491636.4508057,3483635.713151622,129.6301344487122,138.35298013111634
Bermuda,BMU,52878.0,Northern America,0.24905615476595203,0.1095873240268811,0.3827685485198029,0.21848857651498793,,,0.08775828934701184,0.08775828934701184,13169.59135171401,5794.758519893418,20240.035308630137,11553.238948959532,,,445502.40594732645,202404.917322641,129.05937121825565,133.2592936093209
