Region,occupational_group,% of Essential Workers,% of Vital Workers,% of Indoor Essential Workers,% of Indoor Vital Workers
Australia and New Zealand,Food,0.11465334750381417,0.16057412548232392,0.05189966338631277,0.009332596805611904
Australia and New Zealand,Health,0.32261369832741554,0.34689093025234147,0.38521753237370254,0.44157725510142953
Australia and New Zealand,Retail,0.16886204654665832,0.027835468978360388,0.1564043578376932,0.027579990006746345
Australia and New Zealand,Security,0.0344950510086256,0.05913663724737209,0.04153526109325791,0.07617203163553563
Australia and New Zealand,Transport,0.11170667494872868,0.19585686369418057,0.11004976067767083,0.2064084792070647
Australia and New Zealand,Manual,0.15125143850642875,0.1686071558016367,0.15363538439089564,0.19044761926243362
Australia and New Zealand,Cleaning,0.036618449671897126,0.006200593199857051,0.03383998996333341,0.004991742464604577
Australia and New Zealand,Tech,0.05916706006579277,0.034356290234995195,0.06665678222765162,0.042792236047014764
Australia and New Zealand,ArmedForces,0.000632233420639049,0.0005419351089326933,0.0007612680494822304,0.0006980494695589573
Caribbean,Food,0.16347663231110174,0.2851635506649127,0.06352052885352891,0.02590212448223122
Caribbean,Health,0.06799809556091357,0.08642464040384845,0.08865787964970606,0.12994723068259617
Caribbean,Retail,0.24662587783434073,0.042775817333702094,0.2451528081378882,0.05073091959901566
Caribbean,Security,0.06137443201337994,0.11389054935769592,0.08158987289942418,0.17559229633704906
Caribbean,Transport,0.13919931599428248,0.2641782994944381,0.1514034237263479,0.3332458388660328
Caribbean,Manual,0.14907894129591992,0.16657458983783985,0.1679668443640491,0.22613655822204984
Caribbean,Cleaning,0.10018690538010158,0.006161216645805615,0.10804607939331848,0.005936961984381028
Caribbean,Tech,0.06391013657012053,0.02726980314251719,0.08282857315651275,0.04084997377105355
Caribbean,ArmedForces,0.008149663039839584,0.007561533119240069,0.010833989819224536,0.011658096055590702
Central America,Food,0.23113930288616572,0.4282501437348959,0.07496027230371818,0.05835484018706112
Central America,Health,0.04703445106673491,0.05585546044242841,0.06910036385092432,0.10530275458010573
Central America,Retail,0.24269879812014333,0.03813650924146219,0.25835469527882104,0.05635919883805954
Central America,Security,0.025587840073297948,0.045036391099052726,0.03813721854163423,0.08652284812640218
Central America,Transport,0.08792957632247717,0.15827953733369596,0.1072260215999569,0.24879509926071489
Central America,Manual,0.22842598630162528,0.23184205255454607,0.28062031250814484,0.37023686927282407
Central America,Cleaning,0.06849573522444866,0.007336442579029133,0.08093245064335597,0.008809124848299061
Central America,Tech,0.06726964897998748,0.03401499162024972,0.08855423180049407,0.06322073120671434
Central America,ArmedForces,0.0014186610251194834,0.0012484713946398628,0.0021144334729503137,0.002398533679819084
Central Asia,Food,0.3026026319672521,0.5042120504330649,0.0555513683320838,0.0751901893426808
Central Asia,Health,0.058154891652443294,0.058753854614227594,0.0938541271897785,0.12439374974483225
Central Asia,Retail,0.1610573369659717,0.02137561778780025,0.20220102322137895,0.035817710998072926
Central Asia,Security,0.04104103100850977,0.05733439754096316,0.06779379410019089,0.12489290238459243
Central Asia,Transport,0.13796140011488364,0.1971126158995356,0.18645717293596095,0.351306957348556
Central Asia,Manual,0.1577405304959559,0.10089749739020518,0.21380204235010886,0.18470202647814365
Central Asia,Cleaning,0.09386211947257159,0.03143828241257864,0.10442310084371195,0.042801730994994784
Central Asia,Tech,0.04462416518369398,0.02681098978335216,0.07103466691570115,0.05639715961893433
Central Asia,ArmedForces,0.002955893138718023,0.0020646941382725546,0.004882704111084977,0.004497573089192741
Eastern Africa,Food,0.7291025324124629,0.9012654560670523,0.11678620526629069,0.2467628775006587
Eastern Africa,Health,0.016334454267276772,0.010583238281317246,0.06679630946198677,0.0919708053337414
Eastern Africa,Retail,0.08977440383235433,0.0074318631372317775,0.24758779618027285,0.050706206011646465
Eastern Africa,Security,0.01619039488004797,0.0161392693940356,0.0672086875700558,0.14314976403065582
Eastern Africa,Transport,0.02297144212990669,0.023419333309386507,0.0780200202158463,0.16995389318212212
Eastern Africa,Manual,0.049317295273111655,0.03011941392089433,0.1683382347877142,0.22477259449117157
Eastern Africa,Cleaning,0.05761683308557743,0.007414928015867426,0.17872792144271374,0.04110491194880184
Eastern Africa,Tech,0.017113857805012216,0.0028395974363294436,0.06998105310597084,0.02459941148573937
Eastern Africa,ArmedForces,0.0015787863142500038,0.0007869004378854861,0.006553771969148788,0.006979536015462747
Eastern Asia,Food,0.08540381650104548,0.20453324428273814,0.00023638943861978943,0.0
Eastern Asia,Health,0.2271217533263296,0.2598088578158807,0.2865583785134776,0.3678675180030941
Eastern Asia,Retail,0.12113788974139235,0.022363416560049906,0.11756550830439111,0.024359782542042258
Eastern Asia,Security,0.04270816935316517,0.08200518468155006,0.05388812793202955,0.11612344647957275
Eastern Asia,Transport,0.08562259799493578,0.1681429231607676,0.08839350720897945,0.19480810581961447
Eastern Asia,Manual,0.19685582080663733,0.21848070865773617,0.19259205324477366,0.243651672294341
Eastern Asia,Cleaning,0.05996445875551539,0.01889357022729958,0.05477438079262135,0.016721400753636477
Eastern Asia,Tech,0.17610090109082105,0.02089055850998886,0.19957603967202242,0.029555574627197233
Eastern Asia,ArmedForces,0.005084592430157772,0.00488153610398894,0.006415614893085192,0.006912499480501711
Eastern Europe,Food,0.11143840780994935,0.19065072220273102,0.016011507727560208,0.016161296972226485
Eastern Europe,Health,0.15054007418729337,0.16087691515372418,0.18640508297489242,0.21043285155267874
Eastern Europe,Retail,0.16403022440962103,0.02277051664128008,0.16031276485932106,0.023674815354930042
Eastern Europe,Security,0.05527410781036211,0.07993085273580812,0.07034280447775708,0.10803675087140117
Eastern Europe,Transport,0.18294953122751365,0.2705726176679384,0.1904930183048,0.2992200808389996
Eastern Europe,Manual,0.18799207915146293,0.1886912582436432,0.21282256084787876,0.23542021890023698
Eastern Europe,Cleaning,0.05360107873936709,0.012808891530634732,0.049329791738470796,0.010820532496756132
Eastern Europe,Tech,0.08872436414306033,0.0697575585098907,0.10734653429776404,0.09090713810012191
Eastern Europe,ArmedForces,0.005450132521370109,0.003940667314349718,0.006935934771555588,0.005326314912648852
Melanesia,Food,0.5430260119553306,0.8388215472496039,0.03395751365618074,0.10774438220794069
Melanesia,Health,0.023037517705343395,0.02029077607380481,0.06791948939463312,0.1231291875313941
Melanesia,Retail,0.30111239249458316,0.02789290707275835,0.5438250097527051,0.13371648897204647
Melanesia,Security,0.02730074412563174,0.033742699477892255,0.0822347229027672,0.21028793729205966
Melanesia,Transport,0.03075222702226612,0.03887243524646336,0.07578916898793081,0.19821025037291456
Melanesia,Manual,0.047253995504396476,0.03403844367152423,0.1232831174506736,0.19092458229969797
Melanesia,Cleaning,0.013092712929179856,0.0011820478787473655,0.030944138657279442,0.004604151676666718
Melanesia,Tech,0.01271008422874112,0.004099729288848276,0.03688301879246065,0.024780643526454885
