Region,Labour Force (2024),Indoor Essential Workers,Indoor Vital Workers,Essential Workers,Vital Workers,Armed Forces (Indoor Essential),Armed Forces (Essential),Indoor Essential CADR Requirement (L/s),Indoor Vital CADR Requirement (L/s),%Indoor Essential Workers,%Indoor Vital Workers,%Essential Workers,%Vital Workers,%Armed Forces (Indoor Essential),%Armed Forces (Essential),Scaled ECA Essential (L/s/person),Scaled ECA Vital (L/s/person)
Australia and New Zealand,18020000.0,3160231.096720375,1323582.8440054946,4498737.480087853,2099330.446550779,2345.649213912936,2345.649213912936,792726384.4521829,357853744.5191446,0.1753735347791551,0.07345076825779659,0.24965246837335478,0.11650002478084234,0.00013016921275876448,0.00013016921275876448,250.8444351664214,270.3674697355469
Caribbean,19898576.654583998,5581182.271021325,2080005.6227405088,8933340.621379253,4298380.506152181,19343.218047250513,19343.218047250513,5057562000.436269,3555735446.053603,0.28048148206296947,0.1045303721390214,0.44894369966513636,0.2160144708220611,0.0009720905360733152,0.0009720905360733152,906.1811198491397,1709.483574072626
Central America,83750000.0,30672449.070616435,10747062.287692362,49710042.84599852,22680320.481534675,39780.423420262436,39780.423420262436,3958397934.344349,1540566968.861853,0.3662381978581067,0.12832313179334165,0.5935527503999823,0.2708097967944439,0.00047499013039119324,0.00047499013039119324,129.0538595477337,143.34772867429314
Central Asia,32720000.0,8062471.859101158,4000255.4631949095,17998310.602006543,12424245.3449015,3603.2492435181225,3603.2492435181225,407239881.61674976,211079747.72569808,0.24640806415345837,0.12225719630791289,0.5500706174207379,0.3797140997830532,0.00011012375438625068,0.00011012375438625068,50.510549212899924,52.76656695248
Eastern Africa,211669000.0,53327868.76072114,30553244.72848751,157539503.00531057,125404605.53481041,171971.68649494136,171971.68649494136,7533438129.433403,4676985391.8961735,0.25193990976818115,0.14434444688871545,0.7442729119772408,0.5924561723011419,0.0008124557044014067,0.0008124557044014067,141.26643919027546,153.07655319290535
Eastern Asia,896372000.0,253150464.9449675,124151360.59209913,447557756.82301277,275735643.4117533,2262.820812218304,2262.820812218304,30226596598.002293,18426193912.22517,0.28241674767280495,0.13850428236502157,0.4992991267275336,0.3076129591416882,2.524421570752215e-06,2.524421570752215e-06,119.40170287490196,148.41717258955111
Eastern Europe,146570604.0,35208047.56321564,16845374.35343956,55585095.59280308,30797314.97231297,112549.56953758372,112549.56953758372,5042075289.419201,2594305697.2698345,0.24021220219039038,0.11493010121892899,0.3792376784692999,0.2101193154141124,0.0007678863732974978,0.0007678863732974978,143.2080344803617,154.00700767092886
Melanesia,4733000.0,1471238.241700473,703081.3120999542,3157207.2029780247,2054586.418782144,2485.5503509490754,2485.5503509490754,227231083.09154832,118564174.9493214,0.310846871265682,0.148548766553973,0.6670625825011672,0.4340981235542244,0.0005251532539507871,0.0005251532539507871,154.44886942913624,168.63508232809582
Micronesia,177856.0,42792.222061123866,18574.28692783843,79520.12083846575,47160.71895173057,0.0,0.0,4815236.053794255,2213304.6920872205,0.24060038492445499,0.1044344128274471,0.4471039539766201,0.26516237265951426,0.0,0.0,112.52596434268435,119.15960492512927
Middle Africa,78333500.0,23754989.47796151,12655831.639690235,57192119.32789817,43066326.534114085,88079.29342467264,88079.29342467264,7076928778.248053,3942864816.6272616,0.3032545396026159,0.16156346441420638,0.7301106082059166,0.5497817221765156,0.0011244141194338647,0.0011244141194338647,297.91336194080884,311.545296182825
Northern Africa,79390000.0,23008779.740157057,10873457.866708552,41117149.98414116,24046016.381727498,154333.59762827854,154333.59762827854,3107362818.436864,1601607676.7502744,0.28981962136487033,0.13696256287578476,0.5179134649721774,0.30288470061377376,0.0019439929163405786,0.0019439929163405786,135.05117844270578,147.2951563691568
Northern America,196981870.0,41526162.79256524,17983079.653313268,58272553.57898562,27236030.374900836,0.0,0.0,10952131236.450523,5256450238.783896,0.2108121056651825,0.091293070033873,0.29582698945332186,0.13826668604019668,0.0,0.0,263.7405071872273,292.2997806894232
Northern Europe,56687755.0,12261036.77353526,5056706.396741297,17403955.481761906,7886113.635777177,42482.31834039668,42482.31834039668,2982026856.808433,1301554312.3250291,0.21629074521535138,0.08920279867744449,0.3070143716533122,0.1391149400038364,0.000749409080327783,0.000749409080327783,243.21163959355914,257.39171116673737
Polynesia,284604.0,61142.35445194247,28609.54917507692,136148.0076896717,93460.07194261043,103.43502688334442,103.43502688334442,6200534.393435756,3042071.6129208324,0.21483308193821052,0.10052405860450633,0.47837699993560073,0.32838636119875486,0.000363434902121349,0.000363434902121349,101.41144300076536,106.33063786866377
South America,217697000.0,60786887.96127659,23294973.21935431,96731258.93525828,46842958.70857513,459312.4768373703,459312.4768373703,8424638564.028413,3637119115.076323,0.27922703556446155,0.1070064044031581,0.4443389616543098,0.2151750309309505,0.002109870493563854,0.002109870493563854,138.59302304462776,156.13321727515327
South-eastern Asia,350750000.0,117625877.87783776,54187505.05874434,204773712.02591246,123710073.76620483,471329.7405399096,471329.7405399096,17771980543.546387,8957451461.890001,0.33535531825470494,0.1544903921845883,0.5838167128322522,0.35270156455083346,0.001343776879657618,0.001343776879657618,151.08903639387722,165.30474049652744
Southern Africa,31375000.0,6698649.204600608,2399917.2188123316,11783107.112648396,5840932.855652221,27668.698404349365,27668.698404349365,806642421.5241812,353839496.45594656,0.21350276349324646,0.076491385460154,0.3755571988095106,0.18616519061839748,0.0008818708654772706,0.0008818708654772706,120.41866903109094,147.4382089858309
Southern Asia,824346000.0,267701919.98111403,165057914.4112723,509658582.6567594,373826646.06039566,180478.00791591185,180478.00791591185,35816052516.02244,23462537005.992508,0.32474460964341917,0.20022892621699176,0.6182580890266458,0.4534826954463243,0.0002189347772851592,0.0002189347772851592,133.7907943228394,142.14730078032647
Southern Europe,70959625.0,17825640.965677723,7221254.671646264,26256475.022226803,12463597.21449886,181194.7412845204,181194.7412845204,2481847794.6806865,1098709841.6912215,0.2512082182745149,0.1017656825504118,0.37001992361468655,0.17564350452104083,0.0025534906826878015,0.0025534906826878015,139.22909136671976,152.1494382416987
Western Africa,194152000.0,64624935.65994589,30967882.246377904,129039818.69146174,85170084.42107426,81185.94237474057,81185.94237474057,8847114862.564789,4573036700.222544,0.33285742953946335,0.1595032873541241,0.6646329612440858,0.43867734775368916,0.0004181566111847448,0.0004181566111847448,136.89939915945126,147.67030770266572
Western Asia,115174891.0,29928303.22395069,13037231.429299869,50142029.8097069,26915496.51254494,312672.4372096112,312672.4372096112,3958901838.014236,1836767841.3850207,0.25985093594706066,0.11319508372098107,0.43535556556078614,0.23369239839389075,0.0027147621716404418,0.0027147621716404418,132.27952845806675,140.8863416551055
Western Europe,101589150.0,23911898.729490336,10758417.655749252,32969129.1280876,15873145.021704217,178408.6914399727,178408.6914399727,3505889538.7967057,1708137204.5529225,0.235378470333597,0.10590124689250036,0.3245339598577958,0.15624842831842,0.0017561786021437595,0.0017561786021437595,146.61694491340927,158.77215955081473
