Category,Workers,% of Labour Force,Country min %,Country max %,indoor_context_method
Essential workers,1980535554.0569532,53.07424003651923,19.574881911597473,87.00072008093996,onet_max
Indoor essential workers,1187150300.3461447,31.813162793736605,7.617899954437594,50.96497254578032,onet_max
Outdoor essential workers,793385253.7108085,21.261077242782623,5.365268628797326,75.75148179562196,onet_max
Vital workers,1268512469.394862,33.993499966244286,9.062231560629781,78.06109080596907,onet_max
Indoor vital workers,642851871.5836488,17.227095201834015,3.5797963909426933,32.635884135296955,onet_max
Outdoor vital workers,625660597.8112131,16.766404764410275,2.8095306717925816,74.48129441502638,onet_max
Essential workers,1980535554.0569532,53.07424003651923,19.574881911597473,87.00072008093996,onet_banded
Indoor essential workers,1080392970.7726898,28.952288055167585,6.831965932684798,48.789162765178865,onet_banded
Outdoor essential workers,900142583.2842634,24.12195198135164,5.9794282640697025,76.53741581737475,onet_banded
Vital workers,1268512469.394862,33.993499966244286,9.062231560629781,78.06109080596907,onet_banded
Indoor vital workers,543945322.5075722,14.576605077536804,2.7403852557963346,27.859114645621496,onet_banded
Outdoor vital workers,724567146.8872898,19.416894888707485,3.42679511440213,75.32070555017273,onet_banded
Essential workers,1980535554.0569532,53.07424003651923,19.574881911597473,87.00072008093996,jem_location
Indoor essential workers,834547930.0399652,22.36415148932371,5.233705462292425,36.90154847692567,jem_location
Outdoor essential workers,1145987624.016988,30.71008854719552,4.791643307496382,78.13567628776713,jem_location
Vital workers,1268512469.394862,33.993499966244286,9.062231560629781,78.06109080596907,jem_location
Indoor vital workers,314859829.78918856,8.437589595328433,1.4770564413948553,17.96846584100143,jem_location
Outdoor vital workers,953652639.6056733,25.555910370915857,2.2972819282190553,76.58403436457422,jem_location
