Country Name,Country Code,Essential Workers (Housing Requirement),Vital Workers (Housing Requirement),Essential Workers,Vital Workers
Global,GLOBAL,1266370712.232444,578689607.0619214,1966104525.8408775,1278423420.6703553
Aruba,ABW,16282.843105102476,7180.920711950106,21146.8888,12044.96640684763
Afghanistan,AFG,2238924.806657783,902365.5069704098,5845026.000000003,4508466.700312629
Angola,AGO,4888353.652376095,1396528.3144772518,12260799.999999998,8768974.662101155
Albania,ALB,389648.3056402667,143646.97931243625,775694.0,529692.6736721696
Andorra,AND,13880.513649861728,4995.133066012071,14504.748800000001,5619.368216150344
United Arab Emirates,ARE,2295884.716600235,953619.4594271096,2375636.1163630458,1033370.8591899201
Argentina,ARG,8612658.805160765,3003001.22646919,8649783.389837142,3040125.811145567
Armenia,ARM,383500.2801965802,156978.9339427125,850130.0000000002,623608.6537461325
American Samoa,ASM,15439.079878487462,7209.841553186145,27369.0578,19139.81947469868
Antigua and Barbuda,ATG,25057.190758005847,18893.85574777492,40406.028000000006,34242.69298976908
Australia,AUS,3511858.030134241,1533071.7429752809,3710099.9999999995,1731313.7128410393
Austria,AUT,1524542.9459458797,642915.8387287997,1648034.9999999998,766407.8927829198
Azerbaijan,AZE,1122133.498155156,517397.886600808,2810196.000000001,2205460.388445653
Burundi,BDI,611655.7488927366,287319.17220880836,5093869.224928638,4769532.64824471
Belgium,BEL,1523280.1682349117,650704.8504158541,1581767.506805782,709192.1889867245
Benin,BEN,2145610.6939178933,455134.71830040915,4576507.039747556,2886031.0641300716
Burkina Faso,BFA,1395182.7924809824,355463.24401379284,4462567.999999998,3422848.4515328086
Bangladesh,BGD,23930267.896817185,10876525.84532503,51269759.999999985,38216017.94850783
Bulgaria,BGR,1165884.0788049246,538147.8847408744,1239790.9635601242,612054.769496074
Bahrain,BHR,295647.7780332884,122800.36198264472,305917.5986233372,133070.18257269353
Bahamas,BHS,89879.82841121497,36629.52219551459,92970.3386915888,39720.03247588842
Bosnia and Herzegovina,BIH,470641.3665103273,224018.4922505455,648720.0,402097.12574021815
Belarus,BLR,1905796.0188485226,1009419.1222876165,2017652.0000000002,1121275.1034390943
Belize,BLZ,90165.24297944496,42195.25173414212,101285.52883356079,53315.537588257954
Bermuda,BMU,15422.996054018,6801.71829266825,20030.186400000002,11408.908638650253
Bolivia,BOL,2436418.7840810167,831426.6231214092,3858064.0,2253071.8390403925
Brazil,BRA,38036952.730138905,15060143.744610405,41837000.0,18860191.0144715
Barbados,BRB,43948.4223917167,16754.82759302683,47583.89999999998,20390.30520131011
Brunei Darussalam,BRN,72528.12250181512,29754.136883553776,73452.60000000003,30678.6143817387
Bhutan,BTN,77025.60559253755,40094.18117607638,226154.74681165043,189223.32239518926
Botswana,BWA,460969.7069515786,224452.77342497575,595296.0,358779.06647339714
Central African Republic,CAF,771061.5370102886,208379.27874609147,1245600.0,682917.7417358028
Canada,CAN,6701840.9434998175,3091586.9225318898,6773820.000000002,3163565.9790320746
Switzerland,CHE,1456309.157967281,666230.31559389,1550664.9999999995,760586.1576266085
Chile,CHL,4079831.4696720797,1787806.31338158,4286329.490674965,1994304.3343844656
China,CHN,275636052.48008585,131972443.1800722,393538297.70988995,249874688.40987632
Côte d'Ivoire,CIV,4580756.70364586,1214939.1168881264,9258480.000000002,5892662.413242268
Cameroon,CMR,2970976.195969532,1237246.998478006,6982100.893688164,5248371.696196638
DR Congo,COD,5062468.048096735,1789293.5025433414,29621689.36720068,26348514.821647286
Congo Republic,COG,685198.113665045,285347.05550483754,1610286.3322379908,1210435.2740777833
Colombia,COL,11519707.74067404,5246089.874316758,12664463.380694333,6390845.514337051
Comoros,COM,121199.66218711899,69043.25189420776,156195.92153430582,104039.51124139459
Cabo Verde,CPV,93148.5950383843,41182.66311987075,111550.82497270826,59584.893054194705
Costa Rica,CRI,979344.2691996015,450189.66843596037,1029826.6208435736,500672.02007993247
Cuba,CUB,1803398.0967536138,676337.5222811804,1947401.9999999998,820341.4255275663
Curaçao,CUW,21000.043361950942,9261.260171599177,27273.221200000004,15534.438009648238
Cayman Islands,CYM,17741.78304727499,7824.329972888995,23041.6464,13124.19332561401
Cyprus,CYP,212176.3927152949,76355.1941818731,221718.4,85897.2014665782
Czechia,CZE,1751520.6278318453,906471.1753411284,1801608.000000001,956558.5475092841
Germany,DEU,12732147.605015775,6022188.0502214,13211142.198025825,6501182.64323145
Djibouti,DJI,99708.0604572656,43769.457054292056,113657.67300905324,57719.06960607969
Dominica,DMA,17568.030391786226,13246.809476791917,28329.366000000005,24008.145085005697
Denmark,DNK,1010963.4145580052,418477.5900464284,1052960.1650298338,460474.340518257
Dominican Republic,DOM,2007486.3587319031,752877.7768603263,2167786.9999999995,913178.4181284226
Algeria,DZA,5567942.841781527,2871673.331167086,6435869.999999999,3739600.489385558
Ecuador,ECU,3728604.75314055,1844998.0366769184,5186160.0,3302553.283536368
Egypt,EGY,10549520.97977366,4186415.006264505,14972909.999999998,8609804.026490845
Eritrea,ERI,637712.3796755685,268750.2464393284,844988.9627070893,476026.8294708491
Spain,ESP,8668125.841378374,3576581.187889328,9095876.16115149,4004331.5076624434
Estonia,EST,219390.24074537036,105474.76850316202,224955.91559440628,111040.44335219795
Ethiopia,ETH,19074750.805678073,8908937.715882752,44444750.000000015,34278936.91020469
Finland,FIN,914236.4400679488,412768.6429817599,972366.2723263348,470898.47524014604
Fiji,FJI,130143.8360000206,56094.12835663759,215999.59999999995,141949.89235661694
France,FRA,10876231.848078534,4921825.241303608,11618049.999999998,5663643.393225071
Faroe Islands,FRO,9843.741689400504,4411.441378179287,10299.763777161452,4867.4634659402345
"Micronesia, Fed. Sts.",FSM,5685.79667895028,2799.1680630906303,6268.833333333333,3382.204717473683
Gabon,GAB,236149.17796665267,81883.64584309893,574871.0565945517,420605.5244709979
United Kingdom,GBR,10290001.028377784,4423769.108423377,10588140.000000004,4721908.080045597
Georgia,GEO,409064.60191711853,188613.173800693,1024434.0000000003,803982.5718835748
Ghana,GHA,4451873.853435197,1396731.519939782,9446440.0,6391297.666504585
Gibraltar,GIB,7420.676947296583,2670.45368252665,7754.400000000001,3004.1767352300667
Guinea,GIN,1626157.8522249432,335229.0482373554,3206201.6310257753,1915272.8270381875
Gambia,GMB,373895.91689925187,106310.3811499163,550683.9000000001,283098.36425066454
Guinea-Bissau,GNB,358274.71876484476,223811.5608013998,650689.5302885924,516226.3723251475
Equatorial Guinea,GNQ,238207.79020333238,86292.90595017432,443741.489400609,291826.60514745093
Greece,GRC,1602691.2878035088,605505.4956985113,2012520.0000000002,1015334.2078950028
Grenada,GRD,15748.01997040664,7313.894501154227,17651.49279702148,9217.367327769069
Greenland,GRL,8863.035995624206,3971.941255781798,9273.625820728721,4382.531080886313
Guatemala,GTM,4318418.201634906,2046006.8683574097,5015686.000000001,2743274.6667225044
Guam,GUM,22013.409694895316,9773.10252063462,31305.329999999998,19065.022825739303
Guyana,GUY,141110.63962220756,64522.85982635827,159256.8,82669.02020415069
Hong Kong,HKG,781037.2968625708,370365.3431944148,1073956.817255881,663284.8635877249
Honduras,HND,2169008.7484914456,978512.4850464115,2508189.999999999,1317693.736554965
