Country Name,Country Code,Region,%Essential Workers,%Indoor Essential Workers,%Vital Workers,%Indoor Vital Workers,"GDP per capita, PPP (current international $)",GDP Year (PPP),GDP Year (USD),GDP per capita (current US$),Food % of Essential Workers,Food % of Indoor Essential Workers,Food % of Vital Workers,Food % of Indoor Vital Workers
Aruba,ABW,Caribbean,0.3827685485198029,0.249056154765952,0.2184885765149879,0.1095873240268811,51712.1531358934,2024.0,2024.0,38590.5650288641,,,,
Afghanistan,AFG,Southern Asia,0.6614024942069495,0.1896254061664483,0.5205199963591262,0.076853398477278,2236.19907311431,2024.0,2024.0,416.871146273728,0.6483474884742394,0.010854895139954928,0.8238274206353745,0.026782991261170057
Angola,AGO,Middle Africa,0.7791362939280077,0.2829571070217392,0.5278588097652493,0.0861633170039523,9963.59020874287,2024.0,2024.0,2720.81900669715,0.5582533036016764,0.011500049097428808,0.8215141951089535,0.022539937933440474
Albania,ALB,Southern Europe,0.5684044860355706,0.2099591295355569,0.4124092799712406,0.0806373890129031,26701.7649330157,2024.0,2024.0,11374.0085781236,0.5730982181560339,0.013677826851300378,0.7836170622846603,0.003610420852096917
Andorra,AND,Southern Europe,0.2871999999999999,0.234931807664474,0.1126129820091185,0.0850725965592388,75394.8581564469,2024.0,2024.0,49357.437070178,,,,
United Arab Emirates,ARE,Western Asia,0.3394119253646364,0.2762814377295813,0.1476512192107522,0.1159024937124508,79343.7793099888,2024.0,2024.0,50273.5126243239,0.08089843664231686,0.04004282796740279,0.11679433842002067,0.0073339440700268994
Argentina,ARG,South America,0.3944895479278035,0.3267777720748563,0.1311157192807713,0.1132634182751537,30475.3876517556,2024.0,2024.0,13969.7836603737,0.006082253982531963,0.0003849246938841002,0.01829975564419602,0.001110551277716782
Armenia,ARM,Western Asia,0.5641022430177852,0.2113639794183146,0.4143292088968682,0.0879160340593981,22856.32510991,2024.0,2024.0,8556.21406956719,,,,
American Samoa,ASM,Polynesia,0.494687515276384,0.2106926753572065,0.3457000644202561,0.0851469895976218,,,2022.0,18017.4589383973,,,,
Antigua and Barbuda,ATG,Caribbean,0.8699712549514417,0.2033311780756395,0.7402612516759507,0.0981482873673887,33351.5904481886,2024.0,2024.0,23059.8330702839,,,,
Australia,AUS,Australia and New Zealand,0.2496524683733548,0.2073364751850819,0.1165000247808423,0.0904455291115078,72117.8826659555,2024.0,2024.0,64609.9865116088,0.11465334750381419,0.051899663386312765,0.1605741254823239,0.009332596805611902
Austria,AUT,Western Europe,0.3455000000000001,0.2829930138841859,0.1600716522230384,0.1222237478397653,75774.4136543206,2024.0,2024.0,58268.8787651601,0.10151556260502753,0.028454348937967444,0.17054244243469174,0.0022725994220727645
Azerbaijan,AZE,Western Asia,0.5597999999999999,0.2127688293010724,0.4162491378224959,0.0951946791058932,25146.3588844273,2024.0,2024.0,7294.64276088105,,,,
Burundi,BDI,Eastern Africa,0.8346695890004027,0.0618549767188837,0.7810012166596136,0.0197434210398844,1193.03528498996,2024.0,2024.0,216.231928531758,0.9142338961852196,0.0823587401315304,0.9762961102869746,0.22789958839271346
Belgium,BEL,Western Europe,0.3011773125950597,0.2550644849729082,0.1319079019580343,0.1092314714805335,74224.5510568017,2024.0,2024.0,56581.9375642531,0.0646434537335439,0.025020217781681477,0.1039141041723019,0.005673445087574094
Benin,BEN,Western Africa,0.7157393423911016,0.2666377223124488,0.4512563102111938,0.055813082024293,4441.00443511982,2024.0,2024.0,1485.38018885134,0.5520871497497962,0.034072148544936814,0.857422578146786,0.015261215708053145
