region,week,coverage_median,coverage_lower,coverage_upper,interval_percent
Australia and New Zealand,1,0.0,0.0,0.0,70.0
Australia and New Zealand,2,0.0009988187057871733,0.0007419659788815963,0.0013457935603329535,70.0
Australia and New Zealand,3,0.007333233030715499,0.005353740098777702,0.0098099070724763,70.0
Australia and New Zealand,4,0.013984850668481586,0.010191883244457233,0.018830316079055245,70.0
Australia and New Zealand,5,0.018029604149601444,0.013047210774668814,0.024224826814713232,70.0
Australia and New Zealand,6,0.022376007554175098,0.01621460440445905,0.03014716939157254,70.0
Australia and New Zealand,7,0.026933631387246457,0.019509341038442454,0.03655983049000891,70.0
Australia and New Zealand,8,0.031967830819013415,0.023029591549203032,0.04336826654044998,70.0
Australia and New Zealand,9,0.03741043324504917,0.026582442712237298,0.05077450962260336,70.0
Australia and New Zealand,10,0.04285085150199072,0.030401976352137247,0.05874318369789688,70.0
Australia and New Zealand,11,0.04833391023777307,0.034115716323481704,0.06618405223995875,70.0
Australia and New Zealand,12,0.05384838376541293,0.0378399310662095,0.07414293693062038,70.0
Australia and New Zealand,13,0.059337157067282396,0.04166264002032229,0.08160052622155571,70.0
Australia and New Zealand,14,0.06472799227206893,0.04540686297354718,0.08920856085454747,70.0
Australia and New Zealand,15,0.06879732072234246,0.04764967492937991,0.09436594058629302,70.0
Australia and New Zealand,16,0.07250754956413702,0.049672537032948355,0.09980156937124612,70.0
Australia and New Zealand,17,0.07621271652592004,0.052348806608926726,0.10567344534929703,70.0
Australia and New Zealand,18,0.08003616835364363,0.054491550151487336,0.11116776249407494,70.0
Australia and New Zealand,19,0.0839289288502157,0.05678502533103921,0.11669572289020731,70.0
Australia and New Zealand,20,0.08783033250863409,0.05940175025170596,0.12184112378735895,70.0
Australia and New Zealand,21,0.09172609611502613,0.06186530357633809,0.12762823539295354,70.0
Australia and New Zealand,22,0.09541873778645824,0.06415006785007371,0.13299824274884098,70.0
Australia and New Zealand,23,0.09941571558331899,0.06667209145728062,0.13843111047783513,70.0
Australia and New Zealand,24,0.10334661297536146,0.06906909877221447,0.14379367122600864,70.0
Australia and New Zealand,25,0.10713732169991565,0.07144478672900871,0.14934281616624415,70.0
Australia and New Zealand,26,0.11109277436552197,0.07390500720442479,0.15541106364977852,70.0
Caribbean,1,0.0,0.0,0.0,70.0
Caribbean,2,0.000163221185005696,0.0001212477956262566,0.0002199218120544335,70.0
Caribbean,3,0.0011548608744123463,0.0008455593099234437,0.001546477784325252,70.0
Caribbean,4,0.002209420079716711,0.0016101748941288092,0.002965126117720648,70.0
Caribbean,5,0.0028327697313287187,0.0020541533623273916,0.003775049037100547,70.0
Caribbean,6,0.0035213441932806016,0.002531774359206029,0.004717736676167237,70.0
Caribbean,7,0.004229855937898009,0.0030351121888531375,0.005692562620864694,70.0
Caribbean,8,0.005010907096532787,0.0035929653546971506,0.006754179268817752,70.0
Caribbean,9,0.005827431390152968,0.004162180868509695,0.007942151598135893,70.0
Caribbean,10,0.00672223996662853,0.004734355144756314,0.00912886254881372,70.0
Caribbean,11,0.007595253166918842,0.005342988955556533,0.010340890089625063,70.0
Caribbean,12,0.008452967748472567,0.005889049999280725,0.011518883958887026,70.0
Caribbean,13,0.009306581762842239,0.0064616326143813315,0.012749876905324697,70.0
Caribbean,14,0.010177198535997118,0.007027494813301066,0.013898223836393588,70.0
Caribbean,15,0.010807678948957507,0.007400561453931631,0.014847688407991505,70.0
Caribbean,16,0.0114445235961016,0.007761111827214548,0.01578961015207231,70.0
Caribbean,17,0.0120291730091431,0.008157892708467585,0.01664318966403241,70.0
Caribbean,18,0.012633003561125518,0.00854153973272373,0.017545971878721693,70.0
Caribbean,19,0.013286405655427058,0.008930679308549048,0.0184163958108137,70.0
Caribbean,20,0.013909889413711513,0.00932977074674563,0.019279920227582306,70.0
Caribbean,21,0.014533770240720712,0.009754865089108304,0.020144940814095968,70.0
Caribbean,22,0.015182062763399937,0.01018017735775705,0.021028058354821313,70.0
Caribbean,23,0.015852915281691148,0.01055305419989926,0.021962187548069667,70.0
Caribbean,24,0.016524626110783914,0.010928683205886029,0.022900667873931472,70.0
Caribbean,25,0.017148478853791935,0.011350807156233256,0.023786506460802402,70.0
Caribbean,26,0.017750960180273632,0.011771269709187286,0.024728594792088686,70.0
Central America,1,0.0,0.0,0.0,70.0
Central America,2,0.0009391372392983245,0.0006976319896922472,0.0012653796345558823,70.0
Central America,3,0.006320757667615873,0.004698020810524505,0.00850228492991931,70.0
Central America,4,0.012076307955479048,0.008922201648001137,0.016139902328763518,70.0
Central America,5,0.015336795833939763,0.011235919632127793,0.020583770609980546,70.0
Central America,6,0.0189119269776859,0.013854616047550249,0.025510198233492147,70.0
Central America,7,0.022858104711837905,0.016494788730774694,0.030814266104821568,70.0
Central America,8,0.026927464591668636,0.019342303250268568,0.03646254991066114,70.0
Central America,9,0.03153759853488619,0.02225744883086482,0.04252890709630093,70.0
Central America,10,0.03634764966669447,0.025388033673796242,0.049303109593515124,70.0
Central America,11,0.04123248172640895,0.028627873509898007,0.055912221370638074,70.0
Central America,12,0.04586490875714443,0.03179086178113093,0.06257918143610426,70.0
Central America,13,0.05058207035775958,0.03495090046612961,0.06939009760592765,70.0
Central America,14,0.055162072250413224,0.03803711301572089,0.07595969892151697,70.0
Central America,15,0.05881581584454388,0.04009211526778638,0.0806961192875204,70.0
Central America,16,0.06235425786433983,0.042115478948770754,0.08584270532808959,70.0
Central America,17,0.06564420671515536,0.044366690766227644,0.0912649006853932,70.0
Central America,18,0.06923117264705309,0.04679523557838813,0.09645885424843513,70.0
Central America,19,0.0728798852672938,0.049066485550386424,0.10170120447574775,70.0
Central America,20,0.07662623315520808,0.051404205794274856,0.10715882720491567,70.0
Central America,21,0.0803308432881237,0.0536298536824199,0.1126659762128462,70.0
Central America,22,0.08396851935480201,0.05595774250360898,0.11758076766540063,70.0
Central America,23,0.08738902756308976,0.058143459539221384,0.12280038284126617,70.0
Central America,24,0.09106281053596887,0.06042941808927103,0.12796263476233055,70.0
Central America,25,0.09464914011046752,0.0625989541820853,0.1328095011810615,70.0
Central America,26,0.09820846999703906,0.06473791925304967,0.1380179045949871,70.0
Central Asia,1,0.0,0.0,0.0,70.0
Central Asia,2,0.0009810903747027346,0.0007287966034476066,0.0013219066690776627,70.0
Central Asia,3,0.006548220421010864,0.0048333620003758486,0.008775432918067573,70.0
Central Asia,4,0.01247694412204087,0.009247022598258721,0.01672005232131145,70.0
Central Asia,5,0.01582142438699501,0.011599876576894291,0.02117107111380458,70.0
Central Asia,6,0.019425052343745808,0.01411964168763996,0.02608411449916081,70.0
Central Asia,7,0.02340207283031582,0.016903912558284474,0.03152369661831694,70.0
Central Asia,8,0.027577161551057626,0.019824232011658185,0.03749723148828657,70.0
Central Asia,9,0.03200924830738948,0.02265515752135864,0.04377784396117939,70.0
Central Asia,10,0.036821470028123415,0.025784773210448007,0.05029038397836407,70.0
Central Asia,11,0.04178243646366296,0.028955338747239018,0.057262418013320146,70.0
Central Asia,12,0.046625015833643424,0.03211297660960016,0.06404210566922508,70.0
Central Asia,13,0.05152805497587372,0.03521404935877116,0.07074378682881768,70.0
Central Asia,14,0.056292303574217786,0.03849383481475521,0.07765227961748904,70.0
Central Asia,15,0.060188977976595726,0.040789135365782825,0.08275750616613664,70.0
Central Asia,16,0.06377454474093237,0.04326089989752824,0.08816209225533651,70.0
Central Asia,17,0.0677202432728759,0.04561147942453823,0.09351191355859557,70.0
Central Asia,18,0.07145384572172786,0.04796896784593014,0.09883186127423903,70.0
Central Asia,19,0.07535425936625509,0.050391309493470746,0.10421832952457881,70.0
Central Asia,20,0.07891128843076622,0.052728079587075566,0.10987008964271779,70.0
Central Asia,21,0.08263829186770566,0.05500744097543914,0.11557654257594177,70.0
Central Asia,22,0.08643103242140171,0.05727926518933656,0.12138872210991469,70.0
Central Asia,23,0.09028395686123762,0.059720891366767316,0.1269694332441358,70.0
Central Asia,24,0.09425170762131245,0.06212839483620447,0.1323343807933181,70.0
Central Asia,25,0.09813986336375691,0.06447126421221164,0.13793627767677907,70.0
Central Asia,26,0.1017961564185691,0.06668002078178457,0.1432762665062129,70.0
Eastern Africa,1,0.0,0.0,0.0,70.0
Eastern Africa,2,0.0,0.0,0.0,70.0
Eastern Africa,3,0.0,0.0,0.0,70.0
Eastern Africa,4,0.0,0.0,0.0,70.0
Eastern Africa,5,0.0,0.0,0.0,70.0
Eastern Africa,6,0.0,0.0,0.0,70.0
Eastern Africa,7,0.0,0.0,0.0,70.0
Eastern Africa,8,0.0,0.0,0.0,70.0
Eastern Africa,9,0.0,0.0,0.0,70.0
Eastern Africa,10,0.0,0.0,0.0,70.0
Eastern Africa,11,0.0,0.0,0.0,70.0
Eastern Africa,12,0.0,0.0,0.0,70.0
Eastern Africa,13,0.0,0.0,0.0,70.0
Eastern Africa,14,0.0,0.0,0.0,70.0
Eastern Africa,15,0.0,0.0,0.0,70.0
Eastern Africa,16,0.0,0.0,0.0,70.0
Eastern Africa,17,0.0,0.0,0.0,70.0
Eastern Africa,18,0.0,0.0,0.0,70.0
Eastern Africa,19,0.0,0.0,0.0,70.0
Eastern Africa,20,0.0,0.0,0.0,70.0
Eastern Africa,21,0.0,0.0,0.0,70.0
Eastern Africa,22,0.0,0.0,0.0,70.0
Eastern Africa,23,0.0,0.0,0.0,70.0
Eastern Africa,24,0.0,0.0,0.0,70.0
Eastern Africa,25,0.0,0.0,0.0,70.0
Eastern Africa,26,0.0,0.0,0.0,70.0
Eastern Asia,1,0.0,0.0,0.0,70.0
Eastern Asia,2,0.0033605182114337974,0.002496339095222347,0.004527912565238721,70.0
Eastern Asia,3,0.02301390007669906,0.016900252473747695,0.030923778607752403,70.0
Eastern Asia,4,0.04381724949277757,0.03225315115803955,0.059111407523234724,70.0
Eastern Asia,5,0.05587280579692895,0.041022240612118406,0.07467482800519139,70.0
Eastern Asia,6,0.06897208936028124,0.05016290901840066,0.09233978823797025,70.0
Eastern Asia,7,0.08266348045153024,0.0595938389155646,0.11137960956932004,70.0
Eastern Asia,8,0.09772868119828398,0.07048846167844824,0.13264941169515393,70.0
Eastern Asia,9,0.11442913902671072,0.08178585462127685,0.15554195871547263,70.0
Eastern Asia,10,0.1314149582549275,0.09305724414303662,0.17968053612545548,70.0
Eastern Asia,11,0.14869858158155808,0.10367322218847105,0.20352023571969435,70.0
Eastern Asia,12,0.16564250424781973,0.11547020491846904,0.22837469041385164,70.0
Eastern Asia,13,0.18316667520250857,0.1272600798658132,0.2520007422874869,70.0
Eastern Asia,14,0.20040840632249657,0.13871971705561476,0.2765026661020929,70.0
Eastern Asia,15,0.21277723075865207,0.14613391745690624,0.29528931006343345,70.0
Eastern Asia,16,0.22586988593253043,0.15370218855747336,0.3137145627843183,70.0
Eastern Asia,17,0.23888908297758732,0.1621832155011031,0.33167904464177533,70.0
