region,indoor_vital_ecadr_l_per_s,indoor_essential_ecadr_l_per_s
Australia and New Zealand,446556496.44880134,957803159.6760741
Caribbean,1682712773.0581048,3301779301.4466853
Central America,1722434608.529027,4407150257.6289215
Central Asia,210624466.21555918,441408302.7479784
Eastern Africa,2251334035.7650137,5346846781.959182
Eastern Asia,12014428785.745884,27041014793.289055
Eastern Europe,3549933912.4414706,6389029330.02622
Melanesia,54619449.17040963,157481530.0452007
Micronesia,2190223.7034149147,5189522.409717131
Middle Africa,1796309233.2786598,5232859949.231209
Northern Africa,1384739721.7313242,3073966576.6082406
Northern America,6608584312.541423,13110211844.587765
Northern Europe,1644059325.1274796,3651285837.605047
Polynesia,2766954.021581582,6383733.276100785
South America,3979778006.5132565,9272968178.350863
South-eastern Asia,5683952934.073902,14638962500.34732
Southern Africa,502670181.0022645,1051691772.8833439
Southern Asia,11160166620.988106,24319446994.06122
Southern Europe,1299763638.739504,2858725508.8025117
Western Africa,2308968917.797482,6940950669.921569
Western Asia,2137488914.606,4632648975.289872
Western Europe,2048129169.8750117,4116035677.9851656
Global,62492212681.37369,140953841198.17926
