Country Name,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
Aruba,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Afghanistan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Angola,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Albania,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andorra,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
United Arab Emirates,0.0,399862.81382755307,2610871.5109394593,4974980.4172289735,6305864.605844647,7738113.781960567,9262409.283400375,10948749.623420935,12789915.167548586,14693376.964508895,16587319.179199785,18451359.608553864,20345666.036542136,22267038.250362378,23761098.064905163,25350827.546499833,26918130.684341848,28490000.4465283,29970874.952785045,31537541.257141426,33030830.098224036,34587700.09781218,36072922.62942533,37581300.78032889,39018680.656459846,40581144.68957279
Argentina,0.0,829261.0342710589,5352987.201665136,10178737.904013805,12868492.71675409,15749435.612005644,18843346.911737487,22275571.799813356,26016035.334488094,29882047.093307495,33643190.632284924,37629886.65993519,41385512.074184924,45297861.28068146,48485059.8503339,51734453.46975596,54989511.65247396,58050218.965835236,61250046.350416675,64405231.599333696,67645996.37666336,70704293.2016119,73879505.95949024,77048969.79045796,80037101.51657978,83124952.95868355
Armenia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
American Samoa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antigua and Barbuda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Australia,0.0,804710.778358107,5353770.5916842725,10249119.223995013,12978751.511231022,16009264.590936635,19217091.339506887,22702328.53904993,26489975.241352454,30400943.986656807,34519077.66257903,38307125.37290245,42232908.94011183,46167448.44691754,49032580.52466169,52148174.32299839,55288353.62209298,58500639.7687699,61756240.357580654,64850954.45129363,67979932.01160054,71008106.76563269,73948123.8619881,76977664.95427248,79978085.90041807,83092110.88444233
Austria,0.0,672302.0088263857,4385118.542967323,8351143.618926069,10587287.292967403,12981176.37042734,15537680.85252935,18373503.068471752,21450519.46691204,24647542.47870149,27821178.185720757,30953986.014516033,34129552.32142547,37354622.19699022,39888137.106161706,42545900.9544693,45166246.57211684,47808449.52442244,50311504.519762814,52911913.40549925,55434998.50493869,58052694.86745036,60563841.526110664,63115416.05364214,65529685.14940015,68147549.13143608
Azerbaijan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Burundi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Belgium,0.0,632418.5463974786,4155374.3761807457,7947016.516041102,10064648.415814165,12384744.856087906,14844122.870688941,17521344.78668741,20509208.604185395,23526927.49171471,26573570.403564453,29557841.99884346,32582610.550256874,35662317.62542148,37995949.4812824,40431280.18383707,42987485.25620213,45481026.22571999,47937269.26799066,50338482.88343926,52781686.740711585,55046554.7791397,57554767.988086075,59870131.77263717,62348747.15964225,64598715.46239157
Benin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Burkina Faso,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bangladesh,0.0,845284.5895843726,5076262.847771533,9608975.707409998,11878251.416722115,14528564.808504952,17311794.11523758,20397707.192714136,23807486.03949879,27470611.913314562,31151830.093500003,34790968.89564325,38376767.15000914,41887286.24436341,45259327.8720228,48121894.96213108,51290645.84425141,54497643.285400376,57710034.79851921,60817555.869381264,63986216.84411091,67258860.14001316,70538806.90048444,73714017.06909432,76966367.53940867,80133381.66892391
Bulgaria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bahrain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bahamas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bosnia and Herzegovina,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Belarus,0.0,105075.64494170254,673706.215091392,1283950.281611979,1617552.6542442804,1977705.7721129335,2365224.6079501547,2800943.948874118,3259173.0244906805,3757579.4196876935,4227349.392869605,4724556.5057061,5210029.407940371,5695724.8711075485,6100086.849427419,6516603.990346534,6916634.519555784,7305943.572892299,7710528.607703596,8119160.612438838,8515959.563541371,8911348.055900708,9309464.152567599,9706660.687573794,10090425.879134094,10496904.644092143
Belize,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bermuda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bolivia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brazil,0.0,2667539.3267767834,17230996.87884563,32758844.728360217,41422738.262835264,50706827.5307623,60672455.30466521,71714313.57624546,83751623.55455679,96183308.42306721,108310502.93896557,121120866.54171789,133238319.52679265,145817324.77174735,156051790.1386424,166523942.64317435,177000193.4970469,186826878.2633403,197206024.76886052,207291037.07881272,217709060.00091153,227552169.04350466,237737068.39056468,247950028.1477905,257660595.37924394,267473331.04094124
Barbados,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brunei Darussalam,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bhutan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Botswana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Central African Republic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Canada,0.0,1983572.7680967508,13049977.92073001,24957560.06799856,31609333.68395548,38912362.166007586,46632165.78180002,55051096.96362732,64404508.73568175,73889757.11891058,83482650.0619562,92886617.04978813,102405327.67744711,111992223.43867415,119368724.74969113,126957496.5653902,134964226.39516652,142843824.094986,150608966.1989597,158134712.98828194,165790839.48857626,172851808.47291833,180752824.82731923,187981364.06246984,195725205.25488925,202899846.8085522
Switzerland,0.0,1757662.715387255,11533420.77017189,22053148.342362106,27927296.624983627,34347271.86795306,41177149.944688514,48606516.80002709,56876001.86361338,65285791.93609901,73764259.1719273,81875930.422021,90328372.46337925,98966199.3835005,105390243.95440385,112193408.11447683,119248215.7779488,126195194.74302234,132906507.77153769,139677766.6064433,146433161.96100998,152837237.6772986,159704188.67760146,166179617.06593502,173101138.0893063,179348006.53815272
Chile,0.0,219068.60286622393,1400411.8367650076,2672235.4338640645,3363643.8682541223,4109527.1759168943,4912093.094842209,5826321.641294863,6768595.493630697,7801484.631704096,8792854.267690761,9803551.152826685,10835121.082225122,11842644.515505984,12687382.496700618,13557183.983286459,14379723.816752613,15197190.9886158,16048998.891392093,16903711.17349285,17719280.478965726,18526118.782145165,19367576.197303526,20161975.97978942,21004856.74022595,21847916.68390491
China,0.0,74809137.41295019,468084169.2637478,892180521.3749919,1114954129.0811265,1367837660.195109,1632080121.6710153,1916944650.9834127,2245585897.3645897,2585179991.2444725,2924448438.3123674,3251041986.000701,3589605014.9172516,3937025839.748987,4229841216.171983,4505876630.606505,4779966191.434203,5076169913.857513,5363984672.175033,5626910018.801071,5904995948.330894,6187637074.001034,6471451918.052618,6759143624.446569,7037339159.011385,7320755283.031475
C̫te d'Ivoire,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cameroon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DR Congo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Congo Republic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Colombia,0.0,322216.5349587516,2038716.1544402787,3882112.896560087,4870079.705473532,5968620.003364444,7128709.27754903,8380088.553830201,9808134.336954635,11292735.55215423,12751273.8377111,14199332.003505606,15686165.681771092,17185912.102782115,18431556.402154703,19667341.47021517,20873639.19912807,22085966.00963606,23362036.60521756,24559291.515232787,25711188.704717822,26924456.893232606,28127147.57745541,29377666.817876518,30611917.211078323,31767700.796351295
