region,week,coverage_median,coverage_lower,coverage_upper,interval_percent
Australia and New Zealand,1,0.0,0.0,0.0,50.0
Australia and New Zealand,2,0.0012494425950140809,0.00102799200445977,0.001508306436385526,50.0
Australia and New Zealand,3,0.008759623507370334,0.007317978061142575,0.010545329325728015,50.0
Australia and New Zealand,4,0.016764246344854558,0.013992151207652619,0.020249536755025752,50.0
Australia and New Zealand,5,0.021303400672067083,0.017842012819647132,0.02606337707740941,50.0
Australia and New Zealand,6,0.02631555691999453,0.022047735578886705,0.0323803545196337,50.0
Australia and New Zealand,7,0.03176479449177015,0.026408076900419835,0.039280669140054916,50.0
Australia and New Zealand,8,0.03766433679579754,0.03107062251142456,0.046828919940036365,50.0
Australia and New Zealand,9,0.044134380348314906,0.03617283562331246,0.054749750894981616,50.0
Australia and New Zealand,10,0.05070075906395033,0.04137449462830329,0.06316158726350689,50.0
Australia and New Zealand,11,0.057246028260234616,0.04678080299479342,0.07137406699420143,50.0
Australia and New Zealand,12,0.0636672197397197,0.05165973843897082,0.0796581598389384,50.0
Australia and New Zealand,13,0.07003856595240798,0.05668648672940559,0.0882327699118964,50.0
Australia and New Zealand,14,0.0767010969319343,0.06189489424881673,0.09621964082513074,50.0
Australia and New Zealand,15,0.08154508769274241,0.06565680275476996,0.10233963684612876,50.0
Australia and New Zealand,16,0.08661720431854497,0.06966245371264447,0.10761378399179855,50.0
Australia and New Zealand,17,0.09155525960152025,0.07323038035932286,0.11375106296112864,50.0
Australia and New Zealand,18,0.0959797253391654,0.07700593515625796,0.1199754931662646,50.0
Australia and New Zealand,19,0.10084968939594088,0.08072569286863146,0.12566956757237388,50.0
Australia and New Zealand,20,0.10578059683532032,0.08419235155241088,0.13146618852593112,50.0
Australia and New Zealand,21,0.11061105512308034,0.08776514460583414,0.13739798232934783,50.0
Australia and New Zealand,22,0.11532264031620604,0.09134117560796316,0.1431892113425545,50.0
Australia and New Zealand,23,0.11991928222775601,0.09494993502288256,0.14926538022019367,50.0
Australia and New Zealand,24,0.12468813365132772,0.09860623269596899,0.15555812475796177,50.0
Australia and New Zealand,25,0.1293986662029248,0.10189053066535819,0.16164680170974544,50.0
Australia and New Zealand,26,0.13426921021835087,0.10583047178381827,0.16762250803513684,50.0
Caribbean,1,0.0,0.0,0.0,50.0
Caribbean,2,0.00011032146993316405,9.07681469033505e-05,0.00013317825391556172,50.0
Caribbean,3,0.0007412243187099907,0.0006212088290074459,0.0008934163693513859,50.0
Caribbean,4,0.0014172378901341964,0.0011828312093221413,0.0017031108074716723,50.0
Caribbean,5,0.0017922147611885994,0.0015057343549083313,0.0021929709280724564,50.0
Caribbean,6,0.0022130206548732784,0.0018514484168610733,0.0027186356367829606,50.0
Caribbean,7,0.0026699918860175137,0.0022135321060654523,0.0032806314938649286,50.0
Caribbean,8,0.0031490956884862656,0.002613421076291589,0.0038933834686247985,50.0
Caribbean,9,0.0036745729317218777,0.0030258802933167115,0.004564745382916703,50.0
Caribbean,10,0.004240246110148319,0.0034742948619812,0.005271391524732663,50.0
Caribbean,11,0.004778130960442245,0.003910237946777368,0.005952363623242011,50.0
Caribbean,12,0.005320543739573113,0.004341261135113595,0.006652804272625011,50.0
Caribbean,13,0.005885144259147407,0.0047648544581288515,0.00736330856180692,50.0
Caribbean,14,0.0064415181783077854,0.005196178630571618,0.008031999087949434,50.0
Caribbean,15,0.006869262389881269,0.005527713516415285,0.008539456203921207,50.0
Caribbean,16,0.007280788199729858,0.005839004124416917,0.00907642731890316,50.0
Caribbean,17,0.007704878446873639,0.006172870845058652,0.00958646303706785,50.0
Caribbean,18,0.00811727631372227,0.00649492828010781,0.010116442175626584,50.0
Caribbean,19,0.008538322612102016,0.00680168237347681,0.01064181708162576,50.0
Caribbean,20,0.008961789458840987,0.007114670733001702,0.011172521965916222,50.0
Caribbean,21,0.00938542936842393,0.007432114670317089,0.011720470331918623,50.0
Caribbean,22,0.009810895587039705,0.007741592047039967,0.012237933024991736,50.0
Caribbean,23,0.010235616230072736,0.008069455582736132,0.012756870995086036,50.0
Caribbean,24,0.010657526691133117,0.008371434743502899,0.01329081274743903,50.0
Caribbean,25,0.011042618886976621,0.008690573082434032,0.013825950495832387,50.0
Caribbean,26,0.011455708815902129,0.009008202528476922,0.014357026941477932,50.0
Central America,1,0.0,0.0,0.0,50.0
Central America,2,0.0010825405075352145,0.0008906715608150695,0.0013068249967458625,50.0
Central America,3,0.0068093270460923335,0.005694757894637995,0.008184780436660736,50.0
Central America,4,0.012969137245729217,0.010819829487663106,0.015604267365023367,50.0
Central America,5,0.016269626402890584,0.01359727109964915,0.019802778779021077,50.0
Central America,6,0.019943412067834128,0.01668574580578148,0.024421788492391357,50.0
Central America,7,0.02390265834244871,0.019866722729975715,0.029266467338953134,50.0
Central America,8,0.028135295540922332,0.02332467163072005,0.034594190096643655,50.0
Central America,9,0.032878016496852375,0.026979836101290813,0.04034408507218894,50.0
Central America,10,0.037817033094612776,0.030838197932552314,0.046750343510693654,50.0
Central America,11,0.0429765920123429,0.03465439972831051,0.05300708442214266,50.0
Central America,12,0.04783279669966184,0.038412429637131935,0.059231111004840804,50.0
Central America,13,0.05271198594029562,0.04217797394358196,0.06531642158216716,50.0
Central America,14,0.05779277216847649,0.04623202745700915,0.07161506313125503,50.0
Central America,15,0.0619191250219469,0.049524949505453275,0.07681877361098559,50.0
Central America,16,0.0659632967311565,0.05271973211390346,0.08229633534804029,50.0
Central America,17,0.07016889065316523,0.05578774058418445,0.08745736285106023,50.0
Central America,18,0.07423376764467793,0.058661322626203605,0.0924879305105097,50.0
Central America,19,0.0781524245908182,0.061746614248800374,0.09765708001852336,50.0
Central America,20,0.08220765171321376,0.0648660292757785,0.10278601117051511,50.0
Central America,21,0.08624764220339341,0.06788502520908596,0.10788428709749141,50.0
Central America,22,0.09044246157552943,0.07108741820252924,0.11311732564356847,50.0
Central America,23,0.09457449087374414,0.07389423556799808,0.1183081681941701,50.0
Central America,24,0.09893175930254414,0.07695324229404282,0.12339923183987737,50.0
Central America,25,0.10309919032108601,0.08004496669076917,0.1285347940444165,50.0
Central America,26,0.10704411056330944,0.08314548275407299,0.13383016678488366,50.0
Central Asia,1,0.0,0.0,0.0,50.0
Central Asia,2,0.0011009710473368932,0.0009058354808139626,0.0013290740395749314,50.0
Central Asia,3,0.007013361074010441,0.005880534796109636,0.008452384584402667,50.0
Central Asia,4,0.013377195374952515,0.011157219355350526,0.016084728540511347,50.0
Central Asia,5,0.016812040152832768,0.01406210750148908,0.020470739153738815,50.0
Central Asia,6,0.020722549491883253,0.01726231028050016,0.02540181242109962,50.0
Central Asia,7,0.02473777379770216,0.020617468890107772,0.030423004998669533,50.0
Central Asia,8,0.029228253331542057,0.024279239723140385,0.035934734831925316,50.0
Central Asia,9,0.034113827423548584,0.028041759237721245,0.04198438400711736,50.0
Central Asia,10,0.03921322198721171,0.03204248880617741,0.0485470225235013,50.0
Central Asia,11,0.04447360889705055,0.03608294399646573,0.055054311697568976,50.0
Central Asia,12,0.04949472648457867,0.03997116281786932,0.06179511539506272,50.0
Central Asia,13,0.05465379688000002,0.04393386619249686,0.06795704981103001,50.0
Central Asia,14,0.05979306482593394,0.047970299872085814,0.07422190061272871,50.0
Central Asia,15,0.06394888666906984,0.05136617154427027,0.07929347257942915,50.0
Central Asia,16,0.06822821938839578,0.054616634299813976,0.08472329830274375,50.0
Central Asia,17,0.07235426249953814,0.05786006774889181,0.0903601780795641,50.0
Central Asia,18,0.07656178036763508,0.060984940643932284,0.09570207009476911,50.0
Central Asia,19,0.08072095111412361,0.06391088578426087,0.10075957028913755,50.0
Central Asia,20,0.0848190322677102,0.06699862194929306,0.10595072492837264,50.0
Central Asia,21,0.08889411293071224,0.07011477049397849,0.11116410933366247,50.0
Central Asia,22,0.09292782620259427,0.073137337276928,0.11643411025426718,50.0
Central Asia,23,0.09718925439334122,0.07651023701289235,0.12177737839456067,50.0
Central Asia,24,0.10143550363173376,0.07947678722517362,0.1271454982070208,50.0
Central Asia,25,0.10587039363171585,0.08252880826297088,0.1323604627371215,50.0
Central Asia,26,0.11001336801999569,0.08564061081885398,0.1375790240005943,50.0
Eastern Africa,1,0.0,0.0,0.0,50.0
Eastern Africa,2,0.0,0.0,0.0,50.0
Eastern Africa,3,0.0,0.0,0.0,50.0
Eastern Africa,4,0.0,0.0,0.0,50.0
Eastern Africa,5,0.0,0.0,0.0,50.0
Eastern Africa,6,0.0,0.0,0.0,50.0
Eastern Africa,7,0.0,0.0,0.0,50.0
Eastern Africa,8,0.0,0.0,0.0,50.0
Eastern Africa,9,0.0,0.0,0.0,50.0
Eastern Africa,10,0.0,0.0,0.0,50.0
Eastern Africa,11,0.0,0.0,0.0,50.0
Eastern Africa,12,0.0,0.0,0.0,50.0
Eastern Africa,13,0.0,0.0,0.0,50.0
Eastern Africa,14,0.0,0.0,0.0,50.0
Eastern Africa,15,0.0,0.0,0.0,50.0
Eastern Africa,16,0.0,0.0,0.0,50.0
Eastern Africa,17,0.0,0.0,0.0,50.0
Eastern Africa,18,0.0,0.0,0.0,50.0
Eastern Africa,19,0.0,0.0,0.0,50.0
