region,indoor_vital_ecadr_l_per_s,indoor_essential_ecadr_l_per_s
Australia and New Zealand,455407784.8701272,956425150.1047013
Caribbean,1677941285.1325321,3004330001.16134
Central America,1632829860.220018,3954883186.761324
Central Asia,192761508.4069784,393085129.06635445
Eastern Africa,2162018474.0652885,4692568190.875141
Eastern Asia,11518757421.439419,24488391266.341057
Eastern Europe,3355695410.514224,5882315218.339904
Melanesia,50020411.53250348,125885666.19324134
Micronesia,2029224.360941332,4702304.348651728
Middle Africa,1658856480.5409586,4550557190.925598
Northern Africa,1245359080.460647,2657866086.0767517
Northern America,6726241597.732428,12911496846.036587
Northern Europe,1676159512.4831338,3684494839.435808
Polynesia,2495805.1638330184,5669528.885285212
South America,3725569845.483937,8247702552.8924465
South-eastern Asia,5263668578.594513,12334142932.760376
Southern Africa,471419987.06838465,929998470.5685294
Southern Asia,10340169772.68829,21222067583.29868
Southern Europe,1274316326.1920352,2678041151.88517
Western Africa,2132793812.0850043,5995343169.199608
Western Asia,1939869789.5659056,4115887394.676345
Western Europe,2088197282.9968019,4066149657.7239275
Global,59592579251.59791,126902003517.55682
