Country Name,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
Aruba,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Afghanistan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Angola,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Albania,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andorra,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
United Arab Emirates,0.0,418559.4233236342,2860119.715325488,5457942.007221768,6899772.599859337,8544343.12995686,10294465.374749899,12189024.874048699,14243059.949334703,16365594.770503502,18470419.969778903,20581859.33317714,22749408.802062392,24875727.857843846,26542801.52010136,28118794.31018097,29671376.0972327,31275898.74143019,32875368.073485922,34436910.51840085,36043663.48050979,37629761.53145299,39252482.591682926,40920565.035554945,42475940.47329356,43979241.80262992
Argentina,0.0,868035.2568092139,5815396.868759241,11104395.635776311,14043432.759743186,17355931.32684891,20917863.19512492,24670587.552543655,28781214.416122243,33206254.4224537,37403797.58645518,41709982.91964142,46072025.7319258,50510409.00133877,53824467.39483769,57088870.2923895,60413051.37161906,63631246.8011089,67016922.83884912,70341895.75340295,73680796.21330552,77015145.52613258,80370966.8071384,83654914.74689233,86666037.04901457,89891884.23408493
Armenia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
American Samoa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antigua and Barbuda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Australia,0.0,842337.0908332089,5905478.019908041,11301957.010659544,14362120.051430598,17741166.939641677,21414881.075677484,25392177.28876671,29754088.50048606,34180946.018157855,38593572.12480679,42922548.71972711,47217921.11610882,51709601.63450598,54975276.34558469,58394746.73981847,61723836.95815547,64706680.35793345,67989865.49378222,71314136.848248,74570688.36789352,77747099.17750385,80846018.64033309,84061036.64178191,87236737.79173568,90520313.91848268
Austria,0.0,703737.2103199629,4801563.5289318655,9155962.95208247,11578848.257693693,14325463.02588601,17267513.422179166,20437512.662051447,23874184.46623598,27448941.981470168,30960797.80540754,34505493.062427655,38161395.18411553,41730166.962163195,44488421.242719874,47162795.857647374,49768904.59201052,52480723.81523419,55140839.901246555,57782872.02531302,60484356.65143644,63181196.485633485,65882432.39132413,68698843.87870109,71240231.61551437,73812984.50787903
Azerbaijan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Burundi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Belgium,0.0,661988.8945048477,4575249.732132239,8731314.77671716,11068280.316139515,13689730.725549899,16539169.071618397,19573278.291798174,22889606.870766014,26296607.575735733,29684478.35892132,33023279.161481734,36456386.18966693,39880255.1977291,42528441.951288685,45170219.61762297,47608894.00919908,50031183.642125465,52683533.3724359,55173457.88962168,57657225.80599364,60157071.018917546,62659309.00357485,65194587.56506496,67899363.85316849,70276310.15496673
Benin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Burkina Faso,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bangladesh,0.0,884808.034470973,5455382.902591987,10339421.384317141,12871484.604999442,15731803.51605085,18857985.66871908,22293419.70743224,25914619.50720511,29876439.6554849,33883645.830989435,37650771.65033774,41686225.770733654,45796892.900867134,49207681.30467607,52508021.78238201,55936516.31765238,58996138.360047415,62314896.62380684,65675215.40309533,69066768.41345674,72513532.32114604,75735488.71194449,79179609.57590076,82520581.3300308,85855815.22693512
Bulgaria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bahrain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bahamas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bosnia and Herzegovina,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Belarus,0.0,109988.72571112648,732164.2101918843,1396856.118190627,1762886.0044646454,2179249.359416097,2625941.6112826997,3097270.6929288683,3610918.1434954773,4164122.258549111,4689117.139993729,5237561.8154786695,5784873.261259932,6335543.867067819,6747584.429280819,7173724.894141147,7589853.949896272,7992819.7908323705,8440672.159575695,8854863.80818747,9279554.109068016,9692507.370758314,10125226.203482993,10509694.584782451,10919425.836208895,11310346.486986585
Belize,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bermuda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bolivia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brazil,0.0,2792266.9568126528,18717021.727288187,35749501.380783126,45218227.603990585,55872634.08725096,67356746.17185259,79452625.71633303,92671041.19525757,106971557.96370052,120468732.03096369,134298275.1586047,148359647.23846722,162622966.61997586,173345256.9540643,183779184.92077595,194459288.67709494,204855733.1382491,215701771.9118443,226419835.079161,237137898.24647772,247874777.99283636,258662661.45451295,269269320.7996209,278931957.093251,289364330.06070536
Barbados,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brunei Darussalam,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bhutan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Botswana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Central African Republic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Canada,0.0,2076319.7907497738,14375417.905049767,27436746.041655753,34776330.2808934,42994877.46482374,52000331.11765377,61501425.263932094,71961007.21803965,82640431.2126348,93264381.50732982,103848576.49329,114529363.00728866,125345795.09672523,133647277.60298793,142000279.05404228,149471861.6182565,157163384.06026387,165470379.447976,173306413.91163987,181110481.9193585,189018542.6303345,196768868.4961293,204684867.6769247,213166875.53739816,220808683.67371786
Switzerland,0.0,1839846.7352035851,12690933.160092648,24209630.514409583,30694084.00701339,37975790.50907913,45831142.47596449,54297068.834912844,63420277.38409148,72940026.89166579,82262741.95566556,91507594.95556,101093021.49251518,110612166.65854731,117853550.0217407,125197083.88147762,132092464.06337853,138772539.7262183,146200310.61557472,153031188.66240132,159896171.4223714,166828144.98100895,173921735.16965887,180974030.25990355,188449651.71665925,194924492.53876787
Chile,0.0,229311.7162016097,1520523.887246233,2903034.029790175,3663929.625297824,4527419.272313615,5458987.938338259,6436533.552986583,7504390.291338688,8657192.117009208,9754649.739204109,10893742.392520022,12019179.721418153,13150644.859697055,14026757.60195667,14914372.203182422,15774465.62828822,16631465.784247257,17539359.913668416,18406659.152618527,19292021.69389981,20169554.08085052,21054366.47324355,21842149.74829629,22700111.619670987,23535465.109042637
China,0.0,78307030.1416094,505289615.62458116,963782529.2857478,1216190675.794,1496195874.521584,1791713664.8057432,2119394544.5055304,2465175317.643035,2847032675.146341,3220757630.1232347,3595941496.409068,3964058949.817498,4340705059.481199,4625824648.933901,4924086241.325537,5226938409.94025,5526923283.814064,5820612527.537008,6133446325.548885,6417733300.623943,6699976735.102751,6985912081.646186,7292539132.063706,7592783753.419899,7899792319.419144
C̫te d'Ivoire,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cameroon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DR Congo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Congo Republic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Colombia,0.0,337282.59391441697,2205970.683282675,4199455.2762981355,5313652.508598818,6533873.7086472595,7871387.613074415,9297801.002569966,10808143.453786118,12491316.229888514,14111296.569857024,15741632.797087023,17372768.34909008,19004626.882671565,20258528.809576448,21492863.45301005,22811166.085894078,24142465.005438738,25412821.453791857,26714695.36268899,28006015.76249613,29278907.995414503,30451283.0755373,31689759.89901921,32977824.095652007,34304193.15678708
