,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54
Aruba,5990,12882,0.0,0.0+/-0,0.0+/-0,0.0+/-0,1.1+/-0.4,1.1+/-0.4,1.1+/-0.4,1.1+/-0.4,1.1+/-0.4,1.1+/-0.4,1.1+/-0.4,1.1+/-0.4,1.1+/-0.4,1.1+/-0.4,1.1+/-0.4,1.1+/-0.4,1.1+/-0.4,1.1+/-0.4,1.1+/-0.4,1.1+/-0.4,1.1+/-0.4,1.1+/-0.4,1.1+/-0.4,1.1+/-0.4,1.1+/-0.4,1.1+/-0.4,1.1+/-0.4,1.1+/-0.4,1.1+/-0.4,1.1+/-0.4,1.1+/-0.4,1.1+/-0.4,1.1+/-0.4,1.1+/-0.4,1.1+/-0.4,1.1+/-0.4,1.1+/-0.4,1.1+/-0.4,1.1+/-0.4,1.1+/-0.4,1.1+/-0.4,1.1+/-0.4,1.1+/-0.4,1.1+/-0.4,1.1+/-0.4,1.1+/-0.4,1.1+/-0.4,1.1+/-0.4,1.1+/-0.4,1.1+/-0.4,1.1+/-0.4,1.1+/-0.4,1.1+/-0.4
Afghanistan,950498,1971603,0.0,0.0027+/-0.0014,0.0060+/-0.0031,0.010+/-0.005,0.023+/-0.009,0.032+/-0.013,0.049+/-0.022,0.058+/-0.027,0.064+/-0.030,0.068+/-0.032,0.071+/-0.034,0.074+/-0.035,0.074+/-0.035,0.074+/-0.035,0.074+/-0.035,0.074+/-0.035,0.074+/-0.035,0.074+/-0.035,0.074+/-0.035,0.074+/-0.035,0.074+/-0.035,0.074+/-0.035,0.074+/-0.035,0.074+/-0.035,0.074+/-0.035,0.074+/-0.035,0.074+/-0.035,0.074+/-0.035,0.074+/-0.035,0.074+/-0.035,0.074+/-0.035,0.074+/-0.035,0.074+/-0.035,0.074+/-0.035,0.074+/-0.035,0.074+/-0.035,0.074+/-0.035,0.074+/-0.035,0.074+/-0.035,0.074+/-0.035,0.074+/-0.035,0.074+/-0.035,0.074+/-0.035,0.074+/-0.035,0.074+/-0.035,0.074+/-0.035,0.074+/-0.035,0.074+/-0.035,0.074+/-0.035,0.074+/-0.035,0.074+/-0.035,0.074+/-0.035,0.074+/-0.035
Angola,1496990,4707050,0.0,0.0+/-0,0.0+/-0,0.0+/-0,0.0044+/-0.0016,0.0044+/-0.0016,0.0044+/-0.0016,0.0044+/-0.0016,0.0044+/-0.0016,0.0044+/-0.0016,0.0044+/-0.0016,0.0044+/-0.0016,0.0044+/-0.0016,0.0044+/-0.0016,0.0044+/-0.0016,0.0044+/-0.0016,0.0044+/-0.0016,0.0044+/-0.0016,0.0044+/-0.0016,0.0044+/-0.0016,0.0044+/-0.0016,0.0044+/-0.0016,0.0044+/-0.0016,0.0044+/-0.0016,0.0044+/-0.0016,0.0044+/-0.0016,0.0044+/-0.0016,0.0044+/-0.0016,0.0044+/-0.0016,0.0044+/-0.0016,0.0044+/-0.0016,0.0044+/-0.0016,0.0044+/-0.0016,0.0044+/-0.0016,0.0044+/-0.0016,0.0044+/-0.0016,0.0044+/-0.0016,0.0044+/-0.0016,0.0044+/-0.0016,0.0044+/-0.0016,0.0044+/-0.0016,0.0044+/-0.0016,0.0044+/-0.0016,0.0044+/-0.0016,0.0044+/-0.0016,0.0044+/-0.0016,0.0044+/-0.0016,0.0044+/-0.0016,0.0044+/-0.0016,0.0044+/-0.0016,0.0044+/-0.0016,0.0044+/-0.0016,0.0044+/-0.0016
Albania,221194,383977,0.0,0.013+/-0.007,0.030+/-0.015,0.049+/-0.026,0.11+/-0.04,0.15+/-0.06,0.24+/-0.11,0.28+/-0.13,0.31+/-0.15,0.33+/-0.16,0.35+/-0.17,0.36+/-0.17,0.36+/-0.17,0.36+/-0.17,0.36+/-0.17,0.36+/-0.17,0.36+/-0.17,0.36+/-0.17,0.36+/-0.17,0.36+/-0.17,0.36+/-0.17,0.36+/-0.17,0.36+/-0.17,0.36+/-0.17,0.36+/-0.17,0.36+/-0.17,0.36+/-0.17,0.36+/-0.17,0.36+/-0.17,0.36+/-0.17,0.36+/-0.17,0.36+/-0.17,0.36+/-0.17,0.36+/-0.17,0.36+/-0.17,0.36+/-0.17,0.36+/-0.17,0.36+/-0.17,0.36+/-0.17,0.36+/-0.17,0.36+/-0.17,0.36+/-0.17,0.36+/-0.17,0.36+/-0.17,0.36+/-0.17,0.36+/-0.17,0.36+/-0.17,0.36+/-0.17,0.36+/-0.17,0.36+/-0.17,0.36+/-0.17,0.36+/-0.17,0.36+/-0.17
Andorra,3393,10117,0.0,0.08+/-0.04,0.17+/-0.09,0.28+/-0.15,2.4+/-0.7,2.6+/-0.8,3.1+/-0.9,3.4+/-1.0,3.6+/-1.1,3.7+/-1.1,3.8+/-1.2,3.8+/-1.2,3.8+/-1.2,3.8+/-1.2,3.8+/-1.2,3.8+/-1.2,3.8+/-1.2,3.8+/-1.2,3.8+/-1.2,3.8+/-1.2,3.8+/-1.2,3.8+/-1.2,3.8+/-1.2,3.8+/-1.2,3.8+/-1.2,3.8+/-1.2,3.8+/-1.2,3.8+/-1.2,3.8+/-1.2,3.8+/-1.2,3.8+/-1.2,3.8+/-1.2,3.8+/-1.2,3.8+/-1.2,3.8+/-1.2,3.8+/-1.2,3.8+/-1.2,3.8+/-1.2,3.8+/-1.2,3.8+/-1.2,3.8+/-1.2,3.8+/-1.2,3.8+/-1.2,3.8+/-1.2,3.8+/-1.2,3.8+/-1.2,3.8+/-1.2,3.8+/-1.2,3.8+/-1.2,3.8+/-1.2,3.8+/-1.2,3.8+/-1.2,3.8+/-1.2
United Arab Emirates,556387,1518985,0.0,0.20+/-0.10,0.44+/-0.23,0.7+/-0.4,1.2+/-0.6,3.2+/-1.0,5.8+/-1.7,7.8+/-2.0,9.5+/-2.3,11.2+/-2.5,12.8+/-2.7,14.3+/-2.9,15.6+/-3.0,16.9+/-3.1,18.3+/-3.2,19.6+/-3.4,20.9+/-3.5,22+/-4,24+/-4,25+/-4,26+/-4,28+/-4,29+/-4,30+/-5,32+/-5,33+/-5,34+/-5,36+/-5,37+/-5,38+/-6,40+/-6,41+/-6,42+/-6,44+/-6,45+/-6,46+/-7,48+/-7,49+/-7,50+/-7,52+/-7,53+/-8,54+/-8,56+/-8,57+/-8,58+/-8,60+/-8,61+/-9,62+/-9,64+/-9,65+/-9,66+/-9,68+/-10,69+/-10
Argentina,1752945,6283946,0.0,0.11+/-0.06,0.26+/-0.13,0.43+/-0.22,0.8+/-0.4,1.2+/-0.6,1.9+/-0.9,3.0+/-1.1,3.9+/-1.3,4.8+/-1.4,5.7+/-1.5,6.5+/-1.6,7.2+/-1.6,7.9+/-1.7,8.6+/-1.7,9.3+/-1.8,10.0+/-1.8,10.7+/-1.9,11.4+/-1.9,12.1+/-2.0,12.8+/-2.1,13.5+/-2.1,14.3+/-2.2,15.0+/-2.3,15.7+/-2.4,16.4+/-2.4,17.1+/-2.5,17.8+/-2.6,18.5+/-2.7,19.2+/-2.8,19.9+/-2.9,20.6+/-2.9,21.3+/-3.0,22.0+/-3.1,22.7+/-3.2,23.4+/-3.3,24.1+/-3.4,24.9+/-3.5,26+/-4,26+/-4,27+/-4,28+/-4,28+/-4,29+/-4,30+/-4,31+/-4,31+/-4,32+/-4,33+/-5,33+/-5,34+/-5,35+/-5,35+/-5
Armenia,208473,380402,0.0,0.023+/-0.012,0.051+/-0.027,0.09+/-0.04,0.17+/-0.07,0.24+/-0.11,0.39+/-0.19,0.46+/-0.23,0.51+/-0.25,0.55+/-0.27,0.58+/-0.28,0.60+/-0.30,0.60+/-0.30,0.60+/-0.30,0.60+/-0.30,0.60+/-0.30,0.60+/-0.30,0.60+/-0.30,0.60+/-0.30,0.60+/-0.30,0.60+/-0.30,0.60+/-0.30,0.60+/-0.30,0.60+/-0.30,0.60+/-0.30,0.60+/-0.30,0.60+/-0.30,0.60+/-0.30,0.60+/-0.30,0.60+/-0.30,0.60+/-0.30,0.60+/-0.30,0.60+/-0.30,0.60+/-0.30,0.60+/-0.30,0.60+/-0.30,0.60+/-0.30,0.60+/-0.30,0.60+/-0.30,0.60+/-0.30,0.60+/-0.30,0.60+/-0.30,0.60+/-0.30,0.60+/-0.30,0.60+/-0.30,0.60+/-0.30,0.60+/-0.30,0.60+/-0.30,0.60+/-0.30,0.60+/-0.30,0.60+/-0.30,0.60+/-0.30,0.60+/-0.30
American Samoa,5553,11918,0.0,0.0+/-0,0.0+/-0,0.0+/-0,1.2+/-0.4,1.2+/-0.4,1.2+/-0.4,1.2+/-0.4,1.2+/-0.4,1.2+/-0.4,1.2+/-0.4,1.2+/-0.4,1.2+/-0.4,1.2+/-0.4,1.2+/-0.4,1.2+/-0.4,1.2+/-0.4,1.2+/-0.4,1.2+/-0.4,1.2+/-0.4,1.2+/-0.4,1.2+/-0.4,1.2+/-0.4,1.2+/-0.4,1.2+/-0.4,1.2+/-0.4,1.2+/-0.4,1.2+/-0.4,1.2+/-0.4,1.2+/-0.4,1.2+/-0.4,1.2+/-0.4,1.2+/-0.4,1.2+/-0.4,1.2+/-0.4,1.2+/-0.4,1.2+/-0.4,1.2+/-0.4,1.2+/-0.4,1.2+/-0.4,1.2+/-0.4,1.2+/-0.4,1.2+/-0.4,1.2+/-0.4,1.2+/-0.4,1.2+/-0.4,1.2+/-0.4,1.2+/-0.4,1.2+/-0.4,1.2+/-0.4,1.2+/-0.4,1.2+/-0.4,1.2+/-0.4
Antigua and Barbuda,10319,14971,0.0,0.008+/-0.004,0.019+/-0.010,0.031+/-0.016,0.69+/-0.23,0.72+/-0.23,0.77+/-0.24,0.80+/-0.24,0.81+/-0.24,0.83+/-0.25,0.84+/-0.25,0.85+/-0.25,0.85+/-0.25,0.85+/-0.25,0.85+/-0.25,0.85+/-0.25,0.85+/-0.25,0.85+/-0.25,0.85+/-0.25,0.85+/-0.25,0.85+/-0.25,0.85+/-0.25,0.85+/-0.25,0.85+/-0.25,0.85+/-0.25,0.85+/-0.25,0.85+/-0.25,0.85+/-0.25,0.85+/-0.25,0.85+/-0.25,0.85+/-0.25,0.85+/-0.25,0.85+/-0.25,0.85+/-0.25,0.85+/-0.25,0.85+/-0.25,0.85+/-0.25,0.85+/-0.25,0.85+/-0.25,0.85+/-0.25,0.85+/-0.25,0.85+/-0.25,0.85+/-0.25,0.85+/-0.25,0.85+/-0.25,0.85+/-0.25,0.85+/-0.25,0.85+/-0.25,0.85+/-0.25,0.85+/-0.25,0.85+/-0.25,0.85+/-0.25,0.85+/-0.25
