,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54
Aruba,5990,12882,0,0.0+/-0,0.0+/-0,0.0+/-0,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03
Afghanistan,950498,1971603,0,(2.5+/-1.3)e+03,(5.7+/-3.0)e+03,(1.0+/-0.5)e+04,(2.2+/-0.8)e+04,(3.0+/-1.3)e+04,(4.7+/-2.1)e+04,(5.5+/-2.5)e+04,(6.1+/-2.8)e+04,(6.4+/-3.0)e+04,(6.8+/-3.2)e+04,(7.0+/-3.3)e+04,(7.0+/-3.3)e+04,(7.0+/-3.3)e+04,(7.0+/-3.3)e+04,(7.0+/-3.3)e+04,(7.0+/-3.3)e+04,(7.0+/-3.3)e+04,(7.0+/-3.3)e+04,(7.0+/-3.3)e+04,(7.0+/-3.3)e+04,(7.0+/-3.3)e+04,(7.0+/-3.3)e+04,(7.0+/-3.3)e+04,(7.0+/-3.3)e+04,(7.0+/-3.3)e+04,(7.0+/-3.3)e+04,(7.0+/-3.3)e+04,(7.0+/-3.3)e+04,(7.0+/-3.3)e+04,(7.0+/-3.3)e+04,(7.0+/-3.3)e+04,(7.0+/-3.3)e+04,(7.0+/-3.3)e+04,(7.0+/-3.3)e+04,(7.0+/-3.3)e+04,(7.0+/-3.3)e+04,(7.0+/-3.3)e+04,(7.0+/-3.3)e+04,(7.0+/-3.3)e+04,(7.0+/-3.3)e+04,(7.0+/-3.3)e+04,(7.0+/-3.3)e+04,(7.0+/-3.3)e+04,(7.0+/-3.3)e+04,(7.0+/-3.3)e+04,(7.0+/-3.3)e+04,(7.0+/-3.3)e+04,(7.0+/-3.3)e+04,(7.0+/-3.3)e+04,(7.0+/-3.3)e+04,(7.0+/-3.3)e+04,(7.0+/-3.3)e+04
Angola,1496990,4707050,0,0.0+/-0,0.0+/-0,0.0+/-0,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03
Albania,221194,383977,0,(2.9+/-1.5)e+03,(6.6+/-3.4)e+03,(1.1+/-0.6)e+04,(2.4+/-0.9)e+04,(3.4+/-1.4)e+04,(5.2+/-2.4)e+04,(6.2+/-2.9)e+04,(6.9+/-3.2)e+04,(7.3+/-3.5)e+04,(8+/-4)e+04,(8+/-4)e+04,(8+/-4)e+04,(8+/-4)e+04,(8+/-4)e+04,(8+/-4)e+04,(8+/-4)e+04,(8+/-4)e+04,(8+/-4)e+04,(8+/-4)e+04,(8+/-4)e+04,(8+/-4)e+04,(8+/-4)e+04,(8+/-4)e+04,(8+/-4)e+04,(8+/-4)e+04,(8+/-4)e+04,(8+/-4)e+04,(8+/-4)e+04,(8+/-4)e+04,(8+/-4)e+04,(8+/-4)e+04,(8+/-4)e+04,(8+/-4)e+04,(8+/-4)e+04,(8+/-4)e+04,(8+/-4)e+04,(8+/-4)e+04,(8+/-4)e+04,(8+/-4)e+04,(8+/-4)e+04,(8+/-4)e+04,(8+/-4)e+04,(8+/-4)e+04,(8+/-4)e+04,(8+/-4)e+04,(8+/-4)e+04,(8+/-4)e+04,(8+/-4)e+04,(8+/-4)e+04,(8+/-4)e+04,(8+/-4)e+04,(8+/-4)e+04
Andorra,3393,10117,0,(2.6+/-1.3)e+02,(5.8+/-3.0)e+02,(1.0+/-0.5)e+03,(8.1+/-2.5)e+03,(9.0+/-2.6)e+03,(1.06+/-0.31)e+04,(1.15+/-0.35)e+04,(1.2+/-0.4)e+04,(1.2+/-0.4)e+04,(1.3+/-0.4)e+04,(1.3+/-0.4)e+04,(1.3+/-0.4)e+04,(1.3+/-0.4)e+04,(1.3+/-0.4)e+04,(1.3+/-0.4)e+04,(1.3+/-0.4)e+04,(1.3+/-0.4)e+04,(1.3+/-0.4)e+04,(1.3+/-0.4)e+04,(1.3+/-0.4)e+04,(1.3+/-0.4)e+04,(1.3+/-0.4)e+04,(1.3+/-0.4)e+04,(1.3+/-0.4)e+04,(1.3+/-0.4)e+04,(1.3+/-0.4)e+04,(1.3+/-0.4)e+04,(1.3+/-0.4)e+04,(1.3+/-0.4)e+04,(1.3+/-0.4)e+04,(1.3+/-0.4)e+04,(1.3+/-0.4)e+04,(1.3+/-0.4)e+04,(1.3+/-0.4)e+04,(1.3+/-0.4)e+04,(1.3+/-0.4)e+04,(1.3+/-0.4)e+04,(1.3+/-0.4)e+04,(1.3+/-0.4)e+04,(1.3+/-0.4)e+04,(1.3+/-0.4)e+04,(1.3+/-0.4)e+04,(1.3+/-0.4)e+04,(1.3+/-0.4)e+04,(1.3+/-0.4)e+04,(1.3+/-0.4)e+04,(1.3+/-0.4)e+04,(1.3+/-0.4)e+04,(1.3+/-0.4)e+04,(1.3+/-0.4)e+04,(1.3+/-0.4)e+04,(1.3+/-0.4)e+04
United Arab Emirates,556387,1518985,0,(1.1+/-0.6)e+05,(2.5+/-1.3)e+05,(4.1+/-2.2)e+05,(6.7+/-3.4)e+05,(1.8+/-0.5)e+06,(3.2+/-0.9)e+06,(4.3+/-1.1)e+06,(5.3+/-1.3)e+06,(6.2+/-1.4)e+06,(7.1+/-1.5)e+06,(7.9+/-1.6)e+06,(8.7+/-1.7)e+06,(9.4+/-1.7)e+06,(1.02+/-0.18)e+07,(1.09+/-0.19)e+07,(1.17+/-0.19)e+07,(1.24+/-0.20)e+07,(1.31+/-0.21)e+07,(1.39+/-0.22)e+07,(1.46+/-0.23)e+07,(1.54+/-0.23)e+07,(1.61+/-0.24)e+07,(1.68+/-0.25)e+07,(1.76+/-0.26)e+07,(1.83+/-0.27)e+07,(1.91+/-0.28)e+07,(1.98+/-0.29)e+07,(2.06+/-0.30)e+07,(2.13+/-0.31)e+07,(2.20+/-0.32)e+07,(2.28+/-0.33)e+07,(2.35+/-0.34)e+07,(2.43+/-0.35)e+07,(2.5+/-0.4)e+07,(2.6+/-0.4)e+07,(2.6+/-0.4)e+07,(2.7+/-0.4)e+07,(2.8+/-0.4)e+07,(2.9+/-0.4)e+07,(2.9+/-0.4)e+07,(3.0+/-0.4)e+07,(3.1+/-0.4)e+07,(3.2+/-0.4)e+07,(3.2+/-0.5)e+07,(3.3+/-0.5)e+07,(3.4+/-0.5)e+07,(3.5+/-0.5)e+07,(3.5+/-0.5)e+07,(3.6+/-0.5)e+07,(3.7+/-0.5)e+07,(3.8+/-0.5)e+07,(3.8+/-0.5)e+07
Argentina,1752945,6283946,0,(2.0+/-1.0)e+05,(4.5+/-2.4)e+05,(7+/-4)e+05,(1.4+/-0.6)e+06,(2.0+/-1.0)e+06,(3.3+/-1.7)e+06,(5.2+/-2.0)e+06,(6.9+/-2.3)e+06,(8.4+/-2.4)e+06,(9.9+/-2.6)e+06,(1.14+/-0.28)e+07,(1.26+/-0.28)e+07,(1.38+/-0.29)e+07,(1.51+/-0.30)e+07,(1.63+/-0.31)e+07,(1.76+/-0.32)e+07,(1.88+/-0.33)e+07,(2.00+/-0.34)e+07,(2.13+/-0.35)e+07,(2.3+/-0.4)e+07,(2.4+/-0.4)e+07,(2.5+/-0.4)e+07,(2.6+/-0.4)e+07,(2.7+/-0.4)e+07,(2.9+/-0.4)e+07,(3.0+/-0.4)e+07,(3.1+/-0.5)e+07,(3.2+/-0.5)e+07,(3.4+/-0.5)e+07,(3.5+/-0.5)e+07,(3.6+/-0.5)e+07,(3.7+/-0.5)e+07,(3.9+/-0.5)e+07,(4.0+/-0.6)e+07,(4.1+/-0.6)e+07,(4.2+/-0.6)e+07,(4.4+/-0.6)e+07,(4.5+/-0.6)e+07,(4.6+/-0.6)e+07,(4.7+/-0.7)e+07,(4.9+/-0.7)e+07,(5.0+/-0.7)e+07,(5.1+/-0.7)e+07,(5.2+/-0.7)e+07,(5.3+/-0.7)e+07,(5.5+/-0.8)e+07,(5.6+/-0.8)e+07,(5.7+/-0.8)e+07,(5.8+/-0.8)e+07,(6.0+/-0.8)e+07,(6.1+/-0.8)e+07,(6.2+/-0.9)e+07
Armenia,208473,380402,0,(4.7+/-2.5)e+03,(1.1+/-0.6)e+04,(1.8+/-0.9)e+04,(3.5+/-1.5)e+04,(5.0+/-2.3)e+04,(8+/-4)e+04,(1.0+/-0.5)e+05,(1.1+/-0.5)e+05,(1.1+/-0.6)e+05,(1.2+/-0.6)e+05,(1.2+/-0.6)e+05,(1.2+/-0.6)e+05,(1.2+/-0.6)e+05,(1.2+/-0.6)e+05,(1.2+/-0.6)e+05,(1.2+/-0.6)e+05,(1.2+/-0.6)e+05,(1.2+/-0.6)e+05,(1.2+/-0.6)e+05,(1.2+/-0.6)e+05,(1.2+/-0.6)e+05,(1.2+/-0.6)e+05,(1.2+/-0.6)e+05,(1.2+/-0.6)e+05,(1.2+/-0.6)e+05,(1.2+/-0.6)e+05,(1.2+/-0.6)e+05,(1.2+/-0.6)e+05,(1.2+/-0.6)e+05,(1.2+/-0.6)e+05,(1.2+/-0.6)e+05,(1.2+/-0.6)e+05,(1.2+/-0.6)e+05,(1.2+/-0.6)e+05,(1.2+/-0.6)e+05,(1.2+/-0.6)e+05,(1.2+/-0.6)e+05,(1.2+/-0.6)e+05,(1.2+/-0.6)e+05,(1.2+/-0.6)e+05,(1.2+/-0.6)e+05,(1.2+/-0.6)e+05,(1.2+/-0.6)e+05,(1.2+/-0.6)e+05,(1.2+/-0.6)e+05,(1.2+/-0.6)e+05,(1.2+/-0.6)e+05,(1.2+/-0.6)e+05,(1.2+/-0.6)e+05,(1.2+/-0.6)e+05,(1.2+/-0.6)e+05,(1.2+/-0.6)e+05
American Samoa,5553,11918,0,0.0+/-0,0.0+/-0,0.0+/-0,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03
Antigua and Barbuda,10319,14971,0,(9+/-4)e+01,(1.9+/-1.0)e+02,(3.2+/-1.7)e+02,(7.1+/-2.3)e+03,(7.4+/-2.4)e+03,(7.9+/-2.4)e+03,(8.2+/-2.5)e+03,(8.4+/-2.5)e+03,(8.5+/-2.5)e+03,(8.6+/-2.6)e+03,(8.7+/-2.6)e+03,(8.7+/-2.6)e+03,(8.7+/-2.6)e+03,(8.7+/-2.6)e+03,(8.7+/-2.6)e+03,(8.7+/-2.6)e+03,(8.7+/-2.6)e+03,(8.7+/-2.6)e+03,(8.7+/-2.6)e+03,(8.7+/-2.6)e+03,(8.7+/-2.6)e+03,(8.7+/-2.6)e+03,(8.7+/-2.6)e+03,(8.7+/-2.6)e+03,(8.7+/-2.6)e+03,(8.7+/-2.6)e+03,(8.7+/-2.6)e+03,(8.7+/-2.6)e+03,(8.7+/-2.6)e+03,(8.7+/-2.6)e+03,(8.7+/-2.6)e+03,(8.7+/-2.6)e+03,(8.7+/-2.6)e+03,(8.7+/-2.6)e+03,(8.7+/-2.6)e+03,(8.7+/-2.6)e+03,(8.7+/-2.6)e+03,(8.7+/-2.6)e+03,(8.7+/-2.6)e+03,(8.7+/-2.6)e+03,(8.7+/-2.6)e+03,(8.7+/-2.6)e+03,(8.7+/-2.6)e+03,(8.7+/-2.6)e+03,(8.7+/-2.6)e+03,(8.7+/-2.6)e+03,(8.7+/-2.6)e+03,(8.7+/-2.6)e+03,(8.7+/-2.6)e+03,(8.7+/-2.6)e+03,(8.7+/-2.6)e+03,(8.7+/-2.6)e+03
