Region,Indoor Vital in Weeks,Indoor Essential in Weeks
Caribbean,261,261
Southern Asia,261,261
Middle Africa,261,261
Southern Europe,77,190
Western Asia,261,261
South America,261,261
Polynesia,261,261
Australia and New Zealand,77,189
Western Europe,37,87
Eastern Africa,261,261
Western Africa,261,261
Eastern Europe,216,261
Central America,192,261
Northern America,32,81
South-eastern Asia,261,261
Southern Africa,261,261
Eastern Asia,108,229
Northern Europe,48,117
Northern Africa,261,261
Melanesia,261,261
Micronesia,261,261
Central Asia,261,261
