region,week,coverage_median,coverage_lower,coverage_upper,interval_percent
Australia and New Zealand,1,0.0,0.0,0.0,50.0
Australia and New Zealand,2,0.003821189984272415,0.003071316980988491,0.004653389795408973,50.0
Australia and New Zealand,3,0.024342941021695846,0.02017800911187198,0.029016256324254006,50.0
Australia and New Zealand,4,0.045027953151238725,0.037400194634698555,0.053491488604232286,50.0
Australia and New Zealand,5,0.05398154089819482,0.04485756093411322,0.06462433057415659,50.0
Australia and New Zealand,6,0.06327371194222707,0.05250670516607868,0.07561021514390985,50.0
Australia and New Zealand,7,0.07213133423991341,0.060152951942186964,0.08635458113525565,50.0
Australia and New Zealand,8,0.08110427515512188,0.0675995405939549,0.09705984490517396,50.0
Australia and New Zealand,9,0.08998714696459593,0.07506697990634104,0.1076212862742595,50.0
Australia and New Zealand,10,0.09903041210561839,0.08251937439189944,0.1186666586322988,50.0
Australia and New Zealand,11,0.10813094788711963,0.09010484670127313,0.12978303542077196,50.0
Australia and New Zealand,12,0.1174832203363474,0.09774580416398508,0.14081446798175212,50.0
Australia and New Zealand,13,0.12663666916963429,0.10534889883055881,0.1521743172558063,50.0
Australia and New Zealand,14,0.13607127127985885,0.11301545122704544,0.16367286262110667,50.0
Australia and New Zealand,15,0.14150737621893883,0.11769116885023204,0.16984362599136602,50.0
Australia and New Zealand,16,0.14664004537443168,0.12211262621107953,0.1760525934524766,50.0
Australia and New Zealand,17,0.15227368586050555,0.12674954752142298,0.18251670650071,50.0
Australia and New Zealand,18,0.15741914837783355,0.1313071604858781,0.18886933539275685,50.0
Australia and New Zealand,19,0.16289818934733946,0.13547563180910943,0.19558501619165544,50.0
Australia and New Zealand,20,0.16810004171779525,0.1394604523423062,0.20170299560432656,50.0
Australia and New Zealand,21,0.17310586951247892,0.14366594234643426,0.207658656122777,50.0
Australia and New Zealand,22,0.17839007789486236,0.1477830194955843,0.2138884247577369,50.0
Australia and New Zealand,23,0.18370572925876538,0.15181087643307023,0.22011110301055004,50.0
Australia and New Zealand,24,0.18884629458795393,0.15619431345983503,0.2263226916974348,50.0
Australia and New Zealand,25,0.1936989077218812,0.16070621420680842,0.2323609941613645,50.0
Australia and New Zealand,26,0.19861572727358157,0.16496124975713122,0.2385378432623881,50.0
Caribbean,1,0.0,0.0,0.0,50.0
Caribbean,2,0.00027273744366558463,0.00021921525638066375,0.00033213570704493985,50.0
Caribbean,3,0.0016765992893714601,0.0013873084570341478,0.0019989348397136558,50.0
Caribbean,4,0.0030829801801941217,0.0025593772363084236,0.003680557335405723,50.0
Caribbean,5,0.0036824743230747916,0.0030716117273473518,0.004386802330706362,50.0
Caribbean,6,0.004269381995825336,0.003553513826430602,0.005103874751697486,50.0
Caribbean,7,0.004854046413597348,0.004022149365779622,0.00580177134196127,50.0
Caribbean,8,0.005428512185394833,0.004513464331254011,0.006502079752603342,50.0
Caribbean,9,0.006021243995042631,0.0050096387519754,0.007214330459313589,50.0
Caribbean,10,0.006622571542737996,0.005510518249789631,0.007932702597987139,50.0
Caribbean,11,0.007230344204656309,0.006010250581477121,0.008659202946663192,50.0
Caribbean,12,0.007830095179313878,0.006515426070892264,0.009386267591491974,50.0
Caribbean,13,0.008434454971789455,0.0070327726571690315,0.010122560640069889,50.0
Caribbean,14,0.009065255917829324,0.0075561890111242366,0.01084705130424347,50.0
Caribbean,15,0.009445330030229654,0.007853663283648053,0.011327456663532062,50.0
Caribbean,16,0.009818088705059999,0.008146606985997593,0.011768691107910954,50.0
Caribbean,17,0.010174409419734874,0.00844821440801966,0.012202551841874024,50.0
Caribbean,18,0.010553976558337301,0.00874155261371575,0.012648519094892067,50.0
Caribbean,19,0.01091874643452851,0.009026807304524351,0.013082270192864516,50.0
Caribbean,20,0.011281029876543293,0.00935487860855323,0.013517714650648716,50.0
Caribbean,21,0.011635503776741767,0.009657214418903494,0.013968711458617441,50.0
Caribbean,22,0.012010852388344474,0.00996725374006412,0.014408546898676513,50.0
Caribbean,23,0.012376957557722853,0.01024912148404658,0.014875135027018616,50.0
Caribbean,24,0.01275651100560252,0.010555196395183977,0.015314985270902127,50.0
Caribbean,25,0.01310350179564472,0.01087502786136715,0.01573026605335034,50.0
Caribbean,26,0.013471294924802217,0.011187603563756962,0.0161697850313209,50.0
Central America,1,0.0,0.0,0.0,50.0
Central America,2,0.003125313291216105,0.002511999618372481,0.003805961241566013,50.0
Central America,3,0.018140538289508974,0.014898135028615728,0.021659105254905515,50.0
Central America,4,0.03322410587024503,0.027298853850736597,0.03966562920015642,50.0
