week,pac,cr_box,baghouse,repurposed_pac,repurposed_cr_box,repurposed_baghouse
1,0.0,0.0,0.0,0.0,0.0,0.0
2,28712352.3153117,119540959.42888391,4488565.745702519,0.0,0.0,0.0
3,154471600.8136031,642311747.1351073,24239368.815531183,147850248.8701283,42417912.095491126,17982163.701125547
4,289768906.6467284,1217311856.3515441,45832491.37636246,295700497.7402566,84835824.19098225,35964327.402251095
5,347364870.31254804,1473500648.2944605,55508362.91583741,443550746.61038494,127253736.2864734,53946491.10337665
6,416036352.5355565,1767643495.5300317,66503317.99322047,591400995.4805132,169671648.3819645,71928654.80450219
7,497943190.1548517,2101988625.2516308,78872374.0079017,739251244.3506415,212089560.47745568,71928654.80450219
8,587786776.0218705,2497348978.1806297,93200402.75612018,887101493.2207699,254507472.5729468,71928654.80450219
9,686117227.4256458,2942293913.459324,109281824.74775821,1034951742.0908982,296925384.66843796,71928654.80450219
10,801237804.423996,3409868157.1808987,127009744.47291474,1182801990.9610264,339343296.763929,71928654.80450219
11,910309423.869442,3875705496.773719,144599900.5565753,1330652239.8311548,381761208.8594202,71928654.80450219
12,1016306986.4364537,4356602335.5461445,162542534.05143258,1478502488.701283,424179120.95491135,71928654.80450219
13,1123051412.5176663,4854153793.875982,180362865.52473006,1626352737.5714111,466597033.0504024,71928654.80450219
14,1232938523.0735822,5337099787.150973,197555553.0645464,1774202986.4415398,509014945.1458936,71928654.80450219
15,1342972900.179898,5813856885.030166,214781273.26364654,1774202986.4415398,509014945.1458936,71928654.80450219
16,1454773536.7593515,6282431173.239445,231749970.95854652,1774202986.4415398,509014945.1458936,71928654.80450219
17,1562902652.9396138,6754813002.058883,249189609.48280925,1774202986.4415398,509014945.1458936,71928654.80450219
18,1670368989.0629983,7229682527.580199,266808198.10355067,1774202986.4415398,509014945.1458936,71928654.80450219
19,1779224647.9485042,7710508441.991848,284677609.87647367,1774202986.4415398,509014945.1458936,71928654.80450219
20,1886676003.0897148,8202369833.339778,302473689.3599135,1774202986.4415398,509014945.1458936,71928654.80450219
21,1999516790.7271557,8684772047.76176,319973984.635434,1774202986.4415398,509014945.1458936,71928654.80450219
22,2108153138.9506154,9182691773.578812,337715733.70597124,1774202986.4415398,509014945.1458936,71928654.80450219
23,2216295491.204653,9678640694.640743,355456431.3826994,1774202986.4415398,509014945.1458936,71928654.80450219
24,2323810406.5475626,10170539320.154531,373359777.77199495,1774202986.4415398,509014945.1458936,71928654.80450219
25,2430422074.669382,10640251149.01514,391167293.6707108,1774202986.4415398,509014945.1458936,71928654.80450219
26,2538606590.956216,11104446836.08911,409106061.36243343,1774202986.4415398,509014945.1458936,71928654.80450219
