Country Name,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
Aruba,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Afghanistan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Angola,0.0,76625.9503770225,448749.81422633457,849976.5941728003,1050525.7421293356,1274762.0581907202,1517927.6038733735,1795192.540812531,2102232.1858697133,2438464.2936496157,2772375.60550443,3104365.1781465258,3437240.5722473636,3763557.0606609304,4062589.4186781403,4371676.867054418,4672423.331961311,4979160.560901054,5287529.662738882,5603560.365581692,5911008.982429205,6208249.65166129,6499001.786804448,6801198.442404756,7097240.842563121,7396054.372272011
Albania,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andorra,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
United Arab Emirates,0.0,608283.8571262752,4006147.5387815563,7633001.455760218,9617547.044725336,11873478.401805237,14249187.219928239,16956450.70244343,19858277.342889298,22957370.80916834,26102296.8669532,29103785.72819051,32190847.68680832,35284983.502922595,37744832.21631572,40240850.61117079,42622139.497065395,45197579.21880302,47593236.20552165,49990760.34294644,52345309.82681517,54673709.96044251,57105500.93804215,59464927.879981495,61766790.195407115,64092448.33474031
Argentina,0.0,1152559.9582645914,7482992.009030219,14238730.822916236,17921070.18733441,22137008.467505414,26541163.994143307,31493251.4706271,36867358.445657015,42720633.99766044,48275723.56455197,54196765.57498327,59776844.38342215,65601819.418364406,70375639.39945576,74973046.42496212,79563169.38427895,84250592.02752782,88905025.57638007,93313861.93264079,97821587.68140471,102318460.447279,106683648.94395728,111044092.76960215,115567288.86508349,120242918.45710805
Armenia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
American Samoa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antigua and Barbuda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Australia,0.0,1122607.8798087984,7529094.222853731,14377298.249721497,18222658.08320158,22571542.56931837,27125524.507228054,32165848.085471265,37768313.112461425,43694048.06591341,49456617.435617626,55267192.42954159,61072042.497359104,66938903.94857919,71484126.33826953,76128295.19244057,80716058.57471782,85066979.59888172,89943530.56272231,94398475.13606803,98863436.63246286,103050970.58760032,107504293.62789351,111854780.18192649,116108853.29024833,120479212.07489371
Austria,0.0,959002.6240393582,6305649.894045182,12013323.681539297,15136960.493479365,18696095.834157392,22415007.01839554,26684637.48175501,31235071.7966396,36103544.41777665,41079057.53708671,45799598.79763265,50618661.57217538,55484741.31965001,59389467.808780335,63296868.30973449,67093871.616437405,71063460.33375591,74896595.73089172,78714126.0541971,82390245.38838163,86068435.7733018,89918490.08842036,93517454.37884098,97212903.13723123,100935248.86430717
Azerbaijan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Burundi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Belgium,0.0,908967.9268160684,6035903.221472887,11528894.04839234,14537137.794883199,17978573.007151097,21591006.28736911,25612167.800564557,30043067.53314135,34773229.61596723,39441833.61244629,44059387.18482579,48728389.41540578,53436405.80792534,57061852.22083661,60747270.54058063,64390024.18433341,68145453.42393193,71851265.87506023,75492017.29338387,78937877.51222017,82562884.1682035,86012548.89512219,89501710.18193012,93130788.24519551,96589535.66231124
Benin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Burkina Faso,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bangladesh,0.0,1172049.8539422983,7049815.400280908,13367843.627156323,16674735.452463832,20341180.08636365,24344494.770384196,28749202.761449277,33740919.00372809,38954846.79988679,44297393.449986264,49487843.03376678,54865672.588393,60235646.48515459,64832282.3836305,69486990.68559507,74014800.00335808,78511061.29102656,83076234.08250552,87778336.19434464,92558575.91961592,97247567.94024286,101998810.83090705,106788041.04224819,111280796.01934588,115816385.54195982
Bulgaria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bahrain,0.0,106677.84917799424,702578.5707119522,1338638.4802645885,1686678.383915238,2082312.596868746,2498952.7953903135,2973739.4300994,3482647.600295848,4026151.4620391196,4577693.219621338,5104079.662886813,5645473.497634246,6188107.910927819,6619504.152951648,7057243.656889484,7474862.460417857,7926530.488401555,8346669.099211876,8767135.161785206,9180064.539705768,9588407.972415924,10014883.58590065,10428668.348573465,10832357.708461419,11240220.263616916
Bahamas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bosnia and Herzegovina,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Belarus,0.0,188608.92805629078,1214513.4135082264,2308192.0905142715,2914893.4898935873,3595107.7222112194,4300639.083346,5099231.169327704,5964032.37340254,6907226.305562304,7836794.326291022,8773767.060402736,9700987.116483096,10656729.037660025,11426066.538270656,12171826.061701078,12949034.944139667,13714864.793865528,14450233.976841517,15170155.657174531,15917364.120954085,16644139.553636095,17352620.367858317,18067980.80988731,18829402.83349709,19589804.410004362
Belize,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bermuda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bolivia,0.0,81145.21981409141,504092.839985782,956745.6492122515,1198010.432843158,1471166.9852113859,1758922.6049347355,2084234.55428808,2440358.414743066,2827806.9455633583,3207451.4508420047,3590720.467399196,3977545.074679619,4360502.610804715,4684145.152768634,5014696.919605696,5326149.423618952,5644925.583266774,5954873.161851279,6257000.5171138905,6570089.546915557,6896955.887497528,7235287.945895152,7551952.602471553,7881781.296228778,8211535.590065161
Brazil,0.0,3208156.666836668,20840513.81484952,39669646.12106988,49912817.70494144,61674479.167169854,73928414.71579413,87760393.08575864,102722133.2675907,119041952.76508982,134537095.13808805,150969014.8408755,166520306.96324012,182716080.93883884,196028589.86557958,208820600.65764174,221696277.56151792,234609017.81789163,247701739.39423192,259890036.46943796,272403508.0384122,284974298.9813931,297096043.0893971,309287015.4042765,321810246.0552932,334824885.45843375
Barbados,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brunei Darussalam,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bhutan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Botswana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Central African Republic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Canada,0.0,2474705.9094184106,16444996.015010506,31432273.641197987,39650507.99496952,49012508.97530481,58869989.23105393,69840572.55755898,81963243.53488344,94796862.51827392,107609584.01160145,120108577.15055189,132926898.8090705,145809409.31862223,155576348.231219,165682491.4202993,175598552.5876222,185724242.57229656,195928727.47861707,205825897.93435073,215082067.53033704,225083305.0777256,234477475.94879243,244022153.05093658,253824267.35400385,263176044.37220168
Switzerland,0.0,2225937.612629595,14757109.14721056,28180241.94680082,35538193.46874556,43952327.64948009,52751532.661506504,62579083.78778231,73385095.24119179,84972532.16327733,96337948.45619103,107609384.24832116,118991412.74430534,130555162.58939123,139407522.33828074,148495028.29714957,157406358.0924507,166626743.79550648,175643980.16168928,184554293.05371684,193017948.19152844,201853435.68261206,210298661.20841217,218882443.04864734,227692740.70117754,236164285.92468685
Chile,0.0,359031.7067458091,2305209.823305014,4384073.634206658,5536941.456690977,6824069.965465656,8161700.8007093035,9675396.411696322,11321056.526986465,13115352.658884123,14873899.762673058,16649264.154031351,18428806.996631615,20239799.63516754,21694206.253552835,23102682.15121351,24584168.54582069,26045140.906832337,27449539.62132354,28802625.67913488,30253940.90870429,31612862.532233723,32940270.265245512,34336839.93155318,35785448.362351246,37218858.038207605
China,0.0,59542994.8789286,374515524.77469087,711718135.571326,893756744.940412,1100571802.9020963,1314346935.502039,1556681601.8907824,1821898455.8568215,2112597743.9507506,2394951199.198956,2681247896.189966,2970780489.5839977,3260866623.396911,3493934241.642004,3735038421.0794587,3971633684.3450055,4205191577.681338,4432496851.637189,4661452538.553848,4884732634.813431,5110805687.256279,5353143232.076715,5599644056.115704,5842342731.378544,6081095899.239994
C̫te d'Ivoire,0.0,128440.87494655862,752349.8926816306,1425118.3149406603,1761579.9535609218,2137479.84927878,2545878.7871086663,3010446.267158965,3524992.448404864,4089130.891983199,4648869.290173423,5204984.403291565,5763423.920600435,6312272.822763028,6811979.892270665,7329971.87143852,7834355.9489484485,8348111.247503685,8866830.033843562,9394281.502297787,9909896.662652776,10409145.041647922,10895356.220921513,11401938.22254033,11898941.582727179,12402181.501741555
